prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,8,2.5599,1.0152,0.0000,0.0000,331.45,0.00
1,11544,8,2.5599,1.0152,0.0000,0.0000,331.45,0.00
2,10568,8,2.5599,1.0152,0.0000,0.0000,331.45,0.00
3,18029,8,2.5599,1.0152,0.0000,0.0000,331.45,0.00
4,41716,8,2.5599,1.0152,0.0000,0.0000,331.45,0.00
5,10096,8,2.5599,1.0152,0.0000,0.0000,331.45,0.00
6,10024,8,2.5599,1.0152,0.0000,0.0000,331.45,0.00
7,19917,8,2.5599,1.0152,0.0000,0.0000,331.45,0.00
8,10862,8,2.4511,0.9460,0.0000,0.0000,340.18,0.00
9,11344,8,2.4511,0.9460,0.0000,0.0000,340.18,0.00
10,11855,8,2.4511,0.9460,0.0000,0.0000,340.18,0.00
11,10902,8,2.4511,0.9460,0.0000,0.0000,340.18,0.00
12,27177,8,2.4511,0.9460,0.0000,0.0000,340.18,0.00
13,14437,8,2.4511,0.9460,0.0000,0.0000,340.18,0.00
14,35238,8,2.4511,0.9460,0.0000,0.0000,340.18,0.00
15,11712,8,2.4511,0.9460,0.0000,0.0000,340.18,0.00
16,12495,8,1.8787,0.5865,0.0000,0.0000,396.20,0.00
17,11044,8,1.8787,0.5865,0.0000,0.0000,396.20,0.00
18,10527,8,1.8787,0.5865,0.0000,0.0000,396.20,0.00
19,13411,8,1.8787,0.5865,0.0000,0.0000,396.20,0.00
20,10457,8,1.8787,0.5865,0.0000,0.0000,396.20,0.00
21,10790,8,1.8787,0.5865,0.0000,0.0000,396.20,0.00
22,10404,8,1.8787,0.5865,0.0000,0.0000,396.20,0.00
23,15728,8,1.8787,0.5865,0.0000,0.0000,396.20,0.00
24,26966,8,2.4139,0.9090,0.0000,0.0000,340.23,0.00
25,12323,8,2.4139,0.9090,0.0000,0.0000,340.23,0.00
26,11195,8,2.4139,0.9090,0.0000,0.0000,340.23,0.00
27,22347,8,2.4139,0.9090,0.0000,0.0000,340.23,0.00
28,13522,8,2.4139,0.9090,0.0000,0.0000,340.23,0.00
29,10273,8,2.4139,0.9090,0.0000,0.0000,340.23,0.00
30,16377,8,2.4139,0.9090,0.0000,0.0000,340.23,0.00
31,20281,8,2.4139,0.9090,0.0000,0.0000,340.23,0.00
32,15228,8,2.3096,0.8429,0.0000,0.0000,349.09,0.00
33,22027,8,2.3096,0.8429,0.0000,0.0000,349.09,0.00
34,17265,8,2.3096,0.8429,0.0000,0.0000,349.09,0.00
35,18853,8,2.3096,0.8429,0.0000,0.0000,349.09,0.00
36,13837,8,2.3096,0.8429,0.0000,0.0000,349.09,0.00
37,13876,8,2.3096,0.8429,0.0000,0.0000,349.09,0.00
38,15159,8,2.3096,0.8429,0.0000,0.0000,349.09,0.00
39,10208,8,2.3096,0.8429,0.0000,0.0000,349.09,0.00
40,10534,8,2.2451,0.8048,0.0000,0.0000,355.50,0.00
41,16395,8,2.2451,0.8048,0.0000,0.0000,355.50,0.00
42,12255,8,2.2451,0.8048,0.0000,0.0000,355.50,0.00
43,18939,8,2.2451,0.8048,0.0000,0.0000,355.50,0.00
44,15711,8,2.2451,0.8048,0.0000,0.0000,355.50,0.00
45,13064,8,2.2451,0.8048,0.0000,0.0000,355.50,0.00
46,10727,8,2.2451,0.8048,0.0000,0.0000,355.50,0.00
47,23977,8,2.2451,0.8048,0.0000,0.0000,355.50,0.00
48,11778,8,2.1064,0.7224,0.0000,0.0000,369.95,0.00
49,12792,8,2.1064,0.7224,0.0000,0.0000,369.95,0.00
