prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,4,8.6703,3.6912,0.0000,0.0000,102.83,0.00
1,67610,4,8.6703,3.6912,0.0000,0.0000,102.83,0.00
2,51583,4,8.6703,3.6912,0.0000,0.0000,102.83,0.00
3,45940,4,8.6703,3.6912,0.0000,0.0000,102.83,0.00
4,76082,4,9.0194,4.0096,0.0000,0.0000,102.20,0.00
5,13949,4,9.0194,4.0096,0.0000,0.0000,102.20,0.00
6,48737,4,9.0194,4.0096,0.0000,0.0000,102.20,0.00
7,52305,4,9.0194,4.0096,0.0000,0.0000,102.20,0.00
8,46596,4,8.4097,3.4702,0.0000,0.0000,103.66,0.00
9,42433,4,8.4097,3.4702,0.0000,0.0000,103.66,0.00
10,55705,4,8.4097,3.4702,0.0000,0.0000,103.66,0.00
11,39428,4,8.4097,3.4702,0.0000,0.0000,103.66,0.00
12,97202,4,12.2094,6.3873,0.0000,0.0000,87.94,0.00
13,41364,4,12.2094,6.3873,0.0000,0.0000,87.94,0.00
14,84224,4,12.2094,6.3873,0.0000,0.0000,87.94,0.00
15,41085,4,12.2094,6.3873,0.0000,0.0000,87.94,0.00
16,42399,4,10.3849,5.0249,0.0000,0.0000,95.52,0.00
17,26995,4,10.3849,5.0249,0.0000,0.0000,95.52,0.00
18,96626,4,10.3849,5.0249,0.0000,0.0000,95.52,0.00
19,55843,4,10.3849,5.0249,0.0000,0.0000,95.52,0.00
20,40761,4,8.7718,3.7332,0.0000,0.0000,101.62,0.00
21,40531,4,8.7718,3.7332,0.0000,0.0000,101.62,0.00
22,57284,4,8.7718,3.7332,0.0000,0.0000,101.62,0.00
23,54495,4,8.7718,3.7332,0.0000,0.0000,101.62,0.00
24,45924,4,8.8476,3.8039,0.0000,0.0000,101.51,0.00
25,58514,4,8.8476,3.8039,0.0000,0.0000,101.51,0.00
26,29550,4,8.8476,3.8039,0.0000,0.0000,101.51,0.00
27,59277,4,8.8476,3.8039,0.0000,0.0000,101.51,0.00
28,56028,4,10.1798,4.8033,0.0000,0.0000,95.23,0.00
29,55048,4,10.1798,4.8033,0.0000,0.0000,95.23,0.00
30,33241,4,10.1798,4.8033,0.0000,0.0000,95.23,0.00
31,79678,4,10.1798,4.8033,0.0000,0.0000,95.23,0.00
32,76968,4,12.1417,6.2523,0.0000,0.0000,86.94,0.00
33,45169,4,12.1417,6.2523,0.0000,0.0000,86.94,0.00
34,67357,4,12.1417,6.2523,0.0000,0.0000,86.94,0.00
35,80060,4,12.1417,6.2523,0.0000,0.0000,86.94,0.00
