prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,8,11.1889,5.5873,0.0000,0.0000,91.40,0.00
1,81646,8,11.1889,5.5873,0.0000,0.0000,91.40,0.00
2,76090,8,11.1889,5.5873,0.0000,0.0000,91.40,0.00
3,77617,8,11.1889,5.5873,0.0000,0.0000,91.40,0.00
4,55747,8,11.1889,5.5873,0.0000,0.0000,91.40,0.00
5,29498,8,11.1889,5.5873,0.0000,0.0000,91.40,0.00
6,85073,8,11.1889,5.5873,0.0000,0.0000,91.40,0.00
7,24370,8,11.1889,5.5873,0.0000,0.0000,91.40,0.00
8,29084,8,7.9580,3.7898,0.0000,0.0000,122.83,0.00
9,86449,8,7.9580,3.7898,0.0000,0.0000,122.83,0.00
10,13820,8,7.9580,3.7898,0.0000,0.0000,122.83,0.00
11,80111,8,7.9580,3.7898,0.0000,0.0000,122.83,0.00
12,21014,8,7.9580,3.7898,0.0000,0.0000,122.83,0.00
13,40539,8,7.9580,3.7898,0.0000,0.0000,122.83,0.00
14,41253,8,7.9580,3.7898,0.0000,0.0000,122.83,0.00
15,47961,8,7.9580,3.7898,0.0000,0.0000,122.83,0.00
16,37493,8,11.2828,5.6866,0.0000,0.0000,91.49,0.00
17,65396,8,11.2828,5.6866,0.0000,0.0000,91.49,0.00
18,19849,8,11.2828,5.6866,0.0000,0.0000,91.49,0.00
19,94472,8,11.2828,5.6866,0.0000,0.0000,91.49,0.00
20,78236,8,11.2828,5.6866,0.0000,0.0000,91.49,0.00
21,51271,8,11.2828,5.6866,0.0000,0.0000,91.49,0.00
22,86529,8,11.2828,5.6866,0.0000,0.0000,91.49,0.00
23,56310,8,11.2828,5.6866,0.0000,0.0000,91.49,0.00
24,24586,8,7.8466,3.6769,0.0000,0.0000,122.79,0.00
25,35659,8,7.8466,3.6769,0.0000,0.0000,122.79,0.00
26,36601,8,7.8466,3.6769,0.0000,0.0000,122.79,0.00
27,27547,8,7.8466,3.6769,0.0000,0.0000,122.79,0.00
28,90282,8,7.8466,3.6769,0.0000,0.0000,122.79,0.00
29,38905,8,7.8466,3.6769,0.0000,0.0000,122.79,0.00
30,38665,8,7.8466,3.6769,0.0000,0.0000,122.79,0.00
31,68405,8,7.8466,3.6769,0.0000,0.0000,122.79,0.00
32,83924,8,8.0237,3.8462,0.0000,0.0000,122.56,0.00
33,40640,8,8.0237,3.8462,0.0000,0.0000,122.56,0.00
34,24760,8,8.0237,3.8462,0.0000,0.0000,122.56,0.00
35,70404,8,8.0237,3.8462,0.0000,0.0000,122.56,0.00
36,74909,8,8.0237,3.8462,0.0000,0.0000,122.56,0.00
37,16245,8,8.0237,3.8462,0.0000,0.0000,122.56,0.00
38,14941,8,8.0237,3.8462,0.0000,0.0000,122.56,0.00
39,35576,8,8.0237,3.8462,0.0000,0.0000,122.56,0.00
40,58665,8,10.6021,5.7246,0.0000,0.0000,104.97,0.00
41,51288,8,10.6021,5.7246,0.0000,0.0000,104.97,0.00
42,70925,8,10.6021,5.7246,0.0000,0.0000,104.97,0.00
43,83377,8,10.6021,5.7246,0.0000,0.0000,104.97,0.00
44,34600,8,10.6021,5.7246,0.0000,0.0000,104.97,0.00
45,17068,8,10.6021,5.7246,0.0000,0.0000,104.97,0.00
46,82662,8,10.6021,5.7246,0.0000,0.0000,104.97,0.00
47,90967,8,10.6021,5.7246,0.0000,0.0000,104.97,0.00
48,36310,8,9.9711,5.2721,0.0000,0.0000,108.96,0.00
49,97404,8,9.9711,5.2721,0.0000,0.0000,108.96,0.00
50,25417,8,9.9711,5.2721,0.0000,0.0000,108.96,0.00
51,67302,8,9.9711,5.2721,0.0000,0.0000,108.96,0.00
52,80841,8,9.9711,5.2721,0.0000,0.0000,108.96,0.00
53,84104,8,9.9711,5.2721,0.0000,0.0000,108.96,0.00
54,46064,8,9.9711,5.2721,0.0000,0.0000,108.96,0.00
55,16285,8,9.9711,5.2721,0.0000,0.0000,108.96,0.00
56,26728,8,6.2139,2.9789,0.0000,0.0000,158.27,0.00
57,60666,8,6.2139,2.9789,0.0000,0.0000,158.27,0.00
58,24235,8,6.2139,2.9789,0.0000,0.0000,158.27,0.00
59,40886,8,6.2139,2.9789,0.0000,0.0000,158.27,0.00
60,47369,8,6.2139,2.9789,0.0000,0.0000,158.27,0.00
61,24987,8,6.2139,2.9789,0.0000,0.0000,158.27,0.00
62,62887,8,6.2139,2.9789,0.0000,0.0000,158.27,0.00
63,32507,8,6.2139,2.9789,0.0000,0.0000,158.27,0.00
64,55848,8,10.9422,5.2999,0.0000,0.0000,90.74,0.00
65,67033,8,10.9422,5.2999,0.0000,0.0000,90.74,0.00
