prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,19.8576,5.0444,0.0000,0.0000,34.56,0.00
1,67610,1,35.1056,18.9677,0.0000,0.0000,31.73,0.00
2,51583,1,29.2915,13.6344,0.0000,0.0000,32.70,0.00
3,45940,1,27.3912,11.8943,0.0000,0.0000,33.04,0.00
4,76082,1,38.3416,21.9060,0.0000,0.0000,31.15,0.00
5,13949,1,17.8367,3.2779,0.0000,0.0000,35.17,0.00
6,48737,1,28.3953,12.7900,0.0000,0.0000,32.81,0.00
7,52305,1,29.6111,13.9269,0.0000,0.0000,32.64,0.00
8,46596,1,27.5439,12.1312,0.0000,0.0000,33.22,0.00
9,42433,1,26.2085,10.8125,0.0000,0.0000,33.26,0.00
10,55705,1,30.6792,14.8963,0.0000,0.0000,32.44,0.00
11,39428,1,25.2280,10.0111,0.0000,0.0000,33.65,0.00
12,97202,1,46.9149,29.7870,0.0000,0.0000,29.89,0.00
13,41364,1,25.8673,10.4995,0.0000,0.0000,33.32,0.00
14,84224,1,41.6238,24.8867,0.0000,0.0000,30.59,0.00
15,41085,1,25.7691,10.4146,0.0000,0.0000,33.35,0.00
16,42399,1,26.2125,10.8113,0.0000,0.0000,33.24,0.00
17,26995,1,21.4869,6.5223,0.0000,0.0000,34.21,0.00
18,96626,1,46.7907,29.6693,0.0000,0.0000,29.90,0.00
19,55843,1,30.8001,15.0122,0.0000,0.0000,32.43,0.00
20,40761,1,25.6951,10.3395,0.0000,0.0000,33.34,0.00
21,40531,1,25.6821,10.3351,0.0000,0.0000,33.36,0.00
22,57284,1,31.2163,15.3774,0.0000,0.0000,32.33,0.00
23,54495,1,30.3248,14.5588,0.0000,0.0000,32.47,0.00
24,45924,1,27.4001,11.8952,0.0000,0.0000,33.02,0.00
25,58514,1,31.7054,15.8251,0.0000,0.0000,32.24,0.00
26,29550,1,22.2413,7.2039,0.0000,0.0000,34.05,0.00
27,59277,1,32.0531,16.1379,0.0000,0.0000,32.17,0.00
28,56028,1,30.8170,15.0140,0.0000,0.0000,32.40,0.00
29,55048,1,30.4589,14.6799,0.0000,0.0000,32.45,0.00
30,33241,1,23.3347,8.1899,0.0000,0.0000,33.81,0.00
31,79678,1,39.6450,23.0840,0.0000,0.0000,30.92,0.00
32,76968,1,38.7567,22.2721,0.0000,0.0000,31.06,0.00
33,45169,1,27.1594,11.6760,0.0000,0.0000,33.07,0.00
34,67357,1,35.0676,18.8954,0.0000,0.0000,31.66,0.00
35,80060,1,39.9344,23.3669,0.0000,0.0000,30.90,0.00
36,34953,1,23.9105,8.7193,0.0000,0.0000,33.70,0.00
37,44079,1,26.8585,11.4080,0.0000,0.0000,33.14,0.00
38,41330,1,25.8647,10.4910,0.0000,0.0000,33.30,0.00
39,59768,1,32.2059,16.2617,0.0000,0.0000,32.11,0.00
40,48911,1,28.4277,12.7941,0.0000,0.0000,32.75,0.00
41,50562,1,28.9671,13.2966,0.0000,0.0000,32.67,0.00
42,68646,1,35.5879,19.3732,0.0000,0.0000,31.58,0.00
43,34493,1,23.7886,8.6105,0.0000,0.0000,33.73,0.00
44,80249,1,39.9515,23.3672,0.0000,0.0000,30.87,0.00
