prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,31.1607,15.3090,0.0000,0.0000,32.30,0.00
1,81646,1,40.4289,23.8326,0.0000,0.0000,30.85,0.00
2,76090,1,38.2441,21.8375,0.0000,0.0000,31.21,0.00
3,77617,1,38.8280,22.3588,0.0000,0.0000,31.09,0.00
4,55747,1,30.6179,14.8490,0.0000,0.0000,32.47,0.00
5,29498,1,22.1922,7.1755,0.0000,0.0000,34.10,0.00
6,85073,1,41.9832,25.2363,0.0000,0.0000,30.57,0.00
7,24370,1,20.7158,5.8050,0.0000,0.0000,34.34,0.00
8,29084,1,22.0094,7.0027,0.0000,0.0000,34.12,0.00
9,86449,1,42.5039,25.7185,0.0000,0.0000,30.50,0.00
10,13820,1,17.7026,3.1571,0.0000,0.0000,35.20,0.00
11,80111,1,39.8559,23.2943,0.0000,0.0000,30.91,0.00
12,21014,1,19.8045,5.0294,0.0000,0.0000,34.65,0.00
13,40539,1,25.6355,10.3030,0.0000,0.0000,33.39,0.00
14,41253,1,25.7684,10.4369,0.0000,0.0000,33.40,0.00
15,47961,1,27.9813,12.4067,0.0000,0.0000,32.87,0.00
16,37493,1,24.7162,9.4426,0.0000,0.0000,33.52,0.00
17,65396,1,34.1150,18.0299,0.0000,0.0000,31.83,0.00
18,19849,1,19.4029,4.6628,0.0000,0.0000,34.74,0.00
19,94472,1,45.6832,28.6811,0.0000,0.0000,30.11,0.00
20,78236,1,38.9759,22.4753,0.0000,0.0000,31.03,0.00
21,51271,1,29.1948,13.5367,0.0000,0.0000,32.70,0.00
22,86529,1,42.5041,25.8204,0.0000,0.0000,30.69,0.00
23,56310,1,30.7760,14.9652,0.0000,0.0000,32.38,0.00
24,24586,1,20.7586,5.8472,0.0000,0.0000,34.34,0.00
25,35659,1,24.0708,8.8545,0.0000,0.0000,33.65,0.00
26,36601,1,24.3466,9.0912,0.0000,0.0000,33.56,0.00
27,27547,1,21.6015,6.6264,0.0000,0.0000,34.19,0.00
28,90282,1,43.9282,27.0462,0.0000,0.0000,30.33,0.00
29,38905,1,25.0764,9.7652,0.0000,0.0000,33.44,0.00
30,38665,1,24.9922,9.6905,0.0000,0.0000,33.46,0.00
31,68405,1,35.2665,19.0800,0.0000,0.0000,31.63,0.00
32,83924,1,41.4317,24.7358,0.0000,0.0000,30.67,0.00
33,40640,1,25.6427,10.3005,0.0000,0.0000,33.37,0.00
34,24760,1,20.8168,5.8964,0.0000,0.0000,34.32,0.00
35,70404,1,36.0904,19.8413,0.0000,0.0000,31.51,0.00
36,74909,1,37.7710,21.3616,0.0000,0.0000,31.20,0.00
37,16245,1,18.3780,3.7526,0.0000,0.0000,35.01,0.00
38,14941,1,18.0622,3.4882,0.0000,0.0000,35.13,0.00
39,35576,1,23.9772,8.7734,0.0000,0.0000,33.68,0.00
40,58665,1,31.7230,15.8377,0.0000,0.0000,32.23,0.00
41,51288,1,29.2052,13.5337,0.0000,0.0000,32.67,0.00
42,70925,1,36.2419,19.9697,0.0000,0.0000,31.46,0.00
43,83377,1,41.0844,24.4167,0.0000,0.0000,30.72,0.00
44,34600,1,23.7798,8.6111,0.0000,0.0000,33.75,0.00
45,17068,1,18.6005,3.9497,0.0000,0.0000,34.95,0.00
46,82662,1,40.7818,24.1314,0.0000,0.0000,30.75,0.00
47,90967,1,44.2518,27.3363,0.0000,0.0000,30.27,0.00
48,36310,1,24.2926,9.0369,0.0000,0.0000,33.56,0.00
49,97404,1,46.9724,29.8257,0.0000,0.0000,29.86,0.00
50,25417,1,21.0144,6.0831,0.0000,0.0000,34.29,0.00
51,67302,1,34.9682,18.8057,0.0000,0.0000,31.68,0.00
52,80841,1,40.0054,23.4195,0.0000,0.0000,30.87,0.00
53,84104,1,41.5345,24.8100,0.0000,0.0000,30.61,0.00
54,46064,1,27.3576,11.8526,0.0000,0.0000,33.02,0.00
55,16285,1,18.3809,3.7521,0.0000,0.0000,35.00,0.00
56,26728,1,21.4186,6.4566,0.0000,0.0000,34.22,0.00
57,60666,1,32.5025,16.5251,0.0000,0.0000,32.05,0.00
58,24235,1,20.7180,5.8015,0.0000,0.0000,34.32,0.00
59,40886,1,25.6617,10.3017,0.0000,0.0000,33.33,0.00
60,47369,1,27.8314,12.2882,0.0000,0.0000,32.94,0.00
61,24987,1,20.8758,5.9460,0.0000,0.0000,34.29,0.00
62,62887,1,33.2154,17.1781,0.0000,0.0000,31.93,0.00
63,32507,1,23.1022,7.9855,0.0000,0.0000,33.87,0.00
64,55848,1,30.7557,14.9563,0.0000,0.0000,32.41,0.00
65,67033,1,34.7275,18.5680,0.0000,0.0000,31.68,0.00
