prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,4,1.9619,0.8891,1.7776,1.4736,477.24,7.53
1,11544,4,1.9619,0.8891,2.1542,1.7589,477.24,5.89
2,10568,4,1.9619,0.8891,1.9115,1.5893,477.24,6.83
3,18029,4,1.9619,0.8891,1.6911,1.3941,477.24,8.00
4,41716,4,2.7705,1.5033,2.5488,2.0563,404.06,5.82
5,10096,4,2.7705,1.5033,2.4046,1.9548,404.06,6.24
6,10024,4,2.7705,1.5033,2.1136,1.7165,404.06,7.21
7,19917,4,2.7705,1.5033,2.3134,1.8772,404.06,6.56
8,10862,4,1.7951,0.6380,2.2140,1.9612,442.48,5.17
9,11344,4,1.7951,0.6380,1.8451,1.6325,442.48,6.40
10,11855,4,1.7951,0.6380,2.2348,1.9755,442.48,5.12
11,10902,4,1.7951,0.6380,1.9683,1.7466,442.48,5.95
12,27177,4,2.7416,1.5760,2.0095,1.6683,439.27,7.64
13,14437,4,2.7416,1.5760,2.3060,1.9194,439.27,6.40
14,35238,4,2.7416,1.5760,2.3060,1.9194,439.27,6.40
15,11712,4,2.7416,1.5760,2.0371,1.6902,439.27,7.53
16,12495,4,1.7718,0.6855,2.1050,1.8464,471.32,5.45
17,11044,4,1.7718,0.6855,1.7763,1.5769,471.32,6.65
18,10527,4,1.7718,0.6855,2.0035,1.7752,471.32,5.75
19,13411,4,1.7718,0.6855,1.6114,1.4238,471.32,7.42
20,10457,4,1.6850,0.6881,1.8709,1.6521,513.58,6.32
21,10790,4,1.6850,0.6881,1.9309,1.6943,513.58,6.10
22,10404,4,1.6850,0.6881,1.7096,1.5088,513.58,7.01
23,15728,4,1.6850,0.6881,1.7953,1.5868,513.58,6.65
24,26966,4,2.3401,1.1983,2.1411,1.6865,448.44,7.01
25,12323,4,2.3401,1.1983,2.1411,1.6865,448.44,7.01
26,11195,4,2.3401,1.1983,1.9211,1.5115,448.44,7.88
27,22347,4,2.3401,1.1983,2.3344,1.8227,448.44,6.24
28,13522,4,2.1045,0.9297,2.3650,1.9231,435.81,5.69
29,10273,4,2.1045,0.9297,2.0664,1.6733,435.81,6.74
30,16377,4,2.1045,0.9297,2.1804,1.7776,435.81,6.32
31,20281,4,2.1045,0.9297,2.2830,1.8658,435.81,5.95
32,15228,4,2.3811,1.1797,2.3543,1.8762,426.19,6.24
33,22027,4,2.3811,1.1797,2.3127,1.8408,426.19,6.40
34,17265,4,2.3811,1.1797,2.1008,1.6484,426.19,7.21
35,18853,4,2.3811,1.1797,2.4388,1.9355,426.19,5.95
36,13837,4,1.8323,0.7817,1.7617,1.4655,487.35,7.42
37,13876,4,1.8323,0.7817,1.8037,1.5021,487.35,7.21
38,15159,4,1.8323,0.7817,1.7839,1.4853,487.35,7.31
39,10208,4,1.8323,0.7817,2.0993,1.7122,487.35,5.95
40,10534,4,2.1047,0.8925,1.7441,1.4721,422.37,7.53
41,16395,4,2.1047,0.8925,2.3836,2.0155,422.37,5.22
42,12255,4,2.1047,0.8925,1.9908,1.6976,422.37,6.48
43,18939,4,2.1047,0.8925,2.2585,1.9280,422.37,5.57
44,15711,4,2.1131,0.9938,2.2530,1.7889,457.43,6.32
45,13064,4,2.1131,0.9938,1.9791,1.5395,457.43,7.42
46,10727,4,2.1131,0.9938,2.2735,1.8030,457.43,6.24
47,23977,4,2.1131,0.9938,2.2530,1.7889,457.43,6.32
48,11778,4,1.8273,0.7202,1.8048,1.5840,462.48,6.74
49,12792,4,1.8273,0.7202,1.9107,1.6816,462.48,6.32
50,14726,4,1.8273,0.7202,2.1029,1.8489,462.48,5.63
51,10196,4,1.8273,0.7202,2.1430,1.8770,462.48,5.51
52,11261,4,2.1281,0.9651,1.9584,1.5464,440.24,7.31
53,12585,4,2.1281,0.9651,2.3489,1.8818,440.24,5.69
54,14256,4,2.1281,0.9651,2.3280,1.8675,440.24,5.75
55,23746,4,2.1281,0.9651,1.8943,1.4877,440.24,7.64
56,12948,4,1.8966,0.8762,1.9991,1.7045,501.78,6.32
57,15425,4,1.8966,0.8762,1.7495,1.4978,501.78,7.42
58,18778,4,1.8966,0.8762,1.8594,1.5975,501.78,6.92
59,10494,4,1.8966,0.8762,1.9172,1.6473,501.78,6.65
60,20473,4,2.3916,1.1599,2.1355,1.6745,415.69,7.01
61,11249,4,2.3916,1.1599,2.0456,1.5986,415.69,7.42
62,23252,4,2.3916,1.1599,2.0723,1.6207,415.69,7.31
63,16905,4,2.3916,1.1599,2.5306,1.9528,415.69,5.57
64,11314,4,2.7400,1.5735,2.2362,1.8759,438.90,6.74
65,30625,4,2.7400,1.5735,2.3049,1.9241,438.90,6.48
66,20667,4,2.7400,1.5735,2.1922,1.8389,438.90,6.92
67,27118,4,2.7400,1.5735,2.1363,1.7946,438.90,7.11
68,10298,4,1.8936,0.6570,2.4124,2.0829,414.02,4.70
69,10872,4,1.8936,0.6570,1.9639,1.7385,414.02,5.95
70,11383,4,1.8936,0.6570,2.1346,1.8864,414.02,5.39
71,13243,4,1.8936,0.6570,1.6137,1.4158,414.02,7.42
72,13494,4,2.3917,1.1147,2.6347,2.0112,400.94,5.22
73,13835,4,2.3917,1.1147,2.1866,1.6963,400.94,6.74
74,28753,4,2.3917,1.1147,2.0468,1.5750,400.94,7.42
75,12544,4,2.3917,1.1147,2.0690,1.5947,400.94,7.31
76,11033,4,1.6682,0.6995,1.7532,1.5434,528.56,6.92
77,11248,4,1.6682,0.6995,1.8763,1.6439,528.56,6.40
78,14200,4,1.6682,0.6995,1.7961,1.5825,528.56,6.74
79,12107,4,1.6682,0.6995,1.8348,1.6157,528.56,6.56
80,10077,4,2.0073,0.9207,1.9668,1.6733,471.21,6.65
81,12477,4,2.0073,0.9207,1.9214,1.6324,471.21,6.83
82,10839,4,2.0073,0.9207,2.0941,1.7800,471.21,6.17
83,25070,4,2.0073,0.9207,2.1388,1.8109,471.21,6.02
84,37340,4,3.1049,1.6086,2.2365,1.8324,342.19,6.92
85,18897,4,3.1049,1.6086,2.0638,1.6951,342.19,7.53
86,10756,4,3.1049,1.6086,2.2788,1.8679,342.19,6.74
87,22514,4,3.1049,1.6086,3.0315,2.3985,342.19,4.61
88,18708,4,1.8833,0.8712,1.6668,1.4471,505.87,7.64
89,17398,4,1.8833,0.8712,1.9501,1.6907,505.87,6.32
90,10205,4,1.8833,0.8712,1.9706,1.7048,505.87,6.24
91,10487,4,1.8833,0.8712,1.7105,1.4864,505.87,7.42
92,28674,4,2.2617,1.0565,2.0533,1.6353,424.83,7.01
93,12407,4,2.2617,1.0565,2.4541,1.9330,424.83,5.51
94,12121,4,2.2617,1.0565,2.1498,1.7190,424.83,6.56
95,12018,4,2.2617,1.0565,1.9362,1.5299,424.83,7.53
96,10614,4,2.5134,1.3386,2.1940,1.7277,435.82,6.92
97,40412,4,2.5134,1.3386,2.3540,1.8625,435.82,6.32
98,13101,4,2.5134,1.3386,2.0295,1.5965,435.82,7.53
99,10045,4,2.5134,1.3386,2.3940,1.8905,435.82,6.17
100,11466,4,2.6973,1.4624,2.3284,1.9557,414.62,6.17
101,11673,4,2.6973,1.4624,2.4503,2.0411,414.62,5.75
102,43019,4,2.6973,1.4624,2.2516,1.8893,414.62,6.48
103,13310,4,2.6973,1.4624,2.1642,1.8217,414.62,6.74
