prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,4,6.8593,4.4455,3.6211,2.9842,212.11,4.83
1,67610,4,6.8593,4.4455,2.4773,2.0652,212.11,7.42
2,51583,4,6.8593,4.4455,3.1975,2.6715,212.11,5.63
3,45940,4,6.8593,4.4455,2.3385,1.7586,212.11,5.95
4,76082,4,7.1013,4.8349,2.9882,2.3889,225.90,6.32
5,13949,4,7.1013,4.8349,2.4661,1.9920,225.90,7.64
6,48737,4,7.1013,4.8349,2.6239,2.1183,225.90,7.21
7,52305,4,7.1013,4.8349,2.1628,1.5443,225.90,6.48
8,46596,4,6.5210,4.1613,2.6596,2.1694,216.98,7.11
9,42433,4,6.5210,4.1613,3.9756,3.2064,216.98,4.38
10,55705,4,6.5210,4.1613,2.8379,2.3130,216.98,6.65
11,39428,4,6.5210,4.1613,2.0927,1.5804,216.98,6.56
12,97202,4,10.2489,7.7570,2.4067,1.9015,205.46,7.53
13,41364,4,10.2489,7.7570,2.7812,2.2127,205.46,6.56
14,84224,4,10.2489,7.7570,2.5427,1.8987,205.46,7.42
15,41085,4,10.2489,7.7570,2.6632,1.9827,205.46,6.92
16,42399,4,8.5178,6.0831,4.2698,3.5140,210.29,4.23
17,26995,4,8.5178,6.0831,3.0025,2.4821,210.29,6.56
18,96626,4,8.5178,6.0831,2.6427,2.2071,210.29,7.53
19,55843,4,8.5178,6.0831,2.2067,1.7030,210.29,6.83
20,40761,4,6.6553,4.4825,2.5856,2.0705,235.64,7.31
21,40531,4,6.6553,4.4825,2.5856,2.0705,235.64,7.31
22,57284,4,6.6553,4.4825,2.5856,2.0705,235.64,7.31
23,54495,4,6.6553,4.4825,1.8806,1.3181,235.64,7.01
24,45924,4,6.8801,4.5824,3.1298,2.4732,222.83,5.95
25,58514,4,6.8801,4.5824,2.8439,2.2445,222.83,6.65
26,29550,4,6.8801,4.5824,2.9479,2.3254,222.83,6.40
27,59277,4,6.8801,4.5824,1.8696,1.3312,222.83,7.42
28,56028,4,8.2098,5.7832,2.6835,2.1615,210.99,7.11
29,55048,4,8.2098,5.7832,2.6538,2.1385,210.99,7.21
30,33241,4,8.2098,5.7832,4.0600,3.2786,210.99,4.41
31,79678,4,8.2098,5.7832,2.2568,1.6859,210.99,7.11
32,76968,4,10.3625,7.5748,2.9542,2.1926,183.66,6.17
33,45169,4,10.3625,7.5748,2.7728,2.0578,183.66,6.56
34,67357,4,10.3625,7.5748,2.9230,2.2535,183.66,6.48
35,80060,4,10.3625,7.5748,2.6786,2.0811,183.66,7.11
36,34953,4,6.1817,4.0918,2.9958,2.3889,244.99,7.31
37,44079,4,6.1817,4.0918,3.1553,2.5175,244.99,6.83
38,41330,4,6.1817,4.0918,3.0340,2.4193,244.99,7.21
39,59768,4,6.1817,4.0918,4.2780,3.2974,244.99,4.38
40,48911,4,7.1703,4.9129,2.9247,2.3819,226.81,6.83
41,50562,4,7.1703,4.9129,2.7833,2.2740,226.81,7.31
42,68646,4,7.1703,4.9129,2.7833,2.2740,226.81,7.31
43,34493,4,7.1703,4.9129,1.8014,1.2734,226.81,6.65
44,80249,4,8.6817,6.2005,2.7186,2.2468,206.35,7.42
45,45433,4,8.6817,6.2005,3.0526,2.5202,206.35,6.56
