prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,4,11.2374,8.4598,2.7430,2.1528,184.33,6.65
1,81646,4,11.2374,8.4598,2.6061,2.0515,184.33,7.01
2,76090,4,11.2374,8.4598,2.8608,2.2520,184.33,6.65
3,77617,4,11.2374,8.4598,2.7506,2.1691,184.33,6.92
4,55747,4,7.7317,5.0350,5.4174,4.3429,189.86,3.14
5,29498,4,7.7317,5.0350,2.9501,2.4496,189.86,6.83
6,85073,4,7.7317,5.0350,2.9208,2.4269,189.86,6.92
7,24370,4,7.7317,5.0350,2.1054,1.6402,189.86,6.92
8,29084,4,8.4308,5.9398,2.6915,2.0968,205.54,7.01
9,86449,4,8.4308,5.9398,2.8464,2.2199,205.54,6.65
10,13820,4,8.4308,5.9398,2.8071,2.1885,205.54,6.74
11,80111,4,8.4308,5.9398,2.5326,1.6577,205.54,6.40
12,21014,4,4.6790,3.1895,2.9160,2.3716,343.74,6.74
13,40539,4,4.6790,3.1895,2.9828,2.4226,343.74,6.56
14,41253,4,4.6790,3.1895,2.9828,2.4226,343.74,6.56
15,47961,4,4.6790,3.1895,2.9535,2.4004,343.74,6.65
16,37493,4,8.5038,6.0381,2.7296,2.1538,207.65,6.56
17,65396,4,8.5038,6.0381,2.7054,2.1373,207.65,6.65
18,19849,4,8.5038,6.0381,2.5251,1.9911,207.65,7.21
19,94472,4,8.5038,6.0381,2.4316,1.6381,207.65,6.74
20,78236,4,10.4259,7.7224,2.7434,2.0277,189.38,6.83
21,51271,4,10.4259,7.7224,2.6720,1.9762,189.38,7.01
22,86529,4,10.4259,7.7224,2.7410,2.0940,189.38,6.92
23,56310,4,10.4259,7.7224,2.8000,2.1327,189.38,6.65
24,24586,4,3.7333,2.3857,2.7194,2.0983,379.94,6.92
25,35659,4,3.7333,2.3857,2.7194,2.0983,379.94,6.92
26,36601,4,3.7333,2.3857,2.6609,2.0488,379.94,7.11
27,27547,4,3.7333,2.3857,2.7645,2.1296,379.94,6.74
28,90282,4,9.0559,6.4626,2.8217,2.3341,197.43,7.11
29,38905,4,9.0559,6.4626,4.5804,3.7671,197.43,3.97
30,38665,4,9.0559,6.4626,2.9634,2.4481,197.43,6.74
31,68405,4,9.0559,6.4626,2.3852,1.8151,197.43,6.65
32,83924,4,8.3488,5.8967,2.7780,2.2573,208.80,6.92
33,40640,4,8.3488,5.8967,2.8027,2.2741,208.80,6.83
34,24760,4,8.3488,5.8967,2.7038,2.2039,208.80,7.11
35,70404,4,8.3488,5.8967,2.3429,1.4565,208.80,6.83
36,74909,4,4.9556,3.3693,3.2332,2.5014,322.75,5.89
37,16245,4,4.9556,3.3693,2.8317,2.2330,322.75,6.92
38,14941,4,4.9556,3.3693,2.9196,2.3025,322.75,6.65
39,35576,4,4.9556,3.3693,2.8003,2.2063,322.75,7.01
40,58665,4,9.9329,7.3129,3.1468,2.4939,195.42,6.83
41,51288,4,9.9329,7.3129,3.1198,2.4755,195.42,6.92
42,70925,4,9.9329,7.3129,3.0262,2.4002,195.42,7.21
43,83377,4,9.9329,7.3129,2.3319,1.5232,195.42,6.92
44,34600,4,8.9911,6.5496,2.7005,2.1211,209.71,7.01
45,17068,4,8.9911,6.5496,2.8555,2.2458,209.71,6.56
46,82662,4,8.9911,6.5496,2.6387,2.0714,209.71,7.21
47,90967,4,8.9911,6.5496,2.4861,1.6886,209.71,6.56
48,36310,4,8.9669,6.3815,3.1457,2.5817,198.03,6.17
49,97404,4,8.9669,6.3815,2.8913,2.3806,198.03,6.83
50,25417,4,8.9669,6.3815,2.9939,2.4584,198.03,6.56
51,67302,4,8.9669,6.3815,2.4751,1.5604,198.03,6.48
52,80841,4,9.1698,6.3806,4.4792,3.5301,183.57,4.38
53,84104,4,9.1698,6.3806,2.8744,2.2473,183.57,6.92
54,46064,4,9.1698,6.3806,2.7707,2.1420,183.57,5.89
55,16285,4,9.1698,6.3806,2.4744,1.9347,183.57,6.83
56,26728,4,4.8375,3.3289,2.9172,2.3327,339.39,6.83
57,60666,4,4.8375,3.3289,3.0353,2.4073,339.39,6.48
58,24235,4,4.8375,3.3289,2.8127,2.2533,339.39,7.11
59,40886,4,4.8375,3.3289,2.8875,2.3100,339.39,6.92
60,47369,4,5.3555,3.7995,3.1084,2.5114,329.06,6.56
61,24987,4,5.3555,3.7995,3.0504,2.4669,329.06,6.74
62,62887,4,5.3555,3.7995,2.9578,2.3878,329.06,7.01
63,32507,4,5.3555,3.7995,3.1084,2.5114,329.06,6.56
64,55848,4,9.0395,6.4099,2.7172,2.0084,194.70,6.74
65,67033,4,9.0395,6.4099,2.7172,2.0084,194.70,6.74
