prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,29.5664,15.9812,4.1694,9.0457,37.69,2.67
1,81646,1,38.5632,24.6816,4.2239,9.0776,36.88,2.80
2,76090,1,35.7795,22.6380,4.0039,8.6270,38.96,2.91
3,77617,1,37.4038,23.1941,4.3382,9.3189,36.03,2.69
4,55747,1,19.5993,15.3864,1.2785,2.7637,121.53,8.68
5,29498,1,19.5347,7.3775,3.6780,8.0181,42.11,2.80
6,85073,1,41.1908,26.2056,4.5763,9.8113,34.17,2.61
7,24370,1,18.1944,5.9404,3.7019,8.0822,41.78,2.75
8,29084,1,19.1819,7.2179,3.6185,7.8889,42.79,2.84
9,86449,1,41.5740,26.6899,4.5604,9.7460,34.40,2.63
10,13820,1,14.7210,3.2285,3.4694,7.5969,44.55,2.84
11,80111,1,38.5944,24.1374,4.4237,9.4741,35.42,2.67
12,21014,1,16.7416,5.1067,3.5343,7.6679,44.01,2.88
13,40539,1,23.6099,10.5853,3.9598,8.5809,39.31,2.69
14,41253,1,23.0618,10.8050,3.7371,8.0908,41.77,2.86
15,47961,1,25.7619,12.8216,4.0244,8.4272,39.57,2.80
16,37493,1,22.9699,9.7068,4.0196,8.7441,38.60,2.63
17,65396,1,32.7719,18.6621,4.3008,9.2706,36.29,2.64
18,19849,1,18.7516,4.7879,4.2376,9.2067,36.67,2.38
19,94472,1,41.9022,29.7598,3.7346,7.9457,42.17,3.28
20,78236,1,37.6876,23.3259,4.3768,9.4229,35.65,2.68
21,51271,1,26.9296,13.9837,3.9473,8.5020,39.55,2.80
22,86529,1,41.0572,26.7366,4.4033,9.3941,35.75,2.72
23,56310,1,29.2931,15.5121,4.2119,9.0404,37.15,2.65
24,24586,1,17.6947,6.0312,3.5273,7.6898,43.90,2.89
25,35659,1,21.4843,9.0957,3.7610,8.1568,41.33,2.80
26,36601,1,22.3241,9.4057,3.9125,8.5186,39.63,2.69
27,27547,1,11.4850,6.8292,1.4056,3.0665,109.97,7.31
28,90282,1,33.6842,28.1020,1.7109,3.6454,91.72,7.11
29,38905,1,22.8942,10.1159,3.8790,8.4181,40.07,2.74
30,38665,1,22.5664,9.9466,3.8377,8.3047,40.57,2.77
31,68405,1,32.6323,19.7301,3.9413,8.4674,39.68,2.91
32,83924,1,38.8459,25.6789,4.0404,8.6155,38.89,2.96
33,40640,1,23.4973,10.5929,3.9239,8.4931,39.68,2.72
34,24760,1,18.3347,6.0798,3.7079,8.0785,41.78,2.75
35,70404,1,33.7368,20.5430,4.0237,8.6627,38.81,2.86
36,74909,1,36.3949,22.1581,4.3512,9.3305,35.96,2.68
37,16245,1,15.0743,3.8116,3.3994,7.4400,45.46,2.93
38,14941,1,14.5404,3.4989,3.3299,7.3007,46.37,2.98
39,35576,1,14.4247,9.0697,1.6283,3.5184,95.61,6.48
40,58665,1,29.9471,16.3771,4.1386,8.9109,37.73,2.71
41,51288,1,27.4315,13.9833,4.1043,8.8265,38.07,2.69
42,70925,1,34.4641,20.6650,4.2167,9.0541,37.10,2.74
43,83377,1,38.8743,25.3514,4.1533,8.8436,37.86,2.88
44,34600,1,21.6407,8.8719,3.8747,8.4121,40.10,2.71
45,17068,1,15.8020,4.0589,3.5609,7.7406,43.60,2.81
46,82662,1,39.3281,25.0661,4.3697,9.3396,35.90,2.72
47,90967,1,43.1654,28.3897,4.5400,9.6628,34.65,2.68
48,36310,1,21.2389,9.3444,3.6042,7.8420,43.04,2.93
49,97404,1,35.9495,30.9092,1.5502,3.2767,101.58,8.00
50,25417,1,18.4057,6.2689,3.6746,7.9985,42.19,2.78
51,67302,1,32.7692,19.4989,4.0528,8.7065,38.58,2.83
52,80841,1,38.0485,24.3046,4.2120,9.0004,37.25,2.81
53,84104,1,40.4634,25.7443,4.5117,9.6367,34.78,2.65
54,46064,1,25.0275,12.2624,3.8940,8.3890,40.11,2.80
55,16285,1,15.2319,3.8347,3.4434,7.5280,44.92,2.89
56,26728,1,18.8669,6.6248,3.7100,8.0643,41.82,2.77
57,60666,1,30.9467,17.1441,4.2120,9.0636,37.09,2.68
58,24235,1,17.7340,5.9145,3.5900,7.7773,43.32,2.86
59,40886,1,22.6755,10.6462,3.6601,7.9122,42.56,2.93
60,47369,1,25.2639,12.6998,3.9247,8.1661,40.75,2.88
61,24987,1,18.1380,6.1342,3.6323,7.9114,42.65,2.81
62,62887,1,31.3610,17.7957,4.1417,8.9036,37.74,2.74
63,32507,1,23.2891,8.1945,4.5774,9.9471,33.92,2.28
64,55848,1,28.4122,15.4195,3.9663,8.5265,39.41,2.81
65,67033,1,32.9819,19.2649,4.1949,8.9959,37.33,2.74
