prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,4,2.1745,0.8907,2.5808,1.4783,398.80,7.53
1,11544,4,2.1745,0.8907,2.9970,1.7652,398.80,5.89
2,10568,4,2.1745,0.8907,2.7311,1.5945,398.80,6.83
3,18029,4,2.1745,0.8907,2.4852,1.3985,398.80,8.00
4,41716,4,2.8252,1.5028,2.7584,2.0643,387.17,5.82
5,10096,4,2.8252,1.5028,2.6016,1.9622,387.17,6.24
6,10024,4,2.8252,1.5028,2.2831,1.7229,387.17,7.21
7,19917,4,2.8252,1.5028,2.5007,1.8844,387.17,6.56
8,10862,4,1.8575,0.6384,2.4493,1.9720,419.96,5.17
9,11344,4,1.8575,0.6384,2.0364,1.6420,419.96,6.40
10,11855,4,1.8575,0.6384,2.4715,1.9864,419.96,5.12
11,10902,4,1.8575,0.6384,2.1734,1.7565,419.96,5.95
12,27177,4,2.7953,1.5770,2.1804,1.6722,420.25,7.64
13,14437,4,2.7953,1.5770,2.5086,1.9241,420.25,6.40
14,35238,4,2.7953,1.5770,2.5086,1.9241,420.25,6.40
15,11712,4,2.7953,1.5770,2.2098,1.6942,420.25,7.53
16,12495,4,1.8293,0.6854,2.3257,1.8526,447.58,5.45
17,11044,4,1.8293,0.6854,1.9594,1.5820,447.58,6.65
18,10527,4,1.8293,0.6854,2.2150,1.7811,447.58,5.75
19,13411,4,1.8293,0.6854,1.7758,1.4284,447.58,7.42
20,10457,4,1.7355,0.6879,2.0616,1.6568,488.74,6.32
21,10790,4,1.7355,0.6879,2.1272,1.6993,488.74,6.10
22,10404,4,1.7355,0.6879,1.8831,1.5131,488.74,7.01
23,15728,4,1.7355,0.6879,1.9779,1.5913,488.74,6.65
24,26966,4,2.3947,1.1981,2.3293,1.6914,427.88,7.01
25,12323,4,2.3947,1.1981,2.3293,1.6914,427.88,7.01
26,11195,4,2.3947,1.1981,2.0897,1.5160,427.88,7.88
27,22347,4,2.3947,1.1981,2.5414,1.8286,427.88,6.24
28,13522,4,2.1707,0.9290,2.6267,1.9285,412.32,5.69
29,10273,4,2.1707,0.9290,2.2978,1.6779,412.32,6.74
30,16377,4,2.1707,0.9290,2.4238,1.7825,412.32,6.32
31,20281,4,2.1707,0.9290,2.5377,1.8709,412.32,5.95
32,15228,4,2.4372,1.1788,2.5664,1.8814,406.89,6.24
33,22027,4,2.4372,1.1788,2.5207,1.8459,406.89,6.40
34,17265,4,2.4372,1.1788,2.2837,1.6529,406.89,7.21
35,18853,4,2.4372,1.1788,2.6586,1.9410,406.89,5.95
