prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,4,7.1415,4.4478,4.6358,2.9888,190.08,4.83
1,67610,4,7.1415,4.4478,3.4048,2.0683,190.08,7.42
2,51583,4,7.1415,4.4478,4.1744,2.6756,190.08,5.63
3,45940,4,7.1415,4.4478,2.5290,1.7622,190.08,5.95
4,76082,4,7.1958,4.8319,3.1927,2.3916,216.59,6.32
5,13949,4,7.1958,4.8319,2.6382,1.9944,216.59,7.64
6,48737,4,7.1958,4.8319,2.8045,2.1206,216.59,7.21
7,52305,4,7.1958,4.8319,2.3383,1.5482,216.59,6.48
8,46596,4,6.6228,4.1605,2.8456,2.1740,207.94,7.11
9,42433,4,6.6228,4.1605,4.2782,3.2129,207.94,4.38
10,55705,4,6.6228,4.1605,3.0349,2.3178,207.94,6.65
11,39428,4,6.6228,4.1605,2.2795,1.5842,207.94,6.56
12,97202,4,10.3576,7.7458,2.6547,1.9038,196.03,7.53
13,41364,4,10.3576,7.7458,3.0538,2.2155,196.03,6.56
14,84224,4,10.3576,7.7458,2.7186,1.9018,196.03,7.42
15,41085,4,10.3576,7.7458,2.8490,1.9860,196.03,6.92
16,42399,4,8.6112,6.0807,4.5786,3.5196,202.34,4.23
17,26995,4,8.6112,6.0807,3.2008,2.4855,202.34,6.56
18,96626,4,8.6112,6.0807,2.8173,2.2103,202.34,7.53
19,55843,4,8.6112,6.0807,2.3880,1.7066,202.34,6.83
20,40761,4,6.7325,4.4862,2.7475,2.0726,227.93,7.31
21,40531,4,6.7325,4.4862,2.7475,2.0726,227.93,7.31
22,57284,4,6.7325,4.4862,2.7475,2.0726,227.93,7.31
23,54495,4,6.7325,4.4862,2.0416,1.3215,227.93,7.01
24,45924,4,6.9725,4.5850,3.3433,2.4768,214.45,5.95
25,58514,4,6.9725,4.5850,3.0365,2.2479,214.45,6.65
26,29550,4,6.9725,4.5850,3.1466,2.3288,214.45,6.40
27,59277,4,6.9725,4.5850,2.0403,1.3348,214.45,7.42
28,56028,4,8.3020,5.7824,2.8563,2.1645,203.21,7.11
29,55048,4,8.3020,5.7824,2.8248,2.1415,203.21,7.21
30,33241,4,8.3020,5.7824,4.3568,3.2834,203.21,4.41
31,79678,4,8.3020,5.7824,2.4397,1.6890,203.21,7.11
32,76968,4,10.4593,7.5881,3.1557,2.1963,178.32,6.17
33,45169,4,10.4593,7.5881,2.9632,2.0614,178.32,6.56
34,67357,4,10.4593,7.5881,3.1140,2.2563,178.32,6.48
35,80060,4,10.4593,7.5881,2.8548,2.0837,178.32,7.11
36,34953,4,6.2547,4.0871,3.1755,2.3912,236.20,7.31
37,44079,4,6.2547,4.0871,3.3461,2.5200,236.20,6.83
38,41330,4,6.2547,4.0871,3.2153,2.4218,236.20,7.21
39,59768,4,6.2547,4.0871,4.5574,3.3025,236.20,4.38
40,48911,4,7.2518,4.9185,3.0948,2.3856,219.43,6.83
41,50562,4,7.2518,4.9185,2.9421,2.2774,219.43,7.31
42,68646,4,7.2518,4.9185,2.9421,2.2774,219.43,7.31
43,34493,4,7.2518,4.9185,1.9636,1.2777,219.43,6.65
44,80249,4,8.7884,6.1932,2.9002,2.2497,197.29,7.42
45,45433,4,8.7884,6.1932,3.2556,2.5234,197.29,6.56
46,42940,4,8.7884,6.1932,3.5891,2.7761,197.29,5.82
47,66384,4,8.7884,6.1932,2.5764,1.6173,197.29,6.74
48,62497,4,9.5137,6.6823,2.9748,2.0331,180.83,6.74
49,64922,4,9.5137,6.6823,2.7070,1.8526,180.83,7.42
50,64331,4,9.5137,6.6823,3.3754,2.2938,180.83,5.82
51,60831,4,9.5137,6.6823,2.9065,1.9992,180.83,6.83
52,61279,4,8.6296,5.9847,3.0578,2.2359,193.58,6.56
53,32350,4,8.6296,5.9847,4.5169,3.2500,193.58,4.41
54,36657,4,8.6296,5.9847,3.0259,2.2123,193.58,6.65
55,91417,4,8.6296,5.9847,2.6160,1.7419,193.58,7.11
56,65436,4,8.2249,5.6408,3.7706,2.8568,198.13,5.63
57,46663,4,8.2249,5.6408,3.2233,2.4835,198.13,6.65
58,53750,4,8.2249,5.6408,2.9344,2.2607,198.13,7.31
59,59395,4,8.2249,5.6408,2.5017,1.6633,198.13,6.48
60,40279,4,11.1630,8.3090,3.0196,2.1311,179.40,6.48
61,90110,4,11.1630,8.3090,2.6524,1.8582,179.40,7.53
62,73819,4,11.1630,8.3090,3.3455,2.4330,179.40,6.02
63,79005,4,11.1630,8.3090,2.9038,2.1173,179.40,7.11
64,42322,4,8.2608,5.5769,4.5392,3.4826,190.77,4.41
65,53902,4,8.2608,5.5769,3.6752,2.8346,190.77,5.69
66,61769,4,8.2608,5.5769,3.1466,2.4280,190.77,6.65
67,64889,4,8.2608,5.5769,2.4614,1.6593,190.77,7.21
68,63342,4,5.5226,3.8870,3.2874,2.5023,313.04,6.74
69,39113,4,5.5226,3.8870,3.2874,2.5023,313.04,6.74
70,49547,4,5.5226,3.8870,3.3770,2.5619,313.04,6.48
71,16319,4,5.5226,3.8870,3.3495,2.5441,313.04,6.56
72,57675,4,8.1154,5.5485,3.3196,2.5596,199.46,6.56
73,74334,4,8.1154,5.5485,3.0533,2.3584,199.46,7.21
74,41988,4,8.1154,5.5485,3.2866,2.5349,199.46,6.65
75,46074,4,8.1154,5.5485,2.3256,1.5298,199.46,6.10
76,60183,4,6.7601,4.4457,2.8013,2.1196,221.23,7.42
77,52145,4,6.7601,4.4457,3.1107,2.3455,221.23,6.65
78,37351,4,6.7601,4.4457,3.1107,2.3455,221.23,6.65
79,41649,4,6.7601,4.4457,2.0668,1.3540,221.23,6.83
80,52871,4,7.4027,5.0930,2.8619,2.1992,221.68,7.31
81,65038,4,7.4027,5.0930,2.8299,2.1756,221.68,7.42
82,40139,4,7.4027,5.0930,3.0851,2.3633,221.68,6.65
83,51847,4,7.4027,5.0930,2.0190,1.3089,221.68,7.21
84,79672,4,8.7495,6.1253,3.3288,2.4802,195.11,7.01
85,65911,4,8.7495,6.1253,3.5122,2.6197,195.11,6.56
86,35847,4,8.7495,6.1253,3.4433,2.5671,195.11,6.74
87,51204,4,8.7495,6.1253,2.2310,1.4371,195.11,6.56
88,96615,4,13.7819,9.5464,5.2259,3.8125,120.89,4.00
89,62300,4,13.7819,9.5464,3.5284,2.5821,120.89,5.95
90,56180,4,13.7819,9.5464,3.0237,2.1953,120.89,6.83
91,94730,4,13.7819,9.5464,3.7709,2.5130,120.89,4.92
92,59788,4,9.1940,6.5495,3.0687,2.1569,193.61,6.56
93,74351,4,9.1940,6.5495,2.8676,2.0051,193.61,7.01
94,55590,4,9.1940,6.5495,2.6486,1.9667,193.61,6.65
95,58268,4,9.1940,6.5495,2.5355,1.8936,193.61,7.01
96,54887,4,7.6597,5.2077,3.2142,2.4308,208.81,6.56
97,56312,4,7.6597,5.2077,3.2142,2.4308,208.81,6.56
98,42563,4,7.6597,5.2077,2.8386,2.1431,208.81,7.42
99,59743,4,7.6597,5.2077,2.3478,1.5449,208.81,6.65
100,51451,4,8.0223,5.2853,3.2927,2.5222,187.07,6.32
101,56469,4,8.0223,5.2853,3.1909,2.4459,187.07,6.56
102,48444,4,8.0223,5.2853,3.0725,2.3557,187.07,6.83
103,60058,4,8.0223,5.2853,2.7189,1.7487,187.07,5.63
104,10634,4,5.5608,3.5442,3.3555,2.5287,253.89,6.17
105,54092,4,5.5608,3.5442,3.1742,2.3900,253.89,6.74
106,44158,4,5.5608,3.5442,4.2361,3.0949,253.89,4.41
107,48261,4,5.5608,3.5442,3.0047,2.2565,253.89,7.21
108,64982,4,8.0743,5.1476,3.0819,2.3744,174.94,7.11
109,51385,4,8.0743,5.1476,3.7174,2.8362,174.94,5.57
110,56240,4,8.0743,5.1476,3.0475,2.3488,174.94,7.21
111,38287,4,8.0743,5.1476,3.1262,2.0588,174.94,4.41
112,41060,4,9.0150,6.0296,3.0680,2.3428,171.50,7.21
113,45042,4,9.0150,6.0296,3.6497,2.7706,171.50,5.75
114,89836,4,9.0150,6.0296,2.9564,2.2607,171.50,7.53
115,51716,4,9.0150,6.0296,3.3314,2.2056,171.50,4.41
116,62277,4,9.8368,7.1798,2.8641,2.0515,192.70,7.11
117,80709,4,9.8368,7.1798,2.8641,2.0515,192.70,7.11
118,60401,4,9.8368,7.1798,2.4995,1.8519,192.70,7.21
119,59059,4,9.8368,7.1798,2.7008,1.9816,192.70,6.56
120,54036,4,10.4199,7.5523,4.0565,2.9360,178.55,5.69
121,52948,4,10.4199,7.5523,3.6295,2.6365,178.55,6.48
122,76647,4,10.4199,7.5523,3.3953,2.4624,178.55,7.11
123,85185,4,10.4199,7.5523,2.5344,1.5993,178.55,7.01
124,65634,4,7.2287,4.7899,2.8913,2.1859,209.94,7.21
125,38101,4,7.2287,4.7899,3.1626,2.3843,209.94,6.56
126,46758,4,7.2287,4.7899,3.1626,2.3843,209.94,6.56
127,50318,4,7.2287,4.7899,2.2561,1.4699,209.94,6.48
128,48414,4,6.9815,4.6228,2.9195,2.1662,217.07,7.01
129,50414,4,6.9815,4.6228,3.0203,2.2412,217.07,6.74
130,41436,4,6.9815,4.6228,2.8456,2.1109,217.07,7.21
131,57507,4,6.9815,4.6228,2.1682,1.4162,217.07,6.83
132,54517,4,6.7455,4.2392,2.9533,2.1627,204.29,6.92
133,42523,4,6.7455,4.2392,4.3004,3.1516,204.29,4.41
134,37852,4,6.7455,4.2392,2.9848,2.1849,204.29,6.83
135,50824,4,6.7455,4.2392,2.3357,1.6091,204.29,6.65
136,50145,4,7.8542,5.2470,3.1799,2.3680,196.38,6.48
137,37155,4,7.8542,5.2470,2.9293,2.1774,196.38,7.01
138,52689,4,7.8542,5.2470,3.1799,2.3680,196.38,6.48
139,72055,4,7.8542,5.2470,2.7074,1.6286,196.38,6.48
140,67150,4,8.3502,5.7222,2.8336,1.9313,194.82,7.11
141,59707,4,8.3502,5.7222,2.9858,2.0434,194.82,6.74
142,67491,4,8.3502,5.7222,2.7271,1.9920,194.82,6.10
143,26701,4,8.3502,5.7222,2.5592,1.8954,194.82,6.48
144,49208,4,7.2623,4.7899,2.7519,2.0429,207.09,7.42
145,54068,4,7.2623,4.7899,3.1105,2.3130,207.09,6.56
146,35154,4,7.2623,4.7899,3.1105,2.3130,207.09,6.56
147,62229,4,7.2623,4.7899,2.5875,1.5647,207.09,6.56
148,29037,4,7.8229,5.4437,3.0371,2.2862,215.20,7.01
149,89113,4,7.8229,5.4437,3.0769,2.3133,215.20,6.92
150,36653,4,7.8229,5.4437,3.2367,2.4298,215.20,6.48
151,53035,4,7.8229,5.4437,1.9687,1.2675,215.20,7.42
152,80372,4,7.5650,5.0864,3.0793,2.3605,206.56,7.01
153,44302,4,7.5650,5.0864,3.3223,2.5361,206.56,6.40
154,39868,4,7.5650,5.0864,3.2278,2.4679,206.56,6.65
155,39764,4,7.5650,5.0864,2.1196,1.3816,206.56,6.48
156,90961,4,11.3460,8.4310,3.6734,2.5248,175.64,6.48
157,91256,4,11.3460,8.4310,3.3981,2.3328,175.64,7.11
158,51147,4,11.3460,8.4310,2.5907,1.8970,175.64,6.65
159,50635,4,11.3460,8.4310,2.4885,1.8155,175.64,6.74
160,60356,4,9.3916,6.7109,3.1618,2.2394,191.00,6.48
161,79138,4,9.3916,6.7109,2.9156,2.0562,191.00,7.01
162,52504,4,9.3916,6.7109,2.7009,1.9813,191.00,6.40
163,58683,4,9.3916,6.7109,2.3928,1.7834,191.00,7.42
164,63507,4,10.0431,7.2548,2.8558,2.0034,183.63,6.74
165,58138,4,10.0431,7.2548,3.0006,2.1017,183.63,6.40
166,64303,4,10.0431,7.2548,3.0641,2.1493,183.63,6.56
167,78586,4,10.0431,7.2548,2.7137,1.9361,183.63,7.53
168,33869,4,6.7558,4.3137,4.3265,3.1725,209.65,4.41
169,48506,4,6.7558,4.3137,3.1016,2.3057,209.65,6.65
