prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,9.6183,5.3306,1.9941,2.3334,119.41,9.48
1,67610,1,24.1556,19.6302,1.9076,2.4591,113.14,10.04
2,51583,1,18.4564,14.1028,1.8699,2.3308,117.60,10.24
3,45940,1,17.3875,12.2962,2.2123,2.7116,100.56,8.68
4,76082,1,27.3893,22.7101,1.9501,2.5543,109.42,9.85
5,13949,1,11.1266,3.2629,3.6027,4.0199,65.11,5.39
6,48737,1,17.6280,13.1669,1.9436,2.3610,114.77,10.04
7,52305,1,23.6177,14.4197,3.9961,4.8969,55.66,4.88
8,46596,1,18.1109,12.4458,2.4861,2.9880,90.38,7.88
9,42433,1,16.0431,11.1945,2.1378,2.5560,105.60,9.14
10,55705,1,21.3328,15.4359,2.5481,3.1447,86.83,7.64
11,39428,1,14.4837,10.2762,1.8668,2.2174,121.69,10.45
12,97202,1,36.3321,30.9452,2.2077,2.9749,95.04,8.83
13,41364,1,15.6210,10.8693,2.0999,2.4927,107.75,9.31
14,84224,1,31.2860,25.8417,2.2895,2.9570,94.04,8.68
15,41085,1,20.2745,10.7831,4.2468,4.9394,53.94,4.70
16,42399,1,15.5560,11.1866,1.9412,2.2814,117.18,10.24
17,26995,1,11.1736,6.7153,2.0306,2.2798,114.84,9.85
18,96626,1,35.8871,30.8219,2.0945,2.7735,101.08,9.48
19,55843,1,19.9936,15.4791,1.9620,2.3964,113.41,10.04
20,40761,1,15.1604,10.6489,2.0018,2.3572,113.49,9.85
21,40531,1,14.9658,10.6132,1.9397,2.2661,117.63,10.24
22,57284,1,20.7244,15.9356,2.0735,2.5529,106.92,9.48
23,54495,1,19.5203,15.0302,1.9377,2.3957,114.03,10.04
24,45924,1,16.6551,12.2873,1.9234,2.2973,117.22,10.24
25,58514,1,21.0392,16.3944,2.0231,2.4588,110.23,9.85
26,29550,1,15.9856,7.4123,3.8943,4.4020,59.72,5.12
27,59277,1,20.9890,16.7168,1.8509,2.2696,119.85,10.67
28,56028,1,19.9646,15.5282,1.9353,2.3504,115.41,10.24
29,55048,1,20.1063,15.1386,2.1662,2.6287,103.07,9.14
30,33241,1,13.0348,8.4704,2.0525,2.3642,112.17,9.66
31,79678,1,28.8033,23.8985,2.0552,2.6738,104.39,9.48
32,76968,1,28.1907,23.1257,2.1272,2.7533,101.09,9.14
33,45169,1,16.2750,12.0069,1.8738,2.2514,119.96,10.45
34,67357,1,24.6804,19.5753,2.1751,2.7534,100.29,8.98
35,80060,1,29.6995,24.2257,2.3140,2.9721,93.54,8.53
36,34953,1,17.6173,9.0010,3.8655,4.4660,59.42,5.12
37,44079,1,16.5922,11.7898,2.1270,2.5112,106.61,9.31
38,41330,1,15.5708,10.8700,2.0985,2.4483,108.92,9.48
39,59768,1,21.6487,16.8356,2.0828,2.5582,106.38,9.48
40,48911,1,17.7531,13.1958,1.9931,2.4078,112.35,9.85
41,50562,1,18.2723,13.7578,1.9694,2.4078,113.41,9.85
42,68646,1,28.5125,20.0713,3.6097,4.5369,60.65,5.45
43,34493,1,13.2137,8.8949,1.9431,2.2329,118.55,10.24
44,80249,1,28.6508,24.2561,1.8560,2.3772,116.50,10.67
45,45433,1,16.4437,12.0609,1.9323,2.2983,116.82,10.24
46,42940,1,15.8318,11.3903,1.9669,2.3256,115.28,10.04
47,66384,1,24.1484,19.1296,2.1427,2.6977,102.02,9.14
48,62497,1,22.8191,17.7630,2.1633,2.7167,101.26,8.98
49,64922,1,23.7068,18.6401,2.1590,2.7305,101.05,8.98
50,64331,1,22.6095,18.3438,1.8127,2.3000,120.02,10.67
51,60831,1,22.9177,17.2445,2.4239,3.0508,90.25,8.00
52,61279,1,22.7735,17.3396,2.3338,2.9074,94.22,8.39
53,32350,1,15.2222,8.2024,3.1538,3.6356,72.94,6.24
54,36657,1,16.4525,9.4620,3.1141,3.6453,73.24,6.32
55,91417,1,39.1698,28.6465,4.3577,5.7924,48.65,4.49
56,65436,1,30.1802,18.7491,4.8985,6.1410,44.79,4.00
57,46663,1,17.9495,12.4532,2.4113,2.8966,93.15,8.13
58,53750,1,19.2394,14.8396,1.9092,2.3374,116.37,10.24
59,59395,1,26.9100,16.7550,4.3942,5.4395,50.42,4.45
60,40279,1,15.3348,10.4771,2.1550,2.5383,105.40,9.14
61,90110,1,37.0749,28.0683,3.7296,4.9672,56.85,5.22
62,73819,1,26.1286,21.8074,1.8127,2.3482,118.49,10.67
63,79005,1,28.8465,23.7774,2.1110,2.7745,101.00,9.14
64,42322,1,17.3941,11.1521,2.7467,3.2877,82.02,7.11
65,53902,1,19.6164,14.8987,2.0276,2.5265,108.53,9.48
66,61769,1,21.9013,17.4359,1.9239,2.3849,114.66,10.24
67,64889,1,23.9187,18.6372,2.2641,2.8311,96.94,8.68
68,63342,1,22.9541,17.9392,2.1543,2.6853,102.10,9.14
69,39113,1,17.7188,10.1926,3.3380,3.9420,68.03,5.89
70,49547,1,17.9550,13.4198,1.9625,2.4102,112.90,9.85
