prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,32.6613,15.9741,7.2562,9.0400,30.68,2.67
1,81646,1,41.3310,24.6687,7.0211,9.0825,30.73,2.80
2,76090,1,38.5216,22.6233,6.7225,8.6333,32.20,2.91
3,77617,1,40.2539,23.1806,7.1706,9.3196,29.99,2.69
4,55747,1,20.5444,15.3799,2.2187,2.7641,99.14,8.68
5,29498,1,22.8758,7.3716,6.9817,8.0258,33.02,2.80
6,85073,1,44.0873,26.1816,7.4932,9.7975,28.59,2.61
7,24370,1,21.6558,5.9406,7.1389,8.0841,32.58,2.75
8,29084,1,22.4801,7.2125,6.8828,7.8941,33.54,2.84
9,86449,1,44.4632,26.6736,7.4202,9.7551,28.78,2.63
10,13820,1,18.2095,3.2248,6.9094,7.6110,34.17,2.84
11,80111,1,41.5053,24.1260,7.3062,9.4749,29.46,2.67
12,21014,1,20.0007,5.1046,6.7555,7.6736,34.37,2.88
13,40539,1,26.9632,10.5755,7.2805,8.5841,31.24,2.69
14,41253,1,26.2698,10.7973,6.9118,8.0951,33.09,2.86
15,47961,1,28.8374,12.8167,7.0205,8.4735,31.96,2.78
16,37493,1,26.3824,9.6998,7.3946,8.7485,30.69,2.63
17,65396,1,35.9656,18.6468,7.4625,9.2740,29.56,2.64
18,19849,1,22.9440,4.7845,8.3747,9.2210,28.19,2.38
19,94472,1,44.1569,29.7419,5.9787,7.9425,35.52,3.28
20,78236,1,40.7078,23.3158,7.3787,9.4238,29.44,2.68
21,51271,1,29.9994,13.9731,6.9913,8.5034,31.95,2.80
22,86529,1,43.9035,26.7224,7.2255,9.3972,29.80,2.72
23,56310,1,32.5686,15.5001,7.4604,9.0430,30.00,2.65
24,24586,1,22.8937,6.0249,8.6786,7.7055,30.35,2.89
25,35659,1,32.7312,9.0868,14.8890,8.2279,21.65,2.80
26,36601,1,33.9834,9.3943,15.4472,8.5916,20.82,2.69
27,27547,1,15.8188,6.8207,5.6981,3.0935,56.90,7.31
28,90282,1,37.8568,28.1026,5.8232,3.6711,52.49,7.11
29,38905,1,34.3463,10.1114,15.1960,8.4965,21.13,2.74
30,38665,1,33.8880,9.9363,15.0305,8.3829,21.38,2.77
31,68405,1,43.0897,19.7218,14.2703,8.5374,21.91,2.91
32,83924,1,48.9523,25.6769,14.0216,8.6813,22.00,2.96
33,40640,1,34.9038,10.5821,15.2033,8.5701,21.05,2.72
34,24760,1,29.8063,6.0781,15.0428,8.1582,21.58,2.75
35,70404,1,38.5539,20.5344,8.7805,8.6832,28.41,2.86
36,74909,1,39.3696,22.1290,7.3163,9.3291,29.70,2.68
37,16245,1,18.3750,3.8061,6.6717,7.4409,35.14,2.93
38,14941,1,17.7212,3.4957,6.4781,7.3029,35.99,2.98
39,35576,1,15.7969,9.0560,2.9963,3.5199,75.95,6.48
40,58665,1,33.0773,16.3542,7.2536,8.9122,30.62,2.71
41,51288,1,30.6146,13.9642,7.2683,8.8265,30.75,2.69
42,70925,1,37.4148,20.6392,7.1559,9.0518,30.52,2.74
43,83377,1,41.5501,25.3207,6.8265,8.8418,31.55,2.88
44,34600,1,25.0311,8.8598,7.2385,8.4121,31.66,2.71
45,17068,1,19.1847,4.0529,6.9167,7.7399,33.84,2.81
46,82662,1,42.0455,25.0331,7.0892,9.3347,30.10,2.72
47,90967,1,45.7491,28.3541,7.1334,9.6576,29.43,2.68
48,36310,1,24.1688,9.3310,6.5254,7.8378,34.51,2.93
49,97404,1,36.7633,30.8702,2.3966,3.2742,86.88,8.00
50,25417,1,21.6975,6.2597,6.9517,7.9956,33.17,2.78
51,67302,1,35.5835,19.4732,6.8764,8.7032,31.78,2.83
52,80841,1,40.6854,24.2742,6.8583,8.9957,31.20,2.81
53,84104,1,43.1771,25.7129,7.2466,9.6289,29.32,2.65
54,46064,1,27.9760,12.2450,6.8418,8.3830,32.55,2.80
55,16285,1,18.3976,3.8293,6.5929,7.5255,35.14,2.89
56,26728,1,22.0701,6.6149,6.8991,8.0617,33.13,2.77
57,60666,1,33.9495,17.1300,7.2127,9.0609,30.44,2.68
58,24235,1,20.8406,5.9050,6.7285,7.7335,34.28,2.88
59,40886,1,25.6604,10.6305,6.6386,7.9091,34.07,2.93
60,47369,1,28.1034,12.6832,6.7548,8.1650,33.20,2.88
61,24987,1,21.4063,6.1248,6.8839,7.9099,33.50,2.81
62,62887,1,34.2741,17.7699,7.0507,8.8993,31.02,2.74
63,32507,1,27.2490,8.1811,8.5125,9.9501,26.85,2.28
64,55848,1,31.3271,15.3989,6.8719,8.5233,32.14,2.81
65,67033,1,35.9285,19.2384,7.1327,8.9932,30.68,2.74
