prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,4,2.2663,0.8906,2.9061,1.4971,372.17,7.42
1,11544,4,2.2663,0.8906,3.3428,1.7850,372.17,5.89
2,10568,4,2.2663,0.8906,3.2452,1.7280,372.17,6.17
3,18029,4,2.2663,0.8906,2.7680,1.3976,372.17,8.00
4,41716,4,3.0373,1.5012,3.4874,2.1610,333.32,5.45
5,10096,4,3.0373,1.5012,3.1145,1.9406,333.32,6.32
6,10024,4,3.0373,1.5012,2.7753,1.7208,333.32,7.21
7,19917,4,3.0373,1.5012,3.0276,1.8824,333.32,6.56
8,10862,4,2.0298,0.6370,3.0698,2.0584,367.63,4.83
9,11344,4,2.0298,0.6370,2.2673,1.5133,367.63,6.92
10,11855,4,2.0298,0.6370,2.9236,1.9737,367.63,5.12
11,10902,4,2.0298,0.6370,2.5840,1.7420,367.63,5.95
12,27177,4,2.9611,1.5762,2.6675,1.6715,369.71,7.64
13,14437,4,2.9611,1.5762,3.1226,1.9720,369.71,6.17
14,35238,4,2.9611,1.5762,3.0730,1.9431,369.71,6.32
15,11712,4,2.9611,1.5762,2.6986,1.6936,369.71,7.53
16,12495,4,2.0965,0.6850,3.1306,2.0686,362.72,4.74
17,11044,4,2.0965,0.6850,2.6415,1.7830,362.72,5.82
18,10527,4,2.0965,0.6850,2.5441,1.7165,362.72,6.10
19,13411,4,2.0965,0.6850,2.1944,1.4680,362.72,7.21
20,10457,4,1.8553,0.6877,2.4578,1.6514,438.51,6.32
21,10790,4,1.8553,0.6877,2.5796,1.7219,438.51,5.95
22,10404,4,1.8553,0.6877,2.2559,1.5112,438.51,7.01
23,15728,4,1.8553,0.6877,2.3374,1.5698,438.51,6.74
24,26966,4,2.5163,1.1971,2.6663,1.6904,388.13,7.01
25,12323,4,2.5163,1.1971,2.6663,1.6904,388.13,7.01
26,11195,4,2.5163,1.1971,2.4137,1.5151,388.13,7.88
27,22347,4,2.5163,1.1971,2.9760,1.8726,388.13,6.02
28,13522,4,2.3449,0.9286,3.1230,2.0872,361.51,5.12
29,10273,4,2.3449,0.9286,2.5496,1.7190,361.51,6.56
30,16377,4,2.3449,0.9286,2.6381,1.7815,361.51,6.32
31,20281,4,2.3449,0.9286,2.9001,1.9580,361.51,5.63
32,15228,4,2.5524,1.1788,2.9751,1.8810,372.73,6.24
33,22027,4,2.5524,1.1788,2.9227,1.8455,372.73,6.40
34,17265,4,2.5524,1.1788,2.6486,1.6525,372.73,7.21
35,18853,4,2.5524,1.1788,3.1015,1.9554,372.73,5.89
36,13837,4,1.9567,0.7815,2.2236,1.5111,435.70,7.21
37,13876,4,1.9567,0.7815,2.2236,1.5111,435.70,7.21
38,15159,4,1.9567,0.7815,2.1957,1.4914,435.70,7.31
39,10208,4,1.9567,0.7815,2.5860,1.7216,435.70,5.95
40,10534,4,2.1159,0.8919,2.1569,1.4548,418.30,7.64
41,16395,4,2.1159,0.8919,2.6785,1.8192,418.30,6.02
42,12255,4,2.1159,0.8919,2.6259,1.7837,418.30,6.17
43,18939,4,2.1159,0.8919,2.6785,1.8192,418.30,6.02
44,15711,4,2.2353,0.9948,2.7361,1.7888,412.75,6.32
45,13064,4,2.2353,0.9948,2.3848,1.5428,412.75,7.42
46,10727,4,2.2353,0.9948,2.7604,1.8030,412.75,6.24
47,23977,4,2.2353,0.9948,2.7111,1.7718,412.75,6.40
48,11778,4,1.9870,0.7203,2.3553,1.5873,404.20,6.74
49,12792,4,1.9870,0.7203,2.4669,1.6656,404.20,6.40
50,14726,4,1.9870,0.7203,2.7893,1.8679,404.20,5.51
51,10196,4,1.9870,0.7203,2.6154,1.7662,404.20,5.95
52,11261,4,2.2575,0.9652,2.2962,1.5298,396.22,7.42
53,12585,4,2.2575,0.9652,2.7732,1.8514,396.22,5.82
54,14256,4,2.2575,0.9652,2.8478,1.8947,396.22,5.63
55,23746,4,2.2575,0.9652,2.2400,1.4906,396.22,7.64
56,12948,4,2.0308,0.8756,2.5376,1.7047,443.19,6.32
57,15425,4,2.0308,0.8756,2.2570,1.5230,443.19,7.31
58,18778,4,2.0308,0.8756,2.3407,1.5831,443.19,7.01
59,10494,4,2.0308,0.8756,2.4140,1.6330,443.19,6.74
60,20473,4,2.6950,1.1603,2.7102,1.6995,333.60,6.92
61,11249,4,2.6950,1.1603,2.6303,1.6455,333.60,7.21
62,23252,4,2.6950,1.1603,2.6009,1.6247,333.60,7.31
63,16905,4,2.6950,1.1603,3.4898,2.1552,333.60,4.88
64,11314,4,2.9475,1.5724,3.0344,1.8911,372.34,6.65
65,30625,4,2.9475,1.5724,3.1162,1.9391,372.34,6.40
66,20667,4,2.9475,1.5724,2.9236,1.8173,372.34,7.01
67,27118,4,2.9475,1.5724,2.8581,1.7728,372.34,7.21
68,10298,4,2.1239,0.6556,3.2392,2.1572,348.71,4.49
69,10872,4,2.1239,0.6556,2.3399,1.5697,348.71,6.65
70,11383,4,2.1239,0.6556,3.0200,2.0305,348.71,4.88
