prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,4,12.0317,8.4803,4.4788,2.2692,144.17,6.32
1,81646,4,12.0317,8.4803,4.2205,2.1123,144.17,6.83
2,76090,4,12.0317,8.4803,3.9114,2.3437,144.17,6.40
3,77617,4,12.0317,8.4803,3.8402,2.2855,144.17,6.48
4,55747,4,8.2126,5.0379,7.1862,4.4571,161.28,3.08
5,29498,4,8.2126,5.0379,4.0341,2.5551,161.28,6.56
6,85073,4,8.2126,5.0379,3.9962,2.5318,161.28,6.65
7,24370,4,8.2126,5.0379,2.7468,1.6664,161.28,6.83
8,29084,4,8.7237,5.9377,3.3590,2.1299,183.78,6.92
9,86449,4,8.7237,5.9377,3.4529,2.1881,183.78,6.74
10,13820,4,8.7237,5.9377,3.6472,2.3081,183.78,6.32
11,80111,4,8.7237,5.9377,3.0477,1.6149,183.78,6.56
12,21014,4,4.9670,3.1918,4.0599,2.4999,288.43,6.32
13,40539,4,4.9670,3.1918,3.9677,2.4427,288.43,6.56
14,41253,4,4.9670,3.1918,4.0085,2.4696,288.43,6.48
15,47961,4,4.9670,3.1918,4.0085,2.4696,288.43,6.48
16,37493,4,8.7568,6.0313,3.3306,2.1950,187.86,6.56
17,65396,4,8.7568,6.0313,3.0566,2.0249,187.86,7.11
18,19849,4,8.7568,6.0313,3.2394,2.1389,187.86,6.74
19,94472,4,8.7568,6.0313,3.1338,1.6837,187.86,6.74
20,78236,4,11.1602,7.7111,3.6478,2.2013,148.44,6.32
21,51271,4,11.1602,7.7111,3.4043,2.0581,148.44,6.74
22,86529,4,11.1602,7.7111,4.4370,2.6179,148.44,5.39
23,56310,4,11.1602,7.7111,3.7565,2.2442,148.44,6.48
24,24586,4,3.9527,2.3828,3.3094,2.1393,326.15,6.83
25,35659,4,3.9527,2.3828,3.3408,2.1600,326.15,6.74
26,36601,4,3.9527,2.3828,3.3094,2.1393,326.15,6.83
27,27547,4,3.9527,2.3828,3.4997,2.2541,326.15,6.24
28,90282,4,9.5442,6.4518,4.0118,2.5019,165.56,6.65
29,38905,4,9.5442,6.4518,5.8605,3.6581,165.56,4.16
30,38665,4,9.5442,6.4518,4.1474,2.5854,165.56,6.40
31,68405,4,9.5442,6.4518,2.9956,1.7704,165.56,6.56
32,83924,4,8.7051,5.9003,3.7757,2.3326,182.54,6.74
33,40640,4,8.7051,5.9003,3.8092,2.3535,182.54,6.65
34,24760,4,8.7051,5.9003,3.8884,2.4016,182.54,6.48
35,70404,4,8.7051,5.9003,2.7088,1.4516,182.54,6.92
36,74909,4,5.3318,3.3657,4.5250,2.6948,260.41,5.39
37,16245,4,5.3318,3.3657,3.8451,2.3258,260.41,6.65
38,14941,4,5.3318,3.3657,3.9596,2.3953,260.41,6.40
39,35576,4,5.3318,3.3657,3.8042,2.2989,260.41,6.74
40,58665,4,10.3369,7.2982,3.9149,2.5078,168.49,6.92
41,51288,4,10.3369,7.2982,3.9989,2.5612,168.49,6.74
42,70925,4,10.3369,7.2982,4.0873,2.6104,168.49,6.56
43,83377,4,10.3369,7.2982,2.9568,1.5568,168.49,6.83
44,34600,4,9.4806,6.5480,3.7732,2.3571,174.59,6.32
45,17068,4,9.4806,6.5480,3.6865,2.3035,174.59,6.48
46,82662,4,9.4806,6.5480,3.6572,2.2840,174.59,6.56
47,90967,4,9.4806,6.5480,3.1654,1.6760,174.59,6.56
48,36310,4,9.3056,6.3785,4.1107,2.5501,174.92,6.32
49,97404,4,9.3056,6.3785,3.9018,2.4187,174.92,6.74
50,25417,4,9.3056,6.3785,4.0710,2.5253,174.92,6.40
51,67302,4,9.3056,6.3785,2.8209,1.5330,174.92,6.56
52,80841,4,9.4641,6.3732,4.7895,2.8784,165.64,5.39
53,84104,4,9.4641,6.3732,3.9704,2.3773,165.64,6.56
54,46064,4,9.4641,6.3732,2.9707,1.8965,165.64,5.89
55,16285,4,9.4641,6.3732,2.6417,1.7057,165.64,6.74
56,26728,4,5.1021,3.3303,4.0384,2.4620,288.97,6.48
57,60666,4,5.1021,3.3303,4.0093,2.4426,288.97,6.56
58,24235,4,5.1021,3.3303,4.0384,2.4620,288.97,6.48
59,40886,4,5.1021,3.3303,3.9679,2.4155,288.97,6.65
60,47369,4,5.6101,3.7987,4.1001,2.5115,282.66,6.65
61,24987,4,5.6101,3.7987,4.0631,2.4890,282.66,6.74
62,62887,4,5.6101,3.7987,4.0631,2.4890,282.66,6.74
63,32507,4,5.6101,3.7987,4.1276,2.5276,282.66,6.56
64,55848,4,9.2767,6.4016,3.2023,2.0227,178.08,6.65
65,67033,4,9.2767,6.4016,3.1388,1.9862,178.08,6.83
