prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,18326,4,2.2516,0.8900,2.7811,1.4947,376.02,7.42
1,11544,4,2.2516,0.8900,3.2725,1.7925,376.02,5.75
2,10568,4,2.2516,0.8900,2.9409,1.5943,376.02,6.83
3,18029,4,2.2516,0.8900,2.5964,1.3955,376.02,8.00
4,41716,4,3.4506,1.5036,5.1704,1.9406,262.96,6.32
5,10096,4,3.4506,1.5036,5.3086,2.0249,262.96,5.89
6,10024,4,3.4506,1.5036,4.6797,1.7214,262.96,7.21
7,19917,4,3.4506,1.5036,5.0475,1.8824,262.96,6.56
8,10862,4,2.0461,0.6376,3.2748,1.9461,363.51,5.17
9,11344,4,2.0461,0.6376,2.3785,1.4311,363.51,7.31
10,11855,4,2.0461,0.6376,3.2748,1.9461,363.51,5.17
11,10902,4,2.0461,0.6376,2.8726,1.6979,363.51,6.10
12,27177,4,3.3168,1.5754,4.0513,1.6701,294.02,7.64
13,14437,4,3.3168,1.5754,4.6039,1.9318,294.02,6.32
14,35238,4,3.3168,1.5754,4.5537,1.9029,294.02,6.48
15,11712,4,3.3168,1.5754,4.0993,1.6921,294.02,7.53
16,12495,4,2.0296,0.6846,3.1447,1.8394,380.65,5.45
17,11044,4,2.0296,0.6846,2.7178,1.5855,380.65,6.65
18,10527,4,2.0296,0.6846,2.8542,1.6683,380.65,6.24
19,13411,4,2.0296,0.6846,2.5380,1.4894,380.65,7.11
20,10457,4,1.9635,0.6877,2.9789,1.6505,401.31,6.32
21,10790,4,1.9635,0.6877,3.0493,1.6928,401.31,6.10
22,10404,4,1.9635,0.6877,2.7425,1.5104,401.31,7.01
23,15728,4,1.9635,0.6877,2.8492,1.5689,401.31,6.74
24,26966,4,2.6930,1.1976,3.6803,1.6894,342.38,7.01
25,12323,4,2.6930,1.1976,3.6803,1.6894,342.38,7.01
26,11195,4,2.6930,1.1976,3.2521,1.5145,342.38,7.88
27,22347,4,2.6930,1.1976,3.8237,1.7652,342.38,6.56
28,13522,4,2.6018,0.9293,4.1421,2.0947,306.12,5.02
29,10273,4,2.6018,0.9293,3.4050,1.6971,306.12,6.65
30,16377,4,2.6018,0.9293,3.5853,1.7806,306.12,6.32
31,20281,4,2.6018,0.9293,3.7221,1.8512,306.12,6.02
32,15228,4,2.9093,1.1778,3.5714,1.7593,295.71,6.74
33,22027,4,2.9093,1.1778,4.3009,2.1396,295.71,5.17
34,17265,4,2.9093,1.1778,3.3775,1.6737,295.71,7.11
35,18853,4,2.9093,1.1778,3.9295,1.9427,295.71,5.95
36,13837,4,2.0812,0.7815,2.6411,1.4685,393.94,7.42
37,13876,4,2.0812,0.7815,2.7102,1.5051,393.94,7.21
38,15159,4,2.0812,0.7815,2.6817,1.4883,393.94,7.31
39,10208,4,2.0812,0.7815,3.0793,1.7292,393.94,5.89
40,10534,4,2.5442,0.8922,2.8316,1.4755,309.93,7.53
