prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,8,8.3585,4.6428,10.8161,3.1412,137.80,4.83
1,67610,8,8.3585,4.6428,7.2441,2.0671,137.80,7.42
2,51583,8,8.3585,4.6428,9.2649,2.6735,137.80,5.63
3,45940,8,8.3585,4.6428,8.7474,2.6335,137.80,5.69
4,76082,8,8.3585,4.6428,8.1128,2.4626,137.80,6.32
5,13949,8,8.3585,4.6428,6.6454,2.0019,137.80,7.64
6,48737,8,8.3585,4.6428,4.9672,1.8164,137.80,7.31
7,52305,8,8.3585,4.6428,5.3903,1.9946,137.80,6.40
8,46596,8,9.6767,5.9559,7.3753,2.2910,137.61,6.74
9,42433,8,9.6767,5.9559,11.4918,3.6643,137.61,4.38
10,55705,8,9.6767,5.9559,7.4409,2.3151,137.61,6.65
11,39428,8,9.6767,5.9559,7.9224,2.6354,137.61,6.48
12,97202,8,9.6767,5.9559,6.9526,2.2875,137.61,7.53
13,41364,8,9.6767,5.9559,7.4822,2.5534,137.61,6.56
14,84224,8,9.6767,5.9559,6.1777,2.1291,137.61,7.42
15,41085,8,9.6767,5.9559,5.7713,2.0462,137.61,6.92
16,42399,8,8.6565,5.2826,13.0061,4.5341,151.76,3.74
17,26995,8,8.6565,5.2826,7.5234,2.5227,151.76,6.56
18,96626,8,8.6565,5.2826,6.6606,2.2074,151.76,7.53
19,55843,8,8.6565,5.2826,6.8225,2.4821,151.76,6.92
20,40761,8,8.6565,5.2826,7.5802,2.7378,151.76,6.17
21,40531,8,8.6565,5.2826,6.5066,2.3592,151.76,7.21
22,57284,8,8.6565,5.2826,4.8935,1.8018,151.76,7.31
23,54495,8,8.6565,5.2826,4.6004,1.7262,151.76,7.31
24,45924,8,9.1779,5.1827,8.2536,2.5091,128.16,5.95
25,58514,8,9.1779,5.1827,7.3865,2.2449,128.16,6.65
26,29550,8,9.1779,5.1827,7.6331,2.3259,128.16,6.40
27,59277,8,9.1779,5.1827,8.6912,2.5144,128.16,6.56
28,56028,8,9.1779,5.1827,8.1382,2.3431,128.16,7.11
29,55048,8,9.1779,5.1827,7.9866,2.3025,128.16,7.21
30,33241,8,9.1779,5.1827,7.0556,2.5956,128.16,4.41
31,79678,8,9.1779,5.1827,5.4168,1.8640,128.16,7.01
32,76968,8,10.1640,5.8322,6.9212,2.1952,118.20,6.17
33,45169,8,10.1640,5.8322,6.4415,2.0317,118.20,6.65
34,67357,8,10.1640,5.8322,9.5278,2.4666,118.20,6.92
35,80060,8,10.1640,5.8322,9.4070,2.4253,118.20,7.11
36,34953,8,10.1640,5.8322,10.1285,2.6875,118.20,6.40
37,44079,8,10.1640,5.8322,6.9717,2.2865,118.20,6.83
38,41330,8,10.1640,5.8322,6.5676,2.1446,118.20,7.31
39,59768,8,10.1640,5.8322,8.7423,3.0240,118.20,4.38
40,48911,8,9.1855,5.5530,7.8268,2.4212,140.95,6.83
41,50562,8,9.1855,5.5530,7.3828,2.2742,140.95,7.31
42,68646,8,9.1855,5.5530,7.3828,2.2742,140.95,7.31
