prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,4,13.1762,8.4652,6.6229,2.1279,108.68,6.74
1,81646,4,13.1762,8.4652,6.4124,2.0544,108.68,7.01
2,76090,4,13.1762,8.4652,6.5664,2.2570,108.68,6.65
3,77617,4,13.1762,8.4652,6.5085,2.2419,108.68,6.65
4,55747,4,9.5452,5.0334,12.7688,4.2632,113.48,3.26
5,29498,4,9.5452,5.0334,8.4537,2.5604,113.48,6.48
6,85073,4,9.5452,5.0334,8.1102,2.4301,113.48,6.92
7,24370,4,9.5452,5.0334,4.2878,1.6837,113.48,6.83
8,29084,4,9.9873,5.9320,6.8513,2.0981,126.25,7.01
9,86449,4,9.9873,5.9320,7.1614,2.1874,126.25,6.74
10,13820,4,9.9873,5.9320,7.0675,2.1567,126.25,6.83
11,80111,4,9.9873,5.9320,4.5669,1.6664,126.25,6.32
12,21014,4,5.5694,3.1877,6.3780,2.3930,214.97,6.65
13,40539,4,5.5694,3.1877,6.5261,2.4601,214.97,6.32
14,41253,4,5.5694,3.1877,6.3780,2.3930,214.97,6.65
15,47961,4,5.5694,3.1877,6.1192,2.3147,214.97,6.92
16,37493,4,9.8493,6.0307,6.1894,2.0992,134.08,6.83
17,65396,4,9.8493,6.0307,6.3367,2.1489,134.08,6.65
18,19849,4,9.8493,6.0307,6.0427,2.0499,134.08,7.01
19,94472,4,9.8493,6.0307,4.4570,1.5627,134.08,7.11
20,78236,4,12.7305,7.7141,6.1921,1.9756,102.07,7.01
21,51271,4,12.7305,7.7141,6.1921,1.9756,102.07,7.01
22,86529,4,12.7305,7.7141,8.1795,2.5622,102.07,5.45
23,56310,4,12.7305,7.7141,7.3702,2.2701,102.07,6.40
24,24586,4,4.3319,2.3805,4.7993,2.0220,262.38,7.21
25,35659,4,4.3319,2.3805,4.9549,2.0737,262.38,7.01
26,36601,4,4.3319,2.3805,5.0521,2.1150,262.38,6.83
27,27547,4,4.3319,2.3805,5.1454,2.1620,262.38,6.56
28,90282,4,10.7614,6.4504,6.9206,2.3398,118.77,7.11
29,38905,4,10.7614,6.4504,7.3159,2.4842,118.77,6.65
30,38665,4,10.7614,6.4504,11.0328,3.7021,118.77,4.06
31,68405,4,10.7614,6.4504,5.1536,1.7641,118.77,6.83
32,83924,4,9.7064,5.8955,6.7678,2.2689,134.35,6.92
33,40640,4,9.7064,5.8955,6.8196,2.2897,134.35,6.83
34,24760,4,9.7064,5.8955,6.8196,2.2897,134.35,6.83
35,70404,4,9.7064,5.8955,3.7915,1.4603,134.35,6.83
36,74909,4,6.2491,3.3656,8.4326,2.5021,177.56,5.89
37,16245,4,6.2491,3.3656,7.6424,2.2032,177.56,7.01
38,14941,4,6.2491,3.3656,8.0105,2.3423,177.56,6.48
39,35576,4,6.2491,3.3656,7.5600,2.1763,177.56,7.11
40,58665,4,11.7365,7.2947,8.6828,2.5027,115.27,6.83
41,51288,4,11.7365,7.2947,8.7248,2.5206,115.27,6.74
42,70925,4,11.7365,7.2947,8.4073,2.4017,115.27,7.21
43,83377,4,11.7365,7.2947,4.0679,1.4837,115.27,7.11
44,34600,4,10.4503,6.5409,6.3236,2.1823,130.97,6.83
45,17068,4,10.4503,6.5409,6.3945,2.2072,130.97,6.74
46,82662,4,10.4503,6.5409,6.2769,2.1628,130.97,6.92
47,90967,4,10.4503,6.5409,4.6286,1.6457,130.97,6.65
48,36310,4,10.6452,6.3714,8.5665,2.6195,119.80,6.10
49,97404,4,10.6452,6.3714,8.0649,2.4472,119.80,6.65
50,25417,4,10.6452,6.3714,8.1926,2.4964,119.80,6.48
51,67302,4,10.6452,6.3714,3.9975,1.5345,119.80,6.56
52,80841,4,10.5010,6.3744,8.1581,2.6621,124.07,5.82
53,84104,4,10.5010,6.3744,6.7256,2.2215,124.07,7.01
54,46064,4,10.5010,6.3744,4.6007,1.8661,124.07,5.89
55,16285,4,10.5010,6.3744,4.0460,1.6238,124.07,7.01
56,26728,4,5.8447,3.3245,6.9942,2.3631,203.16,6.74
57,60666,4,5.8447,3.3245,7.0867,2.4004,203.16,6.56
58,24235,4,5.8447,3.3245,6.7791,2.2887,203.16,7.01
59,40886,4,5.8447,3.3245,6.8680,2.3171,203.16,6.92
60,47369,4,6.3474,3.7956,7.2025,2.4321,200.64,6.83
61,24987,4,6.3474,3.7956,7.1442,2.4097,200.64,6.92
62,62887,4,6.3474,3.7956,7.0000,2.3571,200.64,7.11
63,32507,4,6.3474,3.7956,7.2025,2.4321,200.64,6.83
64,55848,4,10.5191,6.4020,5.7211,1.9922,124.36,6.74
65,67033,4,10.5191,6.4020,5.6328,1.9558,124.36,6.92
