prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,1,31.4030,15.9674,6.0681,8.9967,33.17,2.68
1,81646,1,41.0149,24.6597,6.7982,9.0226,31.31,2.81
2,76090,1,37.5627,22.6163,6.1217,8.3293,34.26,3.01
3,77617,1,39.8457,23.1737,6.8625,9.2645,30.71,2.71
4,55747,1,20.1569,15.3740,1.8532,2.7629,107.05,8.68
5,29498,1,20.8519,7.3709,4.7734,8.2320,37.98,2.72
6,85073,1,43.8048,26.1697,7.3748,9.6888,29.03,2.64
7,24370,1,18.9694,5.9328,4.5037,8.0703,39.27,2.75
8,29084,1,20.2567,7.2120,4.6115,7.9695,39.25,2.81
9,86449,1,44.0220,26.6674,7.3013,9.4939,29.50,2.69
10,13820,1,15.1005,3.2273,3.8954,7.5515,43.12,2.86
11,80111,1,41.2544,24.1179,7.1081,9.4697,29.88,2.67
12,21014,1,17.2866,5.1053,4.1279,7.6217,42.03,2.89
13,40539,1,24.6433,10.5744,5.1940,8.3983,36.39,2.75
14,41253,1,24.2795,10.7931,5.0144,8.0411,37.96,2.88
15,47961,1,26.9957,12.8141,5.3673,8.3319,36.10,2.83
16,37493,1,24.1725,9.6995,5.2777,8.6954,35.38,2.64
17,65396,1,36.7311,18.6449,7.2209,10.2675,28.31,2.38
18,19849,1,17.4990,4.7863,4.3005,7.9602,40.27,2.75
19,94472,1,49.5860,29.7293,8.4910,10.7435,25.78,2.43
20,78236,1,40.3730,23.3044,7.0414,9.4681,30.00,2.67
21,51271,1,28.6096,13.9703,5.5944,8.5446,34.97,2.78
22,86529,1,43.6772,26.7130,7.1581,9.2906,30.18,2.75
23,56310,1,30.7868,15.4952,5.9450,8.8126,33.48,2.72
24,24586,1,18.6468,6.0231,4.3632,7.8106,40.56,2.84
25,35659,1,22.5305,9.0865,4.8737,8.1054,38.08,2.81
26,36601,1,23.3894,9.3954,5.0920,8.4204,36.59,2.72
27,27547,1,10.9592,6.8231,1.4482,2.5379,123.79,8.83
28,90282,1,34.7770,28.0687,2.8428,3.6419,76.32,7.11
29,38905,1,24.1509,10.1085,5.1487,8.4155,36.46,2.74
30,38665,1,24.0381,9.9377,5.1796,8.4347,36.31,2.72
31,68405,1,34.7917,19.7116,6.0732,8.5109,33.95,2.89
32,83924,1,42.1426,25.6542,6.8963,9.0561,31.05,2.81
33,40640,1,24.8868,10.5842,5.2783,8.5357,35.80,2.71
34,24760,1,18.9242,6.0750,4.4451,7.9437,39.85,2.80
35,70404,1,36.6996,20.5263,6.5496,9.0947,31.66,2.72
36,74909,1,38.7754,22.1372,6.8085,9.2787,30.77,2.69
37,16245,1,15.6219,3.8104,3.9040,7.4780,43.35,2.91
38,14941,1,15.0399,3.4985,3.7866,7.3402,44.36,2.96
39,35576,1,15.2089,9.0625,2.2300,3.6963,83.30,6.17
40,58665,1,31.5402,16.3629,5.9506,8.7201,33.73,2.77
41,51288,1,29.1677,13.9711,5.8103,8.8684,33.69,2.68
42,70925,1,36.7617,20.6483,6.5382,9.0504,31.77,2.74
43,83377,1,41.3473,25.3299,6.7091,8.7903,31.97,2.89
44,34600,1,22.4702,8.8664,4.9036,8.2307,37.64,2.77
45,17068,1,16.3184,4.0578,4.0872,7.7365,41.76,2.81
46,82662,1,41.9223,25.0406,7.0465,9.2854,30.33,2.74
47,90967,1,46.0936,28.3642,7.5479,9.6097,28.88,2.69
48,36310,1,22.6367,9.3368,4.8245,8.0164,38.50,2.86
49,97404,1,36.9988,30.8788,2.6311,3.2776,83.66,8.00
50,25417,1,19.2742,6.2636,4.5068,8.0373,39.35,2.77
51,67302,1,34.8747,19.4843,6.1806,8.7030,33.27,2.83
52,80841,1,40.4924,24.2830,6.7321,8.9481,31.59,2.83
53,84104,1,43.1672,25.7227,7.3040,9.5776,29.35,2.67
54,46064,1,26.4829,12.2525,5.3659,8.3844,35.98,2.80
55,16285,1,15.7740,3.8333,3.9494,7.5648,42.88,2.88
56,26728,1,19.7878,6.6202,4.5932,8.1027,38.88,2.75
57,60666,1,32.9348,17.1294,6.2193,9.0606,32.39,2.68
58,24235,1,18.5287,5.9097,4.3502,7.8169,40.57,2.84
59,40886,1,23.9028,10.6364,4.9032,7.9076,38.59,2.93
60,47369,1,26.5907,12.6902,5.2683,8.1605,36.83,2.88
61,24987,1,18.9170,6.1294,4.4228,7.9059,40.04,2.81
62,62887,1,33.5720,17.7835,6.2701,8.9951,32.43,2.71
63,32507,1,21.5935,8.1872,4.8101,8.1287,38.19,2.78
64,55848,1,30.3230,15.4090,5.7971,8.6150,34.33,2.78
65,67033,1,35.3947,19.2497,6.4735,9.1374,31.71,2.69
