prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,8.6909,5.3210,1.0804,2.3323,151.93,9.48
1,67610,1,23.3615,19.6037,1.1375,2.4557,136.25,10.04
2,51583,1,17.6440,14.0887,1.0777,2.3285,144.01,10.24
3,45940,1,16.4043,12.2756,1.2543,2.7086,124.01,8.68
4,76082,1,26.6005,22.6894,1.1868,2.5538,130.91,9.85
5,13949,1,9.3425,3.2574,1.8390,4.0176,84.14,5.39
6,48737,1,16.7584,13.1536,1.0957,2.3595,142.03,10.04
7,52305,1,21.8481,14.4037,2.2654,4.8885,68.78,4.88
8,46596,1,16.9810,12.4333,1.3837,2.9833,112.58,7.88
9,42433,1,15.0605,11.1850,1.1773,2.5529,132.11,9.14
10,55705,1,20.2176,15.4202,1.4601,3.1415,106.73,7.64
11,39428,1,13.6126,10.2620,1.0208,2.2148,152.81,10.45
12,97202,1,35.4819,30.9148,1.4000,2.9721,112.11,8.83
13,41364,1,14.6506,10.8560,1.1544,2.4895,134.93,9.31
14,84224,1,30.3372,25.8187,1.3794,2.9516,113.31,8.68
15,41085,1,18.2657,10.7653,2.2795,4.9311,68.26,4.70
16,42399,1,14.6408,11.1695,1.0530,2.2773,147.50,10.24
17,26995,1,10.1666,6.7075,1.0440,2.2774,148.02,9.85
18,96626,1,35.0476,30.7905,1.3016,2.7683,120.27,9.48
19,55843,1,19.1154,15.4628,1.1124,2.3915,140.17,10.04
20,40761,1,14.2258,10.6418,1.0889,2.3530,142.86,9.85
21,40531,1,14.0527,10.6046,1.0471,2.2625,148.49,10.24
22,57284,1,19.8033,15.9145,1.1808,2.5492,131.66,9.48
23,54495,1,18.6679,15.0146,1.1102,2.3915,140.15,10.04
24,45924,1,15.7775,12.2751,1.0669,2.2959,146.19,10.24
25,58514,1,20.1269,16.3785,1.1400,2.4556,136.59,9.85
26,29550,1,14.0745,7.4034,2.0235,4.3891,76.75,5.12
27,59277,1,20.1656,16.6978,1.0567,2.2667,147.65,10.67
28,56028,1,19.0901,15.5045,1.0924,2.3453,142.79,10.24
29,55048,1,19.1305,15.1202,1.2222,2.6246,127.67,9.14
30,33241,1,12.0442,8.4556,1.0860,2.3605,142.67,9.66
31,79678,1,27.9653,23.8706,1.2488,2.6699,125.04,9.48
