prompt_idx,prompt_len,batch_size,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,1,8.8816,5.3224,1.2734,2.3318,143.85,9.48
1,67610,1,23.8890,19.6024,1.7181,2.4096,119.44,10.24
2,51583,1,18.0852,14.0855,1.5273,2.3278,128.01,10.24
3,45940,1,16.8767,12.2744,1.7316,2.7084,111.25,8.68
4,76082,1,27.3698,22.6840,1.9157,2.6023,109.27,9.66
5,13949,1,9.5087,3.2582,2.0526,3.9733,81.91,5.45
6,48737,1,17.1842,13.1506,1.5280,2.3585,126.93,10.04
7,52305,1,22.0176,14.4013,2.9294,4.4241,67.22,5.39
8,46596,1,18.0515,12.4348,2.1167,3.3053,91.16,7.11
9,42433,1,15.4690,11.1812,1.5917,2.5510,119.41,9.14
10,55705,1,20.3772,15.4179,1.9239,2.8611,103.24,8.39
11,39428,1,13.9502,10.2613,1.3594,2.2160,138.79,10.45
12,97202,1,36.4534,30.9069,2.3792,2.9729,92.31,8.83
13,41364,1,15.2748,10.8534,1.6404,2.6254,115.80,8.83
14,84224,1,31.1036,25.8127,2.2094,2.9017,96.77,8.83
15,41085,1,19.8055,10.7656,3.3469,5.3854,56.64,4.30
16,42399,1,15.0031,11.1662,1.4202,2.2774,133.44,10.24
17,26995,1,10.4786,6.7061,1.3135,2.3208,135.72,9.66
18,96626,1,35.9482,30.7842,2.2111,2.7685,99.15,9.48
19,55843,1,19.6115,15.4619,1.6100,2.3921,123.38,10.04
20,40761,1,14.5892,10.6395,1.4567,2.3529,129.63,9.85
21,40531,1,14.4012,10.6023,1.4017,2.2630,134.78,10.24
22,57284,1,20.3400,15.9096,1.7235,2.5488,115.56,9.48
23,54495,1,19.1411,15.0131,1.5915,2.3907,124.03,10.04
24,45924,1,16.1729,12.2730,1.4673,2.2957,131.29,10.24
25,58514,1,20.6576,16.3751,1.6771,2.4558,119.56,9.85
26,29550,1,13.1594,7.4035,2.0374,3.5112,88.95,6.40
27,59277,1,20.6563,16.6931,1.5526,2.2676,129.19,10.67
28,56028,1,19.5725,15.5043,1.5801,2.3451,125.85,10.24
29,55048,1,19.8242,15.1181,1.8223,2.7173,108.79,8.83
30,33241,1,12.3467,8.4563,1.3928,2.3603,131.61,9.66
31,79678,1,28.7110,23.8653,2.0038,2.6697,105.66,9.48
32,76968,1,28.0640,23.0938,2.0440,2.7520,103.01,9.14
33,45169,1,15.8011,11.9896,1.4266,2.2498,134.33,10.45
34,67357,1,24.4176,19.5474,1.9555,2.7460,105.13,8.98
35,80060,1,29.5731,24.1935,2.2333,2.9691,95.17,8.53
36,34953,1,16.2246,8.9899,2.6157,4.3671,70.77,5.22
37,44079,1,16.0208,11.7739,1.5859,2.5072,120.56,9.31
38,41330,1,14.9727,10.8553,1.5296,2.4455,124.35,9.48
39,59768,1,21.2860,16.8142,1.7570,2.5547,114.49,9.48
40,48911,1,17.2928,13.1799,1.5614,2.4045,124.49,9.85
41,50562,1,17.6937,13.7372,1.5208,2.3128,129.41,10.24
42,68646,1,28.3539,20.0472,3.3500,4.6741,61.64,5.28
43,34493,1,12.5748,8.8828,1.3313,2.2282,138.68,10.24
44,80249,1,28.5452,24.2267,1.7868,2.3741,118.56,10.67
45,45433,1,15.9349,12.0443,1.4578,2.2939,131.60,10.24
46,42940,1,15.2268,11.3738,1.4362,2.2789,132.88,10.24
47,66384,1,23.7123,19.1082,1.8411,2.6001,111.20,9.48
48,62497,1,22.5026,17.7391,1.8871,2.7102,107.48,8.98
49,64922,1,23.4337,18.6154,1.9197,2.7291,106.26,8.98
50,64331,1,22.3786,18.3221,1.6146,2.2979,126.22,10.67
51,60831,1,22.2944,17.2228,1.9957,2.8998,100.95,8.39
52,61279,1,21.7419,17.3207,1.7434,2.5195,115.81,9.66
53,32350,1,14.3985,8.1920,2.2272,3.7585,82.49,6.02
54,36657,1,15.5002,9.4511,2.1999,3.6351,84.64,6.32
55,91417,1,47.7947,28.6124,8.1695,10.3963,26.69,2.50
56,65436,1,28.8711,18.7256,4.0556,5.7448,50.47,4.27
57,46663,1,17.3706,12.4448,1.8588,2.8923,103.94,8.13
58,53750,1,18.8678,14.8232,1.5649,2.3329,126.59,10.24
59,59395,1,25.6192,16.7387,3.4975,5.0997,57.65,4.74
60,40279,1,14.7241,10.4687,1.5697,2.5338,120.32,9.14
61,90110,1,36.8934,28.0405,3.7642,4.8082,57.83,5.39
62,73819,1,25.9956,21.7824,1.7210,2.3433,121.52,10.67
63,79005,1,28.7656,23.7469,2.0726,2.7701,102.02,9.14
64,42322,1,16.5827,11.1417,2.0189,3.2342,94.10,7.21
65,53902,1,19.1680,14.8815,1.6559,2.4764,119.44,9.66
66,61769,1,21.5941,17.4169,1.6501,2.3787,122.57,10.24
67,64889,1,23.6009,18.6099,1.9924,2.8242,102.59,8.68
68,63342,1,22.6269,17.9124,1.8694,2.6787,108.60,9.14
69,39113,1,17.0557,10.1812,2.5203,4.1142,74.48,5.63
70,49547,1,17.6113,13.4065,1.6015,2.4508,121.76,9.66
71,16319,1,7.8239,3.8525,1.3144,2.5135,128.92,8.68
72,57675,1,22.9866,16.0918,2.6918,3.9648,74.26,6.10
73,74334,1,26.2898,21.9815,1.7571,2.3936,118.84,10.45
74,41988,1,15.2798,11.0731,1.5618,2.5009,121.71,9.31
75,46074,1,16.4446,12.2958,1.5645,2.4355,123.41,9.66
76,60183,1,23.3772,16.9000,2.5469,3.7065,79.05,6.56
77,52145,1,18.6444,14.2278,1.6967,2.5605,115.92,9.31
78,37351,1,13.8718,9.6793,1.5286,2.5162,122.12,9.14
79,41649,1,15.5227,10.9332,1.7044,2.7198,111.56,8.53
80,52871,1,18.5236,14.5170,1.5483,2.3310,127.79,10.24
81,65038,1,22.8809,18.6526,1.6858,2.3944,121.09,10.24
82,40139,1,14.1509,10.4270,1.3736,2.2174,137.49,10.45
83,51847,1,18.5453,14.1360,1.6897,2.5615,116.12,9.31
84,79672,1,28.8084,23.8720,2.0470,2.7207,103.72,9.31
85,65911,1,23.1056,18.9354,1.6677,2.3538,122.78,10.45
86,35847,1,17.5967,9.2861,3.0158,5.0077,61.61,4.57
87,51204,1,22.3734,14.0047,3.2098,4.8878,61.18,4.88
88,96615,1,36.0689,30.7846,2.2764,2.8214,96.89,9.31
89,62300,1,23.9508,17.6899,2.4783,3.5680,81.78,6.83
90,56180,1,19.9297,15.5264,1.7111,2.5345,116.28,9.48
91,94730,1,35.4131,30.1190,2.2841,2.8553,96.71,9.14
92,59788,1,22.9617,16.8318,2.4116,3.5032,83.52,6.92
93,74351,1,26.4804,21.9930,1.8337,2.4927,114.10,10.04
94,55590,1,19.4825,15.4120,1.5801,2.3466,125.78,10.24
95,58268,1,20.9081,16.2901,1.8086,2.6461,110.87,9.14
96,54887,1,19.4061,15.1006,1.6651,2.4870,118.92,9.66
97,56312,1,27.2119,15.5559,4.5482,6.7135,43.93,3.58
98,42563,1,15.1634,11.3122,1.4305,2.2806,132.95,10.24
99,59743,1,21.7928,16.8225,1.9557,2.8413,103.01,8.53
100,51451,1,19.5859,14.0666,2.1110,3.2138,92.76,7.42
101,56469,1,20.6015,15.6203,1.9425,2.8649,102.79,8.39
102,48444,1,18.6063,13.0019,2.1230,3.2838,91.36,7.21
103,60058,1,21.4556,16.8782,1.7989,2.6141,111.85,9.31
104,10634,1,7.0483,2.4779,1.4698,2.9328,112.02,7.31
105,54092,1,19.2924,14.9166,1.6881,2.5309,117.01,9.48
106,44158,1,15.8978,11.7914,1.5359,2.4214,124.68,9.66
107,48261,1,16.8067,12.9498,1.4645,2.2683,132.75,10.45
108,64982,1,22.7845,18.6349,1.6547,2.3473,123.39,10.45
109,51385,1,18.5351,14.0662,1.7118,2.6084,114.57,9.14
110,56240,1,24.2578,15.5384,3.3989,5.0218,58.72,4.79
111,38287,1,13.6781,9.9139,1.3818,2.2471,136.02,10.24
112,41060,1,15.4840,10.7650,1.7488,2.8074,108.50,8.26
113,45042,1,15.8558,11.9658,1.4571,2.2927,131.62,10.24
114,89836,1,33.1086,27.9749,2.1834,2.7740,99.73,9.31
115,51716,1,26.0475,14.1265,4.5832,6.9405,42.95,3.44
116,62277,1,22.1319,17.6925,1.7564,2.5212,115.33,9.66
117,80709,1,28.8471,24.3451,1.8683,2.4751,113.73,10.24
118,60401,1,21.5525,17.1451,1.7341,2.5207,116.17,9.66
119,59059,1,21.5356,16.6693,1.9088,2.7866,105.21,8.68
120,54036,1,18.9568,14.9051,1.5654,2.3420,126.37,10.24
121,52948,1,18.4763,14.5318,1.5177,2.2841,129.80,10.45
122,76647,1,27.5959,22.7898,1.9767,2.6546,106.53,9.48
123,85185,1,31.6829,26.2745,2.2707,2.9541,94.67,8.68
124,65634,1,24.0829,18.8289,2.1040,2.9709,97.45,8.26
125,38101,1,13.6288,9.8702,1.3785,2.2470,136.22,10.24
126,46758,1,16.6072,12.4675,1.5636,2.4343,123.68,9.66
127,50318,1,18.0482,13.6705,1.6732,2.5471,116.96,9.31
128,48414,1,17.4946,12.9984,1.7042,2.6350,113.87,8.98
129,50414,1,17.5906,13.6876,1.4934,2.2685,131.18,10.45
130,41436,1,18.4481,10.8824,2.8156,4.4866,67.67,5.17
131,57507,1,19.9638,16.0343,1.5370,2.2673,130.30,10.67
132,54517,1,19.2433,15.0212,1.6308,2.4394,121.27,9.85
133,42523,1,15.3804,11.3061,1.5142,2.4166,125.66,9.66
134,37852,1,13.4683,9.7913,1.3437,2.2039,139.24,10.45
135,50824,1,22.3870,13.9375,3.2386,4.9173,60.60,4.83
136,50145,1,17.5718,13.6376,1.5165,2.3152,130.14,10.24
137,37155,1,17.4185,9.5542,2.8698,4.7176,65.10,4.88
138,52689,1,18.4223,14.4796,1.5169,2.2840,129.86,10.45
139,72055,1,25.3483,21.1594,1.7017,2.3390,122.23,10.67
140,67150,1,23.7050,19.5121,1.6828,2.3619,122.11,10.45
141,59707,1,22.3654,16.8134,2.1871,3.1676,92.22,7.64
142,67491,1,24.2817,19.5708,1.8951,2.6502,108.68,9.31
143,26701,1,12.1767,6.6422,1.9311,3.4028,92.51,6.56
144,49208,1,17.5840,13.3023,1.6309,2.4978,119.58,9.48
145,54068,1,19.2046,14.9087,1.6600,2.4825,119.19,9.66
146,35154,1,12.8855,9.0264,1.3991,2.3199,132.67,9.85
147,62229,1,22.0382,17.6797,1.7256,2.4747,117.47,9.85
148,29037,1,11.2439,7.2153,1.4238,2.4591,127.09,9.14
149,89113,1,33.8457,27.6064,2.6498,3.3774,82.06,7.64
150,36653,1,13.6451,9.4551,1.5248,2.5154,122.19,9.14
