prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,42051,10.6372,4.4987,0.0000,0.0000,83.41,0.00
1,28143,7.8833,2.4568,0.0000,0.0000,94.35,0.00
2,36539,9.5197,3.6509,0.0000,0.0000,87.24,0.00
3,29039,8.1128,2.6238,0.0000,0.0000,93.28,0.00
4,22714,7.0330,1.8645,0.0000,0.0000,99.06,0.00
5,21812,6.8907,1.7560,0.0000,0.0000,99.71,0.00
6,22646,7.0455,1.8728,0.0000,0.0000,98.98,0.00
7,25024,7.4470,2.1363,0.0000,0.0000,96.41,0.00
8,24150,7.3213,2.0348,0.0000,0.0000,96.85,0.00
9,21045,6.7984,1.6872,0.0000,0.0000,100.17,0.00
10,23442,7.2039,1.9560,0.0000,0.0000,97.56,0.00
11,31600,8.7127,3.0366,0.0000,0.0000,90.20,0.00
12,22289,7.0358,1.8383,0.0000,0.0000,98.51,0.00
13,27965,8.0358,2.5437,0.0000,0.0000,93.23,0.00
14,29778,8.3920,2.7988,0.0000,0.0000,91.54,0.00
15,25868,7.6477,2.2713,0.0000,0.0000,95.23,0.00
16,38167,10.0695,4.0517,0.0000,0.0000,85.08,0.00
17,23130,7.1622,1.9245,0.0000,0.0000,97.75,0.00
18,30060,8.4493,2.8545,0.0000,0.0000,91.51,0.00
19,43636,11.2608,4.9737,0.0000,0.0000,81.44,0.00
20,45405,11.7164,5.3300,0.0000,0.0000,80.17,0.00
21,40309,10.5454,4.4201,0.0000,0.0000,83.59,0.00
22,44438,11.4675,5.1425,0.0000,0.0000,80.95,0.00
23,34797,9.3746,3.5371,0.0000,0.0000,87.71,0.00
24,35288,9.4387,3.5836,0.0000,0.0000,87.45,0.00
25,28694,8.1387,2.6346,0.0000,0.0000,93.02,0.00
26,23357,7.1935,1.9572,0.0000,0.0000,97.78,0.00
27,22576,7.0809,1.8892,0.0000,0.0000,98.62,0.00
28,22524,7.0608,1.8697,0.0000,0.0000,98.63,0.00
29,42018,10.9126,4.7292,0.0000,0.0000,82.80,0.00
30,25980,7.6734,2.3055,0.0000,0.0000,95.38,0.00
31,22679,7.0901,1.8917,0.0000,0.0000,98.49,0.00
32,24753,7.4321,2.1208,0.0000,0.0000,96.40,0.00
33,27006,7.8457,2.4097,0.0000,0.0000,94.19,0.00
34,23108,7.1429,1.9240,0.0000,0.0000,98.10,0.00
35,56607,14.5057,7.5504,0.0000,0.0000,73.61,0.00
36,40046,10.4463,4.3485,0.0000,0.0000,83.96,0.00
37,26106,7.6837,2.3091,0.0000,0.0000,95.26,0.00
38,26253,7.7071,2.3210,0.0000,0.0000,95.06,0.00
39,23403,7.1996,1.9600,0.0000,0.0000,97.72,0.00
40,23376,7.1971,1.9579,0.0000,0.0000,97.72,0.00
41,24529,7.3926,2.0873,0.0000,0.0000,96.51,0.00
42,37441,9.8989,3.9329,0.0000,0.0000,85.82,0.00
43,45206,11.6287,5.2764,0.0000,0.0000,80.60,0.00
44,65305,16.9820,9.5992,0.0000,0.0000,69.35,0.00
45,22570,7.0819,1.8885,0.0000,0.0000,98.59,0.00
46,25200,7.5071,2.1793,0.0000,0.0000,96.10,0.00
47,20851,6.7749,1.6661,0.0000,0.0000,100.22,0.00
48,29200,8.2486,2.7072,0.0000,0.0000,92.39,0.00
49,42131,10.9194,4.7277,0.0000,0.0000,82.69,0.00
50,28230,8.0478,2.5657,0.0000,0.0000,93.40,0.00
51,41379,10.7466,4.5874,0.0000,0.0000,83.13,0.00
52,20878,6.7784,1.6703,0.0000,0.0000,100.23,0.00
53,29470,8.3265,2.7646,0.0000,0.0000,92.05,0.00
54,23393,7.2005,1.9607,0.0000,0.0000,97.71,0.00
55,26477,7.7359,2.3368,0.0000,0.0000,94.83,0.00
56,31496,8.6829,3.0283,0.0000,0.0000,90.55,0.00
57,27562,7.9294,2.4753,0.0000,0.0000,93.87,0.00
58,31997,8.7594,3.0671,0.0000,0.0000,89.95,0.00
59,24533,7.3915,2.0886,0.0000,0.0000,96.55,0.00
60,36212,9.6298,3.7343,0.0000,0.0000,86.85,0.00
61,40316,10.5321,4.4057,0.0000,0.0000,83.57,0.00
62,28536,8.0863,2.5901,0.0000,0.0000,93.15,0.00
63,21657,6.9209,1.7660,0.0000,0.0000,99.32,0.00
64,25699,7.6073,2.2547,0.0000,0.0000,95.66,0.00
65,23642,7.2385,1.9830,0.0000,0.0000,97.42,0.00
66,25908,7.6320,2.2646,0.0000,0.0000,95.39,0.00
67,22674,7.0906,1.8920,0.0000,0.0000,98.49,0.00
68,39651,10.3679,4.2999,0.0000,0.0000,84.38,0.00
