prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21420,6.7949,1.6863,0.0000,0.0000,100.22,0.00
1,68195,17.6491,10.0786,0.0000,0.0000,67.63,0.00
2,51795,13.1883,6.4867,0.0000,0.0000,76.40,0.00
3,46064,11.8844,5.4421,0.0000,0.0000,79.47,0.00
4,76314,20.5503,12.5525,0.0000,0.0000,64.02,0.00
5,14066,5.7725,0.9903,0.0000,0.0000,107.06,0.00
6,49083,12.5603,5.9859,0.0000,0.0000,77.88,0.00
7,52468,13.4245,6.6776,0.0000,0.0000,75.89,0.00
8,46672,12.0291,5.5898,0.0000,0.0000,79.51,0.00
9,42512,11.0647,4.8275,0.0000,0.0000,82.09,0.00
10,55832,14.3353,7.4249,0.0000,0.0000,74.09,0.00
11,39747,10.4129,4.3269,0.0000,0.0000,84.13,0.00
12,97342,28.2279,19.1875,0.0000,0.0000,56.63,0.00
13,41480,10.7948,4.6327,0.0000,0.0000,83.09,0.00
14,85869,23.8119,15.3480,0.0000,0.0000,60.49,0.00
15,41217,10.7300,4.5760,0.0000,0.0000,83.20,0.00
16,42474,11.0337,4.8143,0.0000,0.0000,82.32,0.00
17,27121,7.8576,2.4170,0.0000,0.0000,94.11,0.00
18,96700,27.9823,18.9536,0.0000,0.0000,56.71,0.00
19,57221,14.6651,7.6981,0.0000,0.0000,73.49,0.00
20,40819,10.6035,4.4631,0.0000,0.0000,83.38,0.00
21,40733,10.5953,4.4585,0.0000,0.0000,83.43,0.00
22,57494,14.7910,7.8050,0.0000,0.0000,73.29,0.00
23,54777,14.0922,7.2373,0.0000,0.0000,74.69,0.00
24,47477,12.1850,5.7103,0.0000,0.0000,79.08,0.00
25,58718,15.2007,8.1437,0.0000,0.0000,72.55,0.00
26,29658,8.3483,2.7757,0.0000,0.0000,91.88,0.00
27,59720,15.4234,8.3155,0.0000,0.0000,72.03,0.00
28,56161,14.4428,7.5094,0.0000,0.0000,73.85,0.00
29,55261,14.1569,7.2842,0.0000,0.0000,74.50,0.00
30,33299,9.0454,3.2970,0.0000,0.0000,89.07,0.00
31,79770,21.6828,13.5476,0.0000,0.0000,62.94,0.00
32,77069,20.7288,12.7301,0.0000,0.0000,64.01,0.00
33,46672,12.0187,5.5860,0.0000,0.0000,79.59,0.00
34,67871,17.8391,10.3142,0.0000,0.0000,68.04,0.00
35,80133,21.8499,13.7056,0.0000,0.0000,62.87,0.00
36,35185,9.4378,3.5763,0.0000,0.0000,87.35,0.00
37,44175,11.3785,5.0713,0.0000,0.0000,81.18,0.00
38,41458,10.7835,4.6156,0.0000,0.0000,83.01,0.00
39,59889,15.4460,8.3277,0.0000,0.0000,71.93,0.00
40,49031,12.5419,5.9808,0.0000,0.0000,78.03,0.00
41,50848,13.0597,6.3998,0.0000,0.0000,76.88,0.00
42,71120,18.8962,11.2090,0.0000,0.0000,66.60,0.00
43,34598,9.3137,3.4887,0.0000,0.0000,87.90,0.00
44,80957,22.1080,13.9026,0.0000,0.0000,62.40,0.00
45,45562,11.7586,5.3596,0.0000,0.0000,80.01,0.00
46,43052,11.1938,4.9287,0.0000,0.0000,81.72,0.00
47,66576,17.4647,10.0098,0.0000,0.0000,68.68,0.00
48,62871,16.3785,9.1143,0.0000,0.0000,70.48,0.00
