prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57721,14.6040,7.6227,0.0000,0.0000,73.34,0.00
1,81680,22.1526,13.8727,0.0000,0.0000,61.84,0.00
2,76786,20.6405,12.6389,0.0000,0.0000,63.99,0.00
3,77655,20.9324,12.8867,0.0000,0.0000,63.64,0.00
4,55756,14.3060,7.4289,0.0000,0.0000,74.45,0.00
5,29695,8.3559,2.7778,0.0000,0.0000,91.79,0.00
6,85132,23.5400,15.1327,0.0000,0.0000,60.90,0.00
7,24526,7.3950,2.0950,0.0000,0.0000,96.60,0.00
8,29086,8.2160,2.6846,0.0000,0.0000,92.56,0.00
9,86532,24.1080,15.6434,0.0000,0.0000,60.49,0.00
10,13840,5.7395,0.9913,0.0000,0.0000,107.83,0.00
11,80176,21.8331,13.6919,0.0000,0.0000,62.89,0.00
12,21042,6.8130,1.7013,0.0000,0.0000,100.16,0.00
13,41585,10.7934,4.6231,0.0000,0.0000,82.98,0.00
14,41450,10.7704,4.6146,0.0000,0.0000,83.17,0.00
15,48659,12.4767,5.9319,0.0000,0.0000,78.23,0.00
16,37565,9.9683,3.9943,0.0000,0.0000,85.70,0.00
17,65466,17.0030,9.6156,0.0000,0.0000,69.31,0.00
18,20047,6.6372,1.5800,0.0000,0.0000,101.24,0.00
19,94565,27.1333,18.2466,0.0000,0.0000,57.61,0.00
20,78893,21.4141,13.3303,0.0000,0.0000,63.34,0.00
21,51313,13.1809,6.5003,0.0000,0.0000,76.64,0.00
22,86583,24.1112,15.6360,0.0000,0.0000,60.41,0.00
23,56364,14.4654,7.5324,0.0000,0.0000,73.85,0.00
24,24602,7.4091,2.1060,0.0000,0.0000,96.55,0.00
25,35780,9.5296,3.6560,0.0000,0.0000,87.17,0.00
26,36620,9.6970,3.7812,0.0000,0.0000,86.55,0.00
27,29041,8.2047,2.6814,0.0000,0.0000,92.70,0.00
28,91385,25.9237,17.1746,0.0000,0.0000,58.52,0.00
29,39117,10.2701,4.2228,0.0000,0.0000,84.67,0.00
30,38722,10.1710,4.1439,0.0000,0.0000,84.95,0.00
31,69757,18.4269,10.7918,0.0000,0.0000,67.06,0.00
32,86011,23.9382,15.4745,0.0000,0.0000,60.49,0.00
33,40674,10.5830,4.4480,0.0000,0.0000,83.46,0.00
34,24970,7.4751,2.1520,0.0000,0.0000,96.18,0.00
35,70548,18.7250,11.0594,0.0000,0.0000,66.79,0.00
36,75229,20.2484,12.3341,0.0000,0.0000,64.69,0.00
37,16576,6.1127,1.2203,0.0000,0.0000,104.65,0.00
38,14963,5.8804,1.0668,0.0000,0.0000,106.37,0.00
39,35737,9.5341,3.6560,0.0000,0.0000,87.10,0.00
40,58779,15.2180,8.1466,0.0000,0.0000,72.40,0.00
41,51297,13.2060,6.5140,0.0000,0.0000,76.51,0.00
42,72259,19.1911,11.4344,0.0000,0.0000,66.01,0.00
43,85377,23.7154,15.2969,0.0000,0.0000,60.82,0.00
44,34663,9.3260,3.4965,0.0000,0.0000,87.83,0.00
45,17186,6.2225,1.3009,0.0000,0.0000,104.03,0.00
46,85436,23.7318,15.2993,0.0000,0.0000,60.72,0.00
47,93044,26.5921,17.7754,0.0000,0.0000,58.07,0.00
48,37699,10.0038,4.0177,0.0000,0.0000,85.53,0.00
49,97581,28.4200,19.3651,0.0000,0.0000,56.54,0.00
50,25415,7.5778,2.2366,0.0000,0.0000,95.86,0.00
51,67355,17.7067,10.1861,0.0000,0.0000,68.08,0.00
52,81369,22.2798,14.0567,0.0000,0.0000,62.26,0.00
53,84358,23.3356,14.9665,0.0000,0.0000,61.18,0.00
54,46627,12.0252,5.5932,0.0000,0.0000,79.60,0.00
55,16312,6.0813,1.1873,0.0000,0.0000,104.62,0.00
56,26750,7.8249,2.3956,0.0000,0.0000,94.30,0.00
57,60738,15.7377,8.5792,0.0000,0.0000,71.52,0.00
58,24635,7.4248,2.1113,0.0000,0.0000,96.36,0.00
59,40965,10.6860,4.5304,0.0000,0.0000,83.18,0.00
60,47686,12.2332,5.7428,0.0000,0.0000,78.89,0.00
61,25018,7.4852,2.1548,0.0000,0.0000,96.05,0.00
62,62954,16.4132,9.1292,0.0000,0.0000,70.29,0.00
63,32532,8.8861,3.1601,0.0000,0.0000,89.42,0.00
64,56874,14.6462,7.6654,0.0000,0.0000,73.34,0.00
65,67044,17.6566,10.1532,0.0000,0.0000,68.24,0.00
