num_prefixes,prefix_len,topk,suffix_len,batch_size,flat_ms,cascade_ms,ml_cascade_ms,fasttree_ms,deft_ms,fastest,speedup_over_flat,cascade_vs
1,2048,8,5,8,0.0331839993596077,0.020128000527620316,0.05766399949789047,0.02112000063061714,0.023264000192284584,cascade,1.65,4.7
1,2048,16,5,16,0.050624001771211624,0.020767999812960625,0.06281600147485733,0.023264000192284584,0.023840000852942467,cascade,2.44,10.7
1,8192,8,5,8,0.08796799927949905,0.03222399950027466,0.14419199526309967,0.04044799879193306,0.04499199986457825,cascade,2.73,20.3
1,8192,16,5,16,0.16767999529838562,0.03311999887228012,0.14975999295711517,0.04291199892759323,0.0490880012512207,cascade,5.06,22.8
1,16384,8,5,8,0.1677439957857132,0.04940799996256828,0.2561759948730469,0.06790400296449661,0.0843840017914772,cascade,3.4,27.2
1,16384,16,5,16,0.31839999556541443,0.049695998430252075,0.2654719948768616,0.070592001080513,0.09065599739551544,cascade,6.41,29.6
1,50000,8,5,8,0.48822399973869324,0.10051199793815613,0.7309119999408722,0.16972799599170685,0.23151999711990356,cascade,4.86,40.8
1,50000,16,5,16,0.9430080056190491,0.1438080072402954,0.7402240037918091,0.17496000230312347,0.2507840096950531,cascade,6.56,17.8
4,2048,8,5,32,0.09193599969148636,0.032416000962257385,0.07756800204515457,0.04303999990224838,0.048608001321554184,cascade,2.84,24.7
4,2048,16,5,64,0.16998399794101715,0.046720001846551895,0.10044799745082855,0.048928000032901764,0.06835199892520905,cascade,3.64,4.5
4,8192,8,5,32,0.3215999901294708,0.06870400160551071,0.16651199758052826,0.08416000008583069,0.12403199821710587,cascade,4.68,18.4
4,8192,16,5,64,0.6444319784641266,0.0899839997291565,0.19008000195026398,0.08748800307512283,0.15942400693893433,fasttree,7.37,-2.9
4,16384,8,5,32,0.6443520188331604,0.13468800485134125,0.2832159996032715,0.1496960073709488,0.24012799561023712,cascade,4.78,10.0
4,16384,16,5,64,1.2423679828643799,0.14003199338912964,0.30793601274490356,0.15408000349998474,0.2839680016040802,cascade,8.87,9.1
4,50000,8,5,32,1.905087947845459,0.33081600069999695,0.8131359815597534,0.3263680040836334,0.6855679750442505,fasttree,5.84,-1.4
4,50000,16,5,64,3.791696071624756,0.3433600068092346,0.8386240005493164,0.34544000029563904,0.8034720122814178,cascade,11.04,0.6
8,2048,8,5,64,0.16780799627304077,0.05222399905323982,0.13488000631332397,0.07135999947786331,0.09084799885749817,cascade,3.21,26.8
8,2048,16,5,128,0.3245440125465393,0.07168000191450119,0.18080000579357147,0.078015998005867,0.13619199395179749,cascade,4.53,8.1
8,8192,8,5,64,0.6345599889755249,0.13913600146770477,0.31411200761795044,0.1512639969587326,0.23951999843120575,cascade,4.56,8.0
8,8192,16,5,128,1.2725119590759277,0.14713600277900696,0.36164799332618713,0.1624639928340912,0.32092800736427307,cascade,8.65,9.4
8,16384,8,5,64,1.2797119617462158,0.21769599616527557,0.5752959847450256,0.230880007147789,0.4513919949531555,cascade,5.88,5.7
8,16384,16,5,128,2.481856107711792,0.2266400009393692,0.6307200193405151,0.2529279887676239,0.5561280250549316,cascade,10.95,10.4
8,50000,8,5,64,3.8915839195251465,0.6086719930171967,1.6638240218162537,0.6286720037460327,1.3175679445266724,cascade,6.39,3.2
