prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,41716,11.5211,7.0098,2.2560,1.8851,113.49,5.45
1,27177,6.8268,3.8655,1.4711,1.1963,172.90,7.76
2,35238,9.1922,5.5522,1.7845,1.4940,140.66,6.65
3,26966,7.0423,3.8863,1.5548,1.2897,162.23,7.31
4,22347,6.7084,3.0582,1.8079,1.4869,140.27,6.10
5,20281,6.3446,2.6816,1.8282,1.4827,139.78,6.02
6,22027,8.0106,3.0257,2.4736,2.0307,102.71,4.45
7,23977,6.8657,3.3445,1.7456,1.4350,145.41,6.40
8,23746,6.2412,3.2865,1.4677,1.1995,173.28,7.64
9,20473,5.8317,2.7311,1.5638,1.2415,165.13,7.21
10,23252,6.2992,3.2319,1.5183,1.2513,166.92,7.31
11,30625,8.6563,4.6332,1.9883,1.6502,127.26,5.89
12,20667,6.0015,2.7799,1.6478,1.2747,158.93,7.01
13,27118,7.2636,3.9174,1.6497,1.3662,153.01,6.92
14,28753,7.4150,4.2664,1.5565,1.2859,162.61,7.42
15,25070,7.2892,3.5653,1.8459,1.5185,137.49,6.10
16,37340,9.5285,6.1065,1.6790,1.4112,149.62,7.21
17,22514,7.1892,3.1093,2.0226,1.6645,125.49,5.45
18,28674,7.5835,4.2574,1.6622,1.3745,153.94,6.92
19,40412,10.6494,6.7727,1.9016,1.5978,132.07,6.48
20,43019,11.4111,7.4711,1.9515,1.6067,129.95,6.56
21,37717,9.3855,6.2035,1.5635,1.3092,160.90,7.76
22,40488,11.0542,6.7993,2.0950,1.7543,120.33,5.89
23,31926,8.6587,4.8640,1.9214,1.5159,134.92,6.40
24,34943,9.0021,5.5528,1.6958,1.4187,148.44,7.01
25,27710,7.4952,4.0274,1.7152,1.4157,147.64,6.65
26,22585,5.8938,3.1265,1.3768,1.1308,185.02,8.00
27,21604,7.0144,2.9286,2.0263,1.6646,125.31,5.39
28,21670,6.7208,2.9373,1.8742,1.5425,135.33,5.82
29,39877,11.1683,6.6452,2.2253,1.8632,113.20,5.51
30,25248,6.7633,3.5826,1.5785,1.2964,160.97,7.11
31,20868,6.0246,2.8125,1.6666,1.2499,159.40,7.11
32,23720,6.3727,3.2782,1.5369,1.2604,165.46,7.21
33,25715,7.6461,3.6648,1.9737,1.6274,128.60,5.69
34,22389,6.1248,3.0581,1.5202,1.2481,166.96,7.21
35,54460,14.4442,10.4555,1.9459,1.6547,128.36,6.83
36,38322,10.0490,6.3330,1.8283,1.5265,137.78,6.65
37,24243,6.2634,3.3689,1.4377,1.1798,176.89,7.76
38,25245,6.8947,3.5825,1.6413,1.3517,154.58,6.83
39,21993,6.2450,3.0111,1.6039,1.3153,158.32,6.83
40,21937,6.1532,3.0060,1.5621,1.2805,162.68,7.01
41,22891,7.0025,3.1434,1.9112,1.5763,132.67,5.75
42,35666,9.9963,5.6921,2.1221,1.7684,118.95,5.63
43,42169,11.8155,7.2026,2.3383,1.8484,110.99,5.63
44,63169,18.0362,13.1095,2.4049,2.0477,103.92,5.82
45,22022,5.8677,3.0192,1.4146,1.1581,179.75,7.76
46,24451,6.4471,3.4147,1.5056,1.2367,168.84,7.42
47,20521,6.2582,2.7549,1.7686,1.4037,146.15,6.32
48,28560,7.1680,4.1827,1.4760,1.2204,171.51,7.76
49,39054,10.0648,6.4838,1.7613,1.4757,142.98,6.92
50,27666,7.1759,4.0232,1.5595,1.2839,162.40,7.31
51,40241,10.4088,6.7465,1.7993,1.5085,139.80,6.83
52,20170,5.9588,2.6670,1.6420,1.3348,155.54,6.65
53,27177,7.0081,3.9154,1.5318,1.2622,165.56,7.42
54,22584,6.0603,3.1143,1.4614,1.1993,173.80,7.53
55,25706,7.6933,3.6632,1.9966,1.6471,127.05,5.63
56,30533,8.0413,4.6050,1.7020,1.4065,149.00,6.83
57,25697,6.5881,3.6634,1.4512,1.1931,175.06,7.76
58,29727,8.2322,4.4522,1.8713,1.5488,135.45,6.17
59,24235,6.6119,3.3646,1.6104,1.3237,157.67,6.92
60,33693,8.8560,5.2975,1.7545,1.4586,143.88,6.74
61,37848,9.8654,6.2081,1.7997,1.5045,139.99,6.74
62,27667,7.2614,4.0251,1.6024,1.3217,158.20,7.11
63,21217,5.6887,2.8853,1.4257,1.1140,182.63,8.00
64,23934,6.4316,3.3235,1.5417,1.2659,164.73,7.21
65,22982,6.5437,3.1545,1.6801,1.3831,151.07,6.56
66,25517,6.8410,3.6532,1.5804,1.3011,160.62,7.11
67,21699,5.8684,2.9378,1.4528,1.1916,174.71,7.53
68,36488,9.1807,5.8511,1.6456,1.3703,153.77,7.31
69,22739,7.1124,3.1244,1.9786,1.6266,128.38,5.57
70,29108,7.5019,4.3266,1.5757,1.2965,161.25,7.31
71,25380,6.7728,3.6331,1.5560,1.2810,163.07,7.21
72,34539,9.3007,5.4493,1.9016,1.5804,132.94,6.24
73,32398,8.4876,4.9576,1.7408,1.4453,145.05,6.74
74,26066,6.7265,3.7510,1.4771,1.2135,172.07,7.64
75,28784,9.4563,4.2566,2.5777,2.1248,98.47,4.45
76,25282,7.8933,3.6156,2.1263,1.7440,119.69,5.28
77,22137,6.3878,3.0237,1.6737,1.3678,152.20,6.56
78,35294,8.9916,5.5859,1.6753,1.3986,150.34,7.11
