prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,7.2943,2.8711,2.2727,1.8153,115.75,4.83
1,67610,18.3448,14.3184,1.8983,1.6300,127.16,7.42
2,51583,14.0563,9.6252,2.1459,1.8320,115.55,6.10
3,45940,12.5937,8.2181,2.1312,1.8111,117.01,5.95
4,76082,22.1421,17.5615,2.2019,1.9181,111.77,6.74
5,13949,4.4335,1.7130,1.3609,1.0991,188.20,7.64
6,48737,12.4979,8.8792,1.7642,1.4967,141.48,7.31
7,52305,14.0068,9.8609,2.0317,1.7270,123.50,6.48
8,46596,14.3051,8.3793,2.9044,2.4603,86.40,4.38
9,42433,13.3668,7.3349,3.1155,2.3826,84.88,4.38
10,55705,14.8344,10.8182,1.9566,1.6672,127.48,6.83
11,39428,10.3157,6.5304,1.8594,1.5616,135.26,6.56
12,97202,30.4548,25.9320,2.1611,1.9074,113.21,7.53
13,41364,10.8613,7.0408,1.8815,1.5789,134.01,6.56
14,84224,24.8473,20.5669,2.0676,1.8048,119.61,7.42
15,41085,10.5720,6.9550,1.7797,1.4916,141.55,6.92
16,42399,13.1535,7.3126,3.0054,2.3066,87.66,4.49
17,26995,7.3779,3.8998,1.7218,1.4235,147.21,6.56
18,96626,30.1772,25.6254,2.1835,1.8961,112.48,7.53
19,55843,14.7286,10.8351,1.9048,1.6183,131.50,7.01
20,40761,10.5350,6.8329,1.8250,1.5264,138.30,6.74
21,40531,10.2086,6.7963,1.6799,1.4061,150.04,7.31
22,57284,16.1046,11.3005,2.3902,2.0375,106.58,5.63
23,54495,14.3458,10.4763,1.8896,1.6057,132.32,7.01
24,45924,12.2723,8.1943,2.0034,1.6883,125.55,6.32
25,58514,16.7619,11.6736,2.4848,2.1177,100.62,5.45
26,29550,8.0199,4.4350,1.7751,1.4686,142.82,6.48
27,59277,15.9797,11.8864,1.9896,1.7007,125.08,6.83
28,56028,14.8112,10.9558,1.8840,1.6024,132.80,7.11
29,55048,14.4361,10.6564,1.8443,1.5701,135.46,7.21
30,33241,10.5728,5.1936,2.6581,2.2112,95.18,4.41
31,79678,23.2521,18.7996,2.1460,1.8657,114.99,7.01
32,76968,21.8998,17.7537,2.0025,1.7332,123.49,7.42
33,45169,11.8754,7.9734,1.9203,1.6120,131.22,6.56
34,67357,18.6309,14.4699,2.0234,1.7378,123.05,7.01
35,80060,23.2370,18.9871,2.0572,1.7878,120.47,7.31
36,34953,8.8541,5.5602,1.6243,1.3540,155.44,7.31
37,44079,11.3970,7.6610,1.8328,1.5434,137.04,6.83
38,41330,10.7896,7.0221,1.8551,1.5555,135.90,6.65
39,59768,16.3355,12.0225,2.1055,1.7883,118.71,6.48
40,48911,12.7888,8.8903,1.9123,1.6101,131.33,6.74
41,50562,13.4324,9.4459,1.9543,1.6539,128.43,6.65
42,68646,18.8155,14.8511,1.9242,1.6545,129.15,7.42
43,34493,9.1033,5.4490,1.8055,1.5013,140.11,6.56
44,80249,23.2075,18.9986,2.0321,1.7642,121.65,7.42
45,45433,11.8050,8.0415,1.8498,1.5549,136.04,6.83
46,42940,11.2809,7.3822,1.9328,1.5919,131.33,6.56
47,66384,18.4512,14.2014,2.0652,1.7737,120.48,6.83
48,62497,17.0710,12.9160,2.0303,1.7282,123.23,6.83
49,64922,17.5357,13.6546,1.8899,1.6176,131.92,7.42
50,64331,17.8246,13.4808,2.1364,1.7910,117.87,6.65
51,60831,16.4262,12.3686,1.9858,1.6870,126.18,6.92
52,61279,16.5550,12.4387,2.0121,1.7140,124.39,6.83
53,32350,10.2921,4.9597,2.6369,2.1907,96.02,4.41
54,36657,9.5723,5.8775,1.8272,1.5170,138.57,6.56
55,91417,28.0417,23.4393,2.2026,1.9354,111.25,7.21
56,65436,18.8317,13.7693,2.4703,2.1128,101.14,5.69
57,46663,11.9642,8.3745,1.7642,1.4820,142.63,7.21
58,53750,14.0314,10.2955,1.8473,1.5370,137.05,7.31
59,59395,16.2296,11.9871,2.0757,1.7679,120.68,6.56
60,40279,10.4987,6.7541,1.8433,1.5429,136.73,6.65
61,90110,27.2634,22.9116,2.0980,1.8331,117.65,7.53
62,73819,21.1151,16.6923,2.1504,1.8476,115.76,6.83
63,79005,22.8716,18.5678,2.0774,1.7999,118.96,7.21
64,42322,13.2207,7.3142,3.0247,2.3469,86.68,4.41
65,53902,14.9611,10.3168,2.2750,1.9282,110.24,5.82
66,61769,16.8890,12.6840,2.0474,1.7514,121.76,6.74
67,64889,17.7456,13.6451,1.9957,1.7068,124.86,7.01
68,63342,17.4563,13.1533,2.1167,1.7881,118.99,6.65
69,39113,10.1164,6.4948,1.7858,1.4919,141.38,6.83
70,49547,13.7050,9.1250,2.2450,1.8954,111.79,5.75
71,16319,5.1824,2.0416,1.5699,1.2692,163.02,6.74
72,57675,15.6352,11.4360,2.0534,1.7498,121.93,6.56
73,74334,21.3145,16.8669,2.1951,1.8284,115.12,6.92
74,41988,10.9766,7.1992,1.8957,1.5368,135.54,6.74
75,46074,11.7419,8.2144,1.7340,1.4548,145.14,7.31
76,60183,16.3589,12.1927,2.0327,1.7309,122.89,6.74
77,52145,13.9506,9.8098,2.0273,1.7140,123.65,6.48
78,37351,10.3466,6.0994,2.0964,1.7464,120.55,5.75
79,41649,10.7842,7.1489,1.7957,1.4964,140.84,6.92
80,52871,13.7434,9.9763,1.8891,1.5214,135.91,7.31
81,65038,17.5599,13.6836,1.8914,1.6136,132.09,7.42
82,40139,10.4763,6.6817,1.8701,1.5596,134.93,6.56
83,51847,13.3760,9.7751,1.8172,1.5330,142.18,7.21
84,79672,22.9521,18.8032,2.0019,1.7386,123.41,7.53
85,65911,18.4647,14.0003,2.1764,1.8603,114.68,6.48
86,35847,9.3668,5.7330,1.7963,1.4927,140.90,6.65
87,51204,13.6561,9.6128,1.9889,1.6774,126.63,6.56
88,96615,33.6773,25.6628,3.8992,3.3638,63.88,4.23
89,62300,17.5800,12.8973,2.2936,1.9535,109.34,6.02
90,56180,14.9656,10.9690,1.9623,1.6587,128.11,6.83
91,94730,31.4080,24.8971,3.1491,2.7473,78.64,5.12
92,59788,16.2979,12.0441,2.0820,1.7670,120.36,6.56
93,74351,21.2738,16.8729,2.1749,1.8040,116.34,7.01
94,55590,14.8669,10.8034,1.9873,1.6834,126.00,6.74
95,58268,15.6035,11.6569,1.9319,1.6430,129.73,7.01
96,54887,15.4090,10.6219,2.3467,1.9808,106.95,5.69
97,56312,15.6447,10.9957,2.2762,1.9353,110.13,5.89
98,42563,11.3677,7.3375,2.0587,1.6010,127.04,6.48
99,59743,16.6111,12.0278,2.2441,1.9047,111.71,6.10
100,51451,14.0100,9.6324,2.1475,1.8116,116.96,6.10
101,56469,15.2483,11.0169,2.0713,1.7617,121.00,6.48
102,48444,12.7631,8.8210,1.9337,1.6317,129.88,6.65
103,60058,16.9249,12.1757,2.3244,1.9753,107.81,5.89
104,10634,4.3515,1.2414,1.5802,1.2351,164.62,6.56
105,54092,14.3276,10.4182,1.9136,1.6155,130.97,6.92
106,44158,13.4381,7.6643,2.8399,2.3856,88.68,4.41
107,48261,12.8100,8.7321,2.0083,1.6858,125.55,6.40
108,64982,17.7218,13.6689,1.9735,1.6859,126.33,7.11
109,51385,14.0593,9.6299,2.1735,1.8338,115.59,6.02
110,56240,14.9083,10.9851,1.9173,1.6226,130.50,7.01
111,38287,11.9044,6.3433,2.7492,2.2885,92.07,4.41
112,41060,10.4272,6.9576,1.7149,1.4292,147.57,7.21
113,45042,12.1191,7.9208,2.0689,1.7294,121.95,6.10
114,89836,30.1958,22.7204,3.6156,3.1495,68.49,4.38
115,51716,13.6881,9.6748,1.9728,1.6638,127.58,6.65
116,62277,16.9377,12.8981,1.9792,1.6822,126.74,7.01
117,80709,23.6308,19.2206,2.1303,1.8479,116.10,7.11
118,60401,16.2828,12.2264,1.9849,1.6884,126.22,6.92
119,59059,15.9278,11.8468,1.9931,1.6956,125.46,6.83
120,54036,14.6450,10.4245,2.0697,1.7504,121.31,6.40
121,52948,14.2460,10.0036,2.1373,1.7134,120.68,6.48
122,76647,22.0099,17.6945,2.0925,1.8029,118.64,7.11
123,85185,25.2551,20.8622,2.1814,1.8040,116.55,7.42
124,65634,17.8505,13.9118,1.9229,1.6439,129.99,7.31
125,38101,9.8412,6.2415,1.7771,1.4749,142.23,6.83
126,46758,12.3279,8.3847,1.9438,1.6262,129.84,6.56
127,50318,13.3009,9.3250,1.9538,1.6415,128.78,6.65
128,48414,12.4393,8.7501,1.8123,1.5221,138.79,7.11
129,50414,13.3677,9.3274,1.9827,1.6674,126.72,6.56
130,41436,10.5407,7.0558,1.7153,1.4351,146.92,7.21
131,57507,15.3603,11.3697,1.9506,1.6559,128.30,6.92
132,54517,14.0866,10.4738,1.7679,1.4906,141.72,7.53
133,42523,13.2550,7.3315,3.0446,2.3448,86.44,4.41
134,37852,9.8109,6.2146,1.7760,1.4737,142.37,6.83
135,50824,13.4309,9.4781,1.9389,1.6298,129.53,6.74
136,50145,13.3376,9.3045,1.9801,1.6674,126.95,6.56
137,37155,9.4807,6.0467,1.6979,1.4087,149.10,7.11
138,52689,14.0499,9.9580,2.0308,1.6740,125.13,6.65
139,72055,20.6672,16.0478,2.2426,1.9282,110.84,6.48
140,67150,18.7720,14.4425,2.1079,1.8071,118.26,6.74
141,59707,16.1817,12.0306,2.0291,1.7245,123.34,6.74
142,67491,18.3719,14.4933,1.8890,1.6174,132.00,7.53
143,26701,7.3931,3.8738,1.7466,1.4322,145.48,6.48
144,49208,12.5866,9.0328,1.7450,1.4624,144.07,7.42
145,54068,14.4494,10.4289,1.9694,1.6632,127.35,6.74
146,35154,9.2034,5.5787,1.7907,1.4863,141.25,6.65
147,62229,17.1529,12.8881,2.0822,1.7730,120.05,6.65
148,29037,7.6184,4.3192,1.6394,1.3438,155.19,7.01
149,89113,27.1831,22.4669,2.2805,1.9797,108.56,6.92
150,36653,9.5978,5.8853,1.8344,1.5210,137.91,6.56
151,53035,13.7022,10.0225,1.8660,1.4737,139.14,7.53
152,80372,23.3722,19.0343,2.0995,1.8164,118.03,7.21
153,44302,11.5983,7.7044,1.9173,1.6094,131.49,6.56
154,39868,10.3917,6.6566,1.8458,1.5326,137.08,6.65
155,39764,10.4246,6.6397,1.8672,1.5521,135.28,6.56
156,90961,28.3951,23.3610,2.4281,2.1042,101.71,6.56
157,91256,27.9969,23.4168,2.2070,1.9247,111.79,7.21
158,51147,13.5464,9.5328,1.9692,1.6589,127.57,6.65
159,50635,14.2222,9.4602,2.3433,1.9667,107.52,5.57
160,60356,16.5609,12.2283,2.1191,1.8013,118.17,6.48
161,79138,22.9187,18.6137,2.0870,1.8048,118.93,7.21
162,52504,14.0324,9.8759,2.0469,1.7156,123.18,6.48
163,58683,15.4562,11.7162,1.8325,1.5566,136.90,7.42
164,63507,17.5180,13.2810,2.1000,1.7370,120.84,6.83
165,58138,15.8549,11.6461,2.0637,1.7508,121.65,6.56
166,64303,17.9755,13.4961,2.2146,1.8393,114.30,6.48
167,78586,22.6360,18.5242,1.9948,1.7180,124.52,7.53
168,33869,10.7298,5.3213,2.6792,2.2171,94.67,4.41
169,48506,12.7670,8.8338,1.9346,1.6245,130.18,6.65
170,58838,16.0647,11.8317,2.0710,1.7573,120.96,6.56
171,45839,11.6766,8.2142,1.7110,1.4330,147.87,7.42
172,49642,12.7822,9.1663,1.7721,1.4908,141.60,7.31
173,54351,15.1813,10.4713,2.3113,1.9486,108.70,5.75
174,25260,7.0127,3.6260,1.6870,1.3790,151.18,6.65
175,91880,28.0961,23.6725,2.1209,1.8487,115.74,7.53
176,12567,4.4869,1.5230,1.4877,1.1910,172.75,6.92
177,89057,27.0070,22.4795,2.1857,1.9057,113.09,7.21
178,48738,12.8750,8.8740,1.9639,1.6518,127.97,6.56
179,82058,24.3674,19.7568,2.2391,1.9347,111.05,6.83
180,59677,15.8050,12.0336,1.8471,1.5624,135.76,7.42
181,42255,11.1030,7.2489,1.9657,1.5379,132.84,6.74
182,53448,14.3906,10.2072,2.0965,1.6966,122.39,6.56
183,50159,13.3964,9.3292,2.0049,1.6854,125.88,6.48
184,14487,4.6791,1.7949,1.4445,1.1642,177.52,7.21
185,44715,11.5588,7.8148,1.8467,1.5392,136.75,6.83
186,41743,10.6251,7.1699,1.7131,1.4138,148.18,7.31
187,58717,15.8353,11.8185,1.9694,1.6638,127.46,6.92
188,81381,24.1702,19.4384,2.2899,1.9821,108.20,6.65
189,39230,10.2328,6.5146,1.8371,1.5289,137.70,6.65
190,41626,10.6275,7.0916,1.7478,1.4539,144.80,7.11
191,49340,13.7375,9.0661,2.2999,1.9294,109.60,5.63
192,57946,15.8389,11.5083,2.1180,1.7970,118.23,6.40
193,75112,21.3365,17.2520,1.9980,1.6912,125.35,7.53
194,82967,24.5768,20.1228,2.1561,1.8684,114.95,7.11
195,73163,21.1409,16.4434,2.2862,1.9623,108.99,6.40
196,50003,13.0670,9.2946,1.8553,1.5609,135.72,7.01
197,49205,13.0425,9.0355,1.9696,1.6556,127.78,6.56
198,23628,8.3451,3.2711,2.5320,2.0639,100.91,4.38
199,27565,7.5512,4.0172,1.7570,1.4400,144.88,6.48
