prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,15.0550,10.9596,1.9845,1.6704,125.02,6.83
1,81646,24.8472,19.7601,2.2166,1.9818,100.65,6.92
2,76090,22.5478,18.0694,2.1563,1.9033,114.33,6.92
3,77617,22.9985,18.4620,2.1425,1.8974,112.86,7.01
4,55747,17.2021,11.0738,2.9529,2.5459,83.55,4.57
5,29498,8.0340,4.4985,1.7322,1.4399,144.82,6.74
6,85073,26.0491,21.2944,2.2792,1.9372,107.68,7.11
7,24370,6.7751,3.4274,1.6528,1.3610,152.94,6.83
8,29084,7.7107,4.3841,1.6365,1.3551,153.91,7.11
9,86449,26.7545,21.8909,2.2899,2.0383,105.27,6.83
10,13820,4.8439,1.7146,1.5598,1.2622,163.62,6.74
11,80111,24.1840,19.3188,2.2819,2.0178,105.24,6.65
12,21014,6.2401,2.8639,1.7525,1.2983,151.65,6.92
13,40539,10.6637,6.8740,1.8456,1.5556,135.10,6.74
14,41253,10.8788,7.1003,1.8397,1.5458,135.50,6.83
15,47961,12.7588,8.8118,1.8949,1.6065,129.72,6.83
16,37493,10.0189,6.2092,1.8602,1.5617,134.39,6.56
17,65396,18.9612,13.9584,2.3763,2.0612,102.34,5.95
18,19849,5.7182,2.6481,1.5256,1.2402,166.77,7.21
19,94472,30.0540,25.1875,2.2820,2.0326,105.21,7.11
20,78236,23.3426,18.5982,2.2611,1.9905,107.92,6.65
21,51271,13.6290,9.7773,1.8546,1.5865,132.93,7.11
22,86529,27.9545,21.8438,2.8984,2.5655,83.79,5.39
23,56310,15.4669,11.1309,2.0636,1.7737,118.08,6.56
24,24586,6.7979,3.5283,1.6093,1.3256,156.60,7.01
25,35659,9.3311,5.7980,1.7257,1.4426,144.92,7.01
26,36601,9.5364,5.9530,1.7510,1.4717,142.88,6.92
27,27547,7.5873,4.0590,1.7364,1.4336,145.11,6.65
28,90282,28.2331,23.6006,2.2399,1.9941,110.52,7.11
29,38905,12.5281,6.5611,2.9079,2.4553,85.80,4.23
30,38665,10.2547,6.4830,1.8287,1.5376,135.74,6.74
31,68405,19.4360,15.1651,2.0740,1.8092,119.88,6.92
32,83924,25.9776,20.8487,2.3895,2.1121,99.83,6.48
33,40640,10.5912,6.9399,1.7782,1.4953,140.23,7.01
34,24760,6.8612,3.5491,1.6376,1.3479,154.59,6.92
35,70404,20.1285,15.8764,2.0457,1.7833,120.41,7.11
36,74909,23.1536,17.4804,2.7551,2.3076,90.25,5.63
37,16245,5.0663,2.0384,1.5044,1.2198,169.09,7.11
38,14941,5.0400,1.8444,1.5925,1.2911,160.22,6.65
39,35576,9.2458,5.7330,1.7184,1.4371,145.75,7.01
40,58665,16.1696,11.8508,2.0633,1.7759,118.55,6.65
41,51288,13.9491,9.8177,1.9892,1.6989,123.93,6.65
42,70925,20.2722,16.0520,1.9942,1.7420,121.32,7.31
43,83377,25.2610,20.7851,2.1672,1.9167,114.39,7.11
44,34600,9.1057,5.5450,1.7388,1.4509,143.79,6.92
45,17068,5.5260,2.2378,1.6344,1.3241,155.71,6.56
46,82662,25.1235,20.4958,2.2270,1.9642,110.64,6.92
47,90967,29.1425,23.9184,2.4632,2.1777,98.01,6.48
48,36310,13.7162,5.8997,3.8323,3.2154,65.50,3.16
49,97404,31.9308,26.4608,2.5049,2.2371,93.60,6.56
50,25417,7.2132,3.7031,1.7307,1.4294,145.87,6.56
51,67302,19.4318,14.8097,2.2105,1.9225,110.77,6.48
52,80841,25.4001,19.6883,2.6934,2.3740,89.64,5.69
53,84104,25.8239,20.9904,2.2414,1.9869,105.93,6.92
54,46064,12.9002,8.3905,2.1854,1.8559,113.53,5.89
55,16285,5.3040,2.0612,1.6117,1.3069,157.89,6.65
56,26728,7.2161,3.9252,1.6164,1.3333,155.58,7.11
57,60666,16.7743,12.5366,2.0329,1.7528,120.82,6.83
58,24235,6.6569,3.4035,1.6080,1.3233,157.37,7.01
59,40886,10.7130,6.9362,1.8262,1.5334,135.57,6.83
60,47369,12.7135,8.7277,1.9207,1.6317,128.45,6.74
61,24987,6.8862,3.6028,1.6198,1.3281,155.94,7.01
62,62887,17.5903,13.4249,2.0041,1.7310,122.92,7.01
63,32507,8.5285,5.0662,1.6950,1.4116,147.88,7.01
64,55848,15.2632,11.0952,2.0070,1.7245,122.84,6.74
65,67033,19.1214,14.7768,2.0677,1.7962,117.85,6.92
