prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,42051,8.1054,4.9270,0.4400,2.5107,161.09,2.77
1,28143,4.8602,2.6498,0.3155,1.7064,231.63,3.66
2,36539,6.5411,3.9215,0.3642,2.0377,195.45,3.28
3,29039,5.4914,2.8202,0.3816,2.0649,191.67,3.05
4,22714,4.1954,1.9900,0.3204,1.6887,232.16,3.53
5,21812,5.1072,1.8685,0.4710,2.4969,158.09,2.39
6,22646,5.1014,1.9885,0.4501,2.3846,164.48,2.51
7,25024,4.2901,2.2805,0.2892,1.5412,254.78,3.97
8,24150,4.9160,2.1606,0.3994,2.1135,185.81,2.89
9,21045,4.1623,1.7980,0.3570,1.7997,216.56,3.28
10,23442,5.4161,2.0850,0.4824,2.5551,153.70,2.36
11,31600,6.5250,3.2289,0.4731,2.5411,155.33,2.55
12,22289,4.6943,1.9481,0.3985,2.1144,186.44,2.84
13,27965,5.3803,2.7033,0.3825,2.0630,191.26,3.05
14,29778,5.3434,2.9732,0.3347,1.8275,216.02,3.51
15,25868,5.8369,2.4080,0.4941,2.6489,149.32,2.33
16,38167,6.7271,4.2983,0.3327,1.8862,210.81,3.63
17,23130,5.3966,2.0358,0.4871,2.5776,152.34,2.34
18,30060,5.4665,3.0305,0.3430,1.8805,210.18,3.41
19,43636,8.1136,5.2681,0.3848,2.2328,179.93,3.20
20,45405,8.2490,5.6626,0.3461,2.0205,197.96,3.58
21,40309,8.1107,4.6900,0.4655,2.6724,149.68,2.61
22,44438,7.9494,5.4614,0.3374,1.9417,205.79,3.68
23,34797,6.3243,3.7605,0.3579,1.9938,199.70,3.35
24,35288,6.8936,3.8041,0.4273,2.4087,165.72,2.78
25,28694,5.4883,2.8164,0.3833,2.0693,191.63,3.05
26,23357,4.3209,2.0816,0.3280,1.7193,228.63,3.51
27,22576,4.4579,2.0008,0.3601,1.8871,208.38,3.18
28,22524,4.8928,1.9891,0.4214,2.2291,176.33,2.69
29,42018,7.6405,5.0190,0.3577,2.0533,195.30,3.41
30,25980,4.7531,2.4468,0.3341,1.7684,221.99,3.48
31,22679,4.3958,2.0078,0.3531,1.8285,214.41,3.28
32,24753,5.7274,2.2614,0.4982,2.6720,147.72,2.30
33,27006,5.4980,2.5535,0.4197,2.2763,173.89,2.75
34,23108,4.9014,2.0319,0.4160,2.2098,178.43,2.72
35,56607,10.9562,7.9936,0.3841,2.3378,172.83,3.35
36,40046,7.8309,4.6015,0.4402,2.5188,158.54,2.75
37,26106,5.3965,2.4543,0.4238,2.2682,174.02,2.72
38,26253,5.4272,2.4662,0.4235,2.2803,172.91,2.71
39,23403,5.0939,2.0816,0.4381,2.3179,169.97,2.60
40,23376,5.0427,2.0810,0.4291,2.2721,172.87,2.65
41,24529,5.1362,2.2213,0.4191,2.2494,175.65,2.72
42,37441,6.4793,4.1838,0.3180,1.7930,223.04,3.79
43,45206,9.0870,5.6068,0.4689,2.7376,147.12,2.63
44,65305,13.4534,10.1409,0.4212,2.6373,154.57,3.14
45,22570,4.7421,2.0000,0.3995,2.1093,186.72,2.84
46,25200,4.6850,2.3208,0.3420,1.8222,216.56,3.37
47,20851,5.0466,1.7759,0.4890,2.4946,156.54,2.36
48,29200,5.5235,2.8843,0.3754,2.0457,194.00,3.10
49,42131,8.2684,5.0219,0.4453,2.5380,157.71,2.77
50,28230,5.8298,2.7213,0.4441,2.3956,164.71,2.63
51,41379,7.5940,4.8745,0.3695,2.1205,188.27,3.30
52,20878,4.0890,1.7796,0.3488,1.7628,221.70,3.35
53,29470,5.7511,2.9414,0.3995,2.1752,182.23,2.94
54,23393,4.5656,2.0817,0.3638,1.9082,206.13,3.16
55,26477,5.6805,2.4793,0.4606,2.4710,159.94,2.51
56,31496,5.7245,3.2178,0.3583,1.9420,204.25,3.32
57,27562,5.5855,2.6280,0.4213,2.2783,173.12,2.75
58,31997,6.0249,3.2584,0.3947,2.1368,185.07,3.05
59,24533,4.7369,2.2196,0.3645,1.9389,203.39,3.16
60,36212,6.9523,3.9659,0.4123,2.3213,171.44,2.89
61,40316,7.3012,4.6795,0.3563,2.0434,195.30,3.41
62,28536,4.9516,2.7394,0.3153,1.7115,231.44,3.68
63,21657,4.1830,1.8745,0.3351,1.7763,221.79,3.37
64,25699,5.2830,2.3914,0.4162,2.2227,177.06,2.77
65,23642,5.3004,2.0945,0.4673,2.4678,159.70,2.45
66,25908,5.4218,2.4038,0.4344,2.3206,169.65,2.65
67,22674,4.3619,2.0056,0.3430,1.8047,217.29,3.32
68,39651,7.7472,4.5711,0.4366,2.4742,161.20,2.78
