prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21420,6.2906,1.8517,0.6413,3.3566,115.34,1.77
1,68195,15.5675,10.6140,0.6172,3.9057,103.36,2.15
2,51795,11.3771,6.8476,0.5923,3.5687,113.03,2.12
3,46064,8.8565,5.7593,0.4147,2.4277,165.31,2.99
4,76314,17.6069,13.2288,0.5464,3.4745,116.95,2.56
5,14066,4.9616,1.0469,0.5888,3.0007,130.79,1.86
6,49083,11.1034,6.3301,0.6328,3.7767,107.26,1.97
7,52468,10.3128,7.0772,0.4276,2.5549,158.24,2.98
8,46672,11.3330,5.9195,0.7245,4.2867,94.58,1.71
9,42512,10.3052,5.1166,0.7240,4.0673,98.68,1.74
10,55832,11.1180,7.8500,0.4277,2.5977,156.67,2.99
11,39747,9.0429,4.5861,0.6124,3.4960,114.88,1.98
12,97342,23.4422,20.2236,0.3889,2.5826,159.07,3.88
13,41480,8.2681,4.9214,0.4590,2.6334,152.99,2.67
14,85869,20.2187,16.1960,0.4999,3.2237,127.28,2.93
15,41217,8.9878,4.8668,0.5618,3.2481,124.24,2.16
16,42474,9.7891,5.1171,0.6484,3.6676,109.59,1.92
17,27121,5.9798,2.5671,0.4848,2.6477,150.03,2.37
18,96700,24.3143,20.0104,0.5243,3.4614,118.96,2.89
19,57221,13.1364,8.1383,0.6495,3.9924,102.44,1.97
20,40819,10.0404,4.7274,0.7245,4.1770,96.37,1.67
21,40733,9.2237,4.7197,0.6150,3.5368,113.68,1.98
22,57494,12.6038,8.2732,0.5611,3.4411,118.23,2.29
23,54777,12.6220,7.6728,0.6453,3.9233,103.45,1.97
24,47477,8.7636,6.0577,0.3616,2.1288,189.21,3.44
25,58718,13.6652,8.6228,0.6509,4.0104,101.54,1.98
26,29658,5.7592,2.9540,0.3969,2.1792,182.52,2.94
27,59720,12.1661,8.7989,0.4338,2.6691,152.05,2.99
28,56161,11.2493,7.9611,0.4267,2.6072,155.71,2.99
29,55261,11.0096,7.7187,0.4316,2.5989,155.58,2.98
30,33299,8.4895,3.5115,0.6983,3.8957,102.85,1.69
31,79770,18.7490,14.3094,0.5535,3.5466,115.33,2.55
32,77069,18.8926,13.4446,0.6805,4.3668,93.98,2.04
33,46672,9.6737,5.9229,0.5033,2.9674,136.50,2.46
34,67871,15.5037,10.9020,0.5842,3.6745,111.26,2.30
35,80133,17.4398,14.4620,0.3708,2.3888,171.94,3.79
36,35185,7.3454,3.7960,0.4915,2.7864,144.25,2.40
37,44175,8.8972,5.3732,0.4743,2.7770,145.29,2.57
38,41458,9.1860,4.9019,0.5817,3.3782,119.51,2.07
39,59889,14.7397,8.8090,0.7634,4.7313,86.33,1.69
40,49031,9.4581,6.3194,0.4149,2.4795,163.13,2.99
41,50848,9.9536,6.7755,0.4194,2.5088,161.11,2.99
42,71120,16.9521,11.8353,0.6445,4.0919,100.06,2.10
43,34598,7.2544,3.6985,0.4956,2.7754,143.99,2.39
44,80957,19.6109,14.6395,0.6146,3.9834,102.99,2.30
45,45562,10.0499,5.6896,0.5860,3.4429,117.42,2.11
46,43052,9.3278,5.2176,0.5553,3.2349,124.57,2.21
47,66576,15.2455,10.5682,0.5943,3.7278,109.47,2.24
48,62871,14.7733,9.6310,0.6616,4.1127,99.57,1.98
49,65226,15.2395,10.1227,0.6506,4.0871,100.06,2.03
50,64498,13.4842,9.9601,0.4508,2.8009,145.28,2.96
51,62435,14.2363,9.4890,0.6057,3.7891,107.85,2.15
52,61378,13.7817,9.1969,0.5920,3.6698,111.68,2.20
53,32596,7.2787,3.3432,0.5495,3.0738,130.10,2.13
54,36826,8.6743,4.0575,0.6404,3.6228,110.90,1.86
55,92944,23.0370,18.6689,0.5317,3.5092,117.21,2.78
56,66006,14.9701,10.4053,0.5843,3.6582,112.16,2.28
57,46827,9.0178,5.9214,0.4129,2.4382,165.35,2.99
