prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57721,11.7249,8.1316,0.4703,2.8718,142.49,2.72
1,81680,18.1025,14.6109,0.4242,2.7286,146.64,3.35
2,76786,18.9751,13.3336,0.7052,4.5066,90.75,1.97
3,77655,17.2054,13.5809,0.4498,2.8877,141.26,3.10
4,55756,11.3187,7.8327,0.4567,2.7709,146.87,2.80
5,29695,6.2876,2.9999,0.4732,2.5937,155.73,2.47
6,85132,20.1793,15.9506,0.5232,3.3824,121.08,2.75
7,24526,6.3279,2.2203,0.5948,3.1730,124.65,1.93
8,29086,5.4417,2.8534,0.3718,2.0034,197.82,3.16
9,86532,19.5170,16.4822,0.3689,2.4081,168.71,3.91
10,13840,4.9855,1.0302,0.5968,3.0183,129.45,1.84
11,80176,19.3389,14.4204,0.6116,3.9463,104.10,2.30
12,21042,4.7195,1.8000,0.4414,2.2292,175.37,2.65
13,41585,8.6663,4.9049,0.5151,2.9528,136.12,2.37
14,41450,7.1635,4.8913,0.3100,1.7757,225.33,3.94
15,48659,10.3553,6.2733,0.5408,3.2238,125.43,2.30
16,37565,7.8120,4.2338,0.4942,2.7971,143.09,2.44
17,65466,14.2245,10.1336,0.5207,3.2719,125.16,2.53
18,20047,5.3599,1.6671,0.5463,2.8412,138.65,2.06
19,94565,22.7623,19.2259,0.4292,2.8472,144.78,3.46
20,78893,17.7999,14.0687,0.4643,2.9926,137.22,3.01
21,51313,9.6742,6.8728,0.3679,2.2104,182.77,3.41
22,86583,21.1192,16.4751,0.5697,3.7340,110.25,2.52
23,56364,11.2311,7.9427,0.4271,2.6124,155.70,2.99
24,24602,4.8848,2.2465,0.3772,2.0379,194.07,3.01
25,35780,6.7787,3.8694,0.4028,2.2660,175.99,2.96
26,36620,8.0779,3.9920,0.5637,3.1926,125.31,2.11
27,29041,6.1109,2.8446,0.4647,2.5321,156.75,2.50
28,91385,22.1410,18.0624,0.4923,3.2634,125.53,2.98
29,39117,8.5411,4.4719,0.5567,3.1893,125.82,2.15
30,38722,7.7645,4.3811,0.4653,2.6480,151.33,2.59
31,69757,15.1516,11.3815,0.4748,3.0027,135.81,2.84
32,86011,19.7502,16.2738,0.4288,2.7811,147.28,3.39
33,40674,9.3772,4.7062,0.6375,3.6694,109.61,1.90
34,24970,7.1245,2.2871,0.6947,3.7422,105.84,1.64
35,70548,15.2006,11.6492,0.4453,2.8265,144.17,3.03
36,75229,18.1154,12.9973,0.6416,4.1026,100.04,2.16
37,16576,4.0362,1.2949,0.4083,2.0964,186.77,2.72
38,14963,3.5229,1.1171,0.3607,1.8330,212.81,3.05
39,35737,7.3120,3.8693,0.4769,2.6846,148.72,2.50
40,58779,11.7008,8.6069,0.3975,2.4484,165.49,3.24
41,51297,11.5782,6.8801,0.6174,3.7210,108.98,2.03
42,72259,16.5889,12.0368,0.5716,3.6322,112.47,2.38
43,85377,19.5264,16.1005,0.4257,2.7339,149.45,3.41
44,34663,7.2647,3.6984,0.4954,2.7808,143.57,2.39
45,17186,6.0146,1.3780,0.6877,3.5547,110.43,1.61
46,85436,19.3897,16.0946,0.4079,2.6099,155.38,3.58
47,93044,22.0196,18.6880,0.4053,2.6690,153.68,3.66
48,37699,7.5252,4.2534,0.4495,2.5628,156.49,2.67
49,97581,24.3461,20.3494,0.4789,3.1927,128.11,3.14
50,25415,5.2912,2.3694,0.4198,2.2612,175.23,2.72
51,67355,14.4163,10.7255,0.4651,2.9429,138.72,2.86
52,81369,18.8960,14.7948,0.5080,3.2918,124.84,2.78
53,84358,19.1372,15.7443,0.4184,2.7270,150.90,3.41
54,46627,9.8919,5.9066,0.5324,3.1541,128.47,2.32
55,16312,5.9233,1.2445,0.6921,3.5890,109.43,1.59
56,26750,5.0115,2.5331,0.3537,1.9167,206.59,3.26
57,60738,12.0859,9.0420,0.3908,2.4152,168.20,3.32
58,24635,5.7517,2.2503,0.5014,2.7110,146.23,2.27
59,40965,9.1035,4.8095,0.5829,3.3751,119.24,2.07
60,47686,9.9271,6.0549,0.5145,3.0515,132.23,2.40
61,25018,6.2312,2.2932,0.5660,3.0490,130.02,2.02
62,62954,12.9263,9.6255,0.4223,2.6176,155.11,3.12
63,32532,7.9256,3.3387,0.6402,3.5793,111.62,1.84
64,56874,11.2393,8.0839,0.4066,2.5000,162.26,3.14
65,67044,14.1173,10.7063,0.4293,2.7146,150.10,3.10
