prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,41716,13.6655,7.0251,4.6913,1.6369,77.10,6.32
1,27177,8.3010,3.8790,2.9222,1.2016,115.79,7.76
2,35238,11.5747,5.5692,4.1342,1.5086,85.25,6.65
3,26966,8.7727,3.8960,3.2483,1.3136,104.99,7.21
4,22347,8.0801,3.0636,3.2731,1.4051,102.06,6.48
5,20281,7.5131,2.6846,3.1154,1.3818,106.04,6.48
6,22027,9.5777,3.0262,4.2685,1.8426,78.15,4.92
7,23977,9.0187,3.3447,3.7358,1.5646,90.24,5.89
8,23746,7.6409,3.2886,2.8650,1.2000,117.64,7.64
9,20473,7.1985,2.7302,2.8863,1.2784,114.58,7.01
10,23252,7.7464,3.2359,2.9575,1.2539,113.51,7.31
11,30625,11.0406,4.6311,4.3442,1.6701,79.88,5.82
12,20667,7.2619,2.7790,2.9007,1.2771,114.21,7.01
13,27118,8.7937,3.9194,3.2497,1.3098,105.04,7.21
14,28753,9.1509,4.2665,3.2849,1.2879,104.82,7.42
15,25070,9.1269,3.5684,3.6794,1.5209,92.11,6.10
16,37340,11.8430,6.1040,3.9875,1.4119,89.21,7.21
17,22514,8.9876,3.1088,3.8357,1.6502,87.09,5.51
18,28674,9.2982,4.2615,3.4086,1.3417,101.65,7.11
19,40412,13.8545,6.7761,4.9699,1.7062,72.33,6.10
20,43019,14.0534,7.4725,4.6552,1.5520,77.80,6.83
21,37717,11.5634,6.2077,3.7227,1.3179,95.60,7.76
22,40488,13.7104,6.7991,4.8591,1.6613,74.08,6.24
23,31926,10.7094,4.8692,3.9830,1.5048,87.67,6.48
24,34943,11.2196,5.5549,3.9033,1.4250,90.38,7.01
25,27710,9.3353,4.0330,3.5480,1.4174,96.56,6.65
26,22585,7.1599,3.1280,2.6361,1.1344,126.99,8.00
27,21604,8.7490,2.9328,3.7725,1.6516,88.03,5.45
28,21670,8.4451,2.9395,3.5693,1.5626,93.00,5.75
29,39877,15.0400,6.6511,5.8842,2.0329,61.03,5.07
30,25248,8.4022,3.5872,3.1847,1.3183,106.33,7.01
31,20868,7.2008,2.8168,2.8332,1.2536,116.79,7.11
32,23720,7.8399,3.2787,2.9939,1.2647,112.25,7.21
33,25715,9.8507,3.6673,4.0985,1.6894,82.80,5.51
34,22389,7.5120,3.0628,2.8977,1.2516,115.08,7.21
35,54460,18.0790,10.4710,5.5603,1.6628,67.30,6.83
36,38322,11.9651,6.3378,3.9249,1.3746,90.99,7.42
37,24243,7.6626,3.3682,2.8238,1.1852,119.23,7.76
38,25245,8.5356,3.5844,3.2746,1.3563,103.41,6.83
39,21993,7.8659,3.0124,3.1539,1.3709,105.49,6.56
40,21937,7.5433,3.0068,2.9458,1.2827,112.86,7.01
41,22891,8.7107,3.1454,3.6327,1.5628,92.00,5.82
42,35666,12.6354,5.6961,4.7975,1.7373,73.78,5.75
43,42169,14.5193,7.2056,5.1747,1.7380,70.01,6.02
44,63169,23.0532,13.1206,7.3942,2.0638,51.55,5.82
45,22022,7.2064,3.0188,2.7245,1.1797,122.26,7.64
46,24451,7.9116,3.4150,2.9622,1.2392,113.87,7.42
47,20521,7.6524,2.7552,3.1593,1.4070,104.55,6.32
48,28560,8.7970,4.1830,3.0934,1.2245,110.97,7.76
49,39054,12.5715,6.4846,4.2568,1.4833,84.11,6.92
50,27666,8.8431,4.0265,3.2207,1.2888,106.30,7.31
51,40241,13.0334,6.7496,4.4082,1.5164,81.48,6.83
52,20170,7.3617,2.6703,3.0173,1.3546,109.14,6.56
53,27177,8.6286,3.9178,3.1414,1.2670,108.69,7.42
54,22584,7.3954,3.1174,2.7873,1.2034,119.68,7.53
55,25706,9.3773,3.6657,3.7834,1.5615,89.64,5.95
56,30533,10.0740,4.6076,3.7029,1.4293,93.66,6.74
57,25697,8.0568,3.6651,2.9124,1.1974,116.58,7.76
58,29727,10.2852,4.4543,3.9351,1.5357,87.81,6.24
59,24235,8.0965,3.3670,3.1115,1.3082,108.26,7.01
60,33693,11.0585,5.3022,3.9511,1.4644,88.95,6.74
61,37848,12.4407,6.2095,4.3383,1.5292,82.17,6.65
