prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,9.0920,2.8745,4.0437,1.8300,82.35,4.83
1,67610,22.5934,14.3720,6.0826,1.6530,62.28,7.42
2,51583,18.2623,9.6513,6.2410,1.9095,59.46,5.89
3,45940,16.0886,8.2124,5.6273,1.8234,65.01,5.95
4,76082,27.6584,17.6474,7.7021,1.9556,51.14,6.65
5,13949,5.2929,1.7136,2.2128,1.1037,143.05,7.64
6,48737,15.5278,8.8761,4.7898,1.5061,76.97,7.31
7,52305,18.4048,9.8520,6.2264,1.8928,59.86,5.95
8,46596,19.1038,8.3779,7.6926,2.4739,47.74,4.38
9,42433,17.4128,7.3352,7.1470,2.3976,50.81,4.38
10,55705,18.5708,10.8210,5.6827,1.6784,66.07,6.83
11,39428,12.9726,6.5379,4.5145,1.5671,79.57,6.56
12,97202,36.7035,25.9216,8.4124,1.9205,47.49,7.53
13,41364,13.5669,7.0406,4.6020,1.5675,78.45,6.65
14,84224,30.2397,20.5671,7.4376,1.8218,52.93,7.42
15,41085,13.2187,6.9635,4.4109,1.5012,81.85,6.92
16,42399,17.1064,7.3171,6.9263,2.3290,52.30,4.49
17,26995,9.1250,3.9008,3.4768,1.4119,98.01,6.65
18,96626,36.3217,25.6397,8.3149,1.9142,47.93,7.53
19,55843,18.3765,10.8446,5.5323,1.6328,67.98,7.01
20,40761,13.1397,6.8350,4.4331,1.5181,81.21,6.83
21,40531,12.6655,6.8010,4.1168,1.4157,87.31,7.31
22,57284,20.7346,11.3046,6.9980,2.0504,54.29,5.63
23,54495,17.8590,10.4772,5.3861,1.6165,69.36,7.01
24,45924,15.5060,8.2020,5.2144,1.7002,70.10,6.32
25,58514,20.9287,11.6818,6.8205,1.9741,55.37,5.89
26,29550,9.9549,4.4416,3.7204,1.4568,92.87,6.56
27,59277,19.9526,11.8981,5.9469,1.7125,63.57,6.83
28,56028,18.3963,10.9555,5.4551,1.6125,68.81,7.11
29,55048,17.9163,10.6583,5.3064,1.5817,70.54,7.21
30,33241,13.8893,5.1966,5.9608,2.2200,58.90,4.41
31,79678,28.4518,18.8078,7.3666,1.8507,53.09,7.11
32,76968,26.8853,17.7641,6.9476,1.7743,56.13,7.31
33,45169,14.9515,7.9766,4.9820,1.6221,73.41,6.56
34,67357,23.0664,14.4723,6.4451,1.7505,59.58,7.01
35,80060,28.3739,18.9851,7.1664,1.8054,54.53,7.31
36,34953,10.9691,5.5618,3.7280,1.3618,94.69,7.31
37,44079,14.2564,7.6655,4.6806,1.5526,77.68,6.83
38,41330,13.5396,7.0234,4.5924,1.5630,78.57,6.65
39,59768,20.5471,12.0259,6.2978,1.8014,60.09,6.48
40,48911,16.0429,8.8979,5.1536,1.6175,71.66,6.74
41,50562,16.8438,9.4462,5.3598,1.6589,69.21,6.65
42,68646,23.1414,14.8572,6.2106,1.6712,61.80,7.42
43,34493,11.4269,5.4542,4.1129,1.5063,85.72,6.56
44,80249,28.1244,18.9896,6.9888,1.7577,56.05,7.42
45,45433,14.7039,8.0320,4.7597,1.5545,76.74,6.83
46,42940,14.1046,7.3812,4.7544,1.5949,76.15,6.56
47,66384,22.7692,14.1997,6.4104,1.7565,59.75,6.92
48,62497,21.1477,12.9202,6.1209,1.7172,62.23,6.92
49,64922,21.5723,13.6567,5.9125,1.6290,64.68,7.42
50,64331,22.2545,13.4920,6.5415,1.8102,58.43,6.65
51,60831,20.4620,12.3770,5.9916,1.7044,63.33,6.92
52,61279,20.6995,12.4488,6.1208,1.7333,62.06,6.83
53,32350,13.5629,4.9682,5.8750,2.2087,59.57,4.41
54,36657,12.0595,5.8872,4.2852,1.5332,82.95,6.56
55,91417,34.2248,23.4575,8.3305,1.9787,47.55,7.11
56,65436,24.1550,13.7724,7.7627,2.1348,49.31,5.69
57,46663,14.8756,8.3816,4.6517,1.4953,78.84,7.21
58,53750,17.4344,10.3128,5.1966,1.5693,71.89,7.21
59,59395,20.3875,11.9980,6.1986,1.7838,61.03,6.56
60,40279,13.2035,6.7656,4.5315,1.5540,79.53,6.65
61,90110,32.9477,22.9380,7.7528,1.8522,51.15,7.53
62,73819,26.0526,16.7063,7.0889,1.8413,54.78,6.92
63,79005,28.0371,18.5799,7.2167,1.8195,54.14,7.21
64,42322,17.2845,7.3183,7.0604,2.3681,51.37,4.41
65,53902,19.1613,10.3224,6.4512,1.9426,57.93,5.82
66,61769,21.1929,12.6936,6.3002,1.7893,60.24,6.65
67,64889,22.0106,13.6571,6.2399,1.7200,61.29,7.01
68,63342,21.8241,13.1558,6.4540,1.8039,59.07,6.65
69,39113,12.6625,6.4986,4.3156,1.5012,83.06,6.83
70,49547,17.3843,9.1327,5.9559,1.8670,62.05,5.89
