prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,18.7809,10.9532,5.7136,1.6815,65.41,6.83
1,81646,30.5259,19.8247,7.9577,1.9578,47.85,7.01
2,76090,28.0552,17.9730,7.6577,1.9427,50.78,6.83
3,77617,28.4607,18.3550,7.6430,1.9283,50.66,6.92
4,55747,25.5333,11.0164,10.6438,3.1180,35.27,3.74
5,29498,10.0465,4.4621,3.7603,1.4580,91.68,6.65
6,85073,32.0523,21.2102,8.2941,1.9999,47.22,6.92
7,24370,8.3784,3.4084,3.2727,1.3629,103.02,6.83
8,29084,9.8193,4.3588,3.6265,1.4103,93.76,6.83
9,86449,33.0096,21.7252,8.6279,2.0736,45.37,6.74
10,13820,5.7870,1.7095,2.5181,1.2572,125.57,6.74
11,80111,30.0769,19.2173,8.2374,2.0510,47.15,6.56
12,21014,7.6435,2.8511,3.1075,1.3540,106.84,6.65
13,40539,13.3750,6.8377,4.5880,1.5600,78.32,6.74
14,41253,13.4830,7.0606,4.5238,1.5265,79.72,6.92
15,47961,15.8327,8.7534,5.0684,1.5959,72.32,6.92
16,37493,12.2323,6.1517,4.2208,1.4836,84.20,6.92
17,65396,23.7051,13.9040,7.2865,1.9784,52.24,6.24
18,19849,7.0881,2.6327,2.8655,1.2756,114.92,7.01
19,94472,37.0356,25.0697,9.1911,2.1296,42.79,6.83
20,78236,29.2296,18.4990,8.0579,2.0336,47.71,6.56
21,51271,17.0255,9.7545,5.2365,1.5941,70.42,7.11
22,86529,35.3508,21.8029,10.5332,2.5422,37.79,5.39
23,56310,19.0353,10.9197,5.9500,1.7573,63.09,6.56
24,24586,8.1436,3.4553,3.0926,1.2925,109.21,7.11
25,35659,11.4061,5.6565,3.9674,1.4430,89.05,6.92
26,36601,11.7447,5.8223,4.1020,1.4744,86.45,6.83
27,27547,9.4154,3.9850,3.6313,1.4545,94.29,6.48
28,90282,33.8524,22.9672,8.1900,1.9382,47.04,7.31
29,38905,14.4053,6.5172,5.5073,1.9084,64.91,5.45
30,38665,13.1012,6.4185,4.6470,1.6163,76.62,6.40
31,68405,24.2705,15.0082,6.8931,1.8456,55.28,6.83
32,83924,31.3734,20.6909,8.1349,1.9866,47.93,6.92
33,40640,13.3201,6.8584,4.5304,1.5400,79.24,6.83
34,24760,8.3236,3.5089,3.1832,1.3075,106.34,7.11
35,70404,24.9303,15.7559,6.8452,1.8099,55.81,7.01
36,74909,29.2715,17.2972,9.0501,2.3188,42.76,5.63
37,16245,6.0576,2.0307,2.5308,1.2037,127.14,7.21
38,14941,6.0052,1.8267,2.5974,1.2712,122.53,6.74
39,35576,11.6750,5.7139,4.0947,1.4640,85.89,6.92
40,58665,20.0974,11.8506,6.0604,1.7335,62.08,6.83
41,51288,17.1247,9.7455,5.3416,1.6319,69.38,6.92
42,70925,25.4398,15.8414,7.1312,1.8749,53.34,6.83
43,83377,31.1628,20.6437,8.0392,1.9789,48.67,6.92
44,34600,11.3171,5.5009,4.0090,1.4514,88.03,6.92
45,17068,6.5809,2.2123,2.7601,1.2926,117.20,6.74
46,82662,31.2935,20.2614,8.3293,2.0500,46.41,6.65
47,90967,35.1821,23.6483,8.7586,2.0624,44.39,6.92
48,36310,14.4802,5.8682,5.9712,2.1264,59.45,4.79
49,97404,38.8705,26.2932,9.6687,2.2149,40.71,6.65
50,25417,9.1792,3.6560,3.6674,1.4971,92.70,6.24
51,67302,23.5769,14.5722,6.6886,1.8064,56.86,6.92
52,80841,31.9733,19.4468,9.5040,2.3734,40.87,5.69
53,84104,31.1868,20.7773,7.8821,1.9280,49.19,7.11
54,46064,16.2983,8.2869,5.7152,1.8324,63.91,5.95
55,16285,6.4228,2.0492,2.7467,1.3039,117.07,6.65
56,26728,8.9583,3.9091,3.3620,1.3478,101.40,7.01
57,60666,20.8111,12.3774,6.1631,1.7363,60.71,6.92
58,24235,8.2074,3.4125,3.1669,1.3087,106.78,7.11
59,40886,13.4954,6.9536,4.6072,1.5452,78.27,6.83
60,47369,15.9535,8.6962,5.2006,1.6391,70.55,6.74
61,24987,8.4553,3.5753,3.2357,1.3258,104.92,7.01
62,62887,21.9699,13.2351,6.4718,1.8024,58.62,6.74
63,32507,10.5613,4.9957,3.8034,1.4095,91.99,7.01
64,55848,18.8998,10.9135,5.8096,1.7009,64.11,6.83
65,67033,23.4149,14.5935,6.5736,1.7754,58.04,7.01
