prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,42051,8.4256,4.9178,0.7024,2.5753,145.96,2.77
1,28143,4.9586,2.6503,0.4236,1.7034,221.81,3.68
2,36539,6.7032,3.9182,0.5236,2.0463,183.84,3.28
3,29039,5.6286,2.8195,0.5190,2.0737,182.27,3.05
4,22714,4.2934,1.9909,0.4154,1.6979,222.36,3.53
5,21812,5.2633,1.8692,0.6107,2.5180,150.85,2.38
6,22646,5.2305,1.9884,0.5853,2.3927,157.92,2.51
7,25024,4.3854,2.2804,0.3826,1.5508,243.24,3.97
8,24150,5.0340,2.1616,0.5200,2.1209,178.25,2.89
9,21045,4.2488,1.8023,0.4421,1.8095,209.28,3.28
10,23442,5.5714,2.0859,0.6353,2.5715,146.90,2.36
11,31600,6.6975,3.2290,0.6487,2.5535,147.61,2.55
12,22289,4.8137,1.9479,0.5194,2.1218,178.65,2.84
13,27965,5.5227,2.7016,0.5200,2.0750,181.48,3.05
14,29778,5.4726,2.9741,0.4617,1.8391,204.92,3.51
15,25868,6.0092,2.4082,0.6627,2.6648,142.19,2.33
16,38167,6.8790,4.2978,0.4894,1.8934,198.36,3.63
17,23130,5.5397,2.0350,0.6362,2.5876,146.09,2.34
18,30060,5.5955,3.0294,0.4739,1.8897,199.53,3.41
19,43636,8.3107,5.2653,0.5847,2.2429,168.12,3.20
20,45405,8.4302,5.6587,0.5348,2.0268,184.74,3.58
21,40309,8.3343,4.6876,0.6930,2.6853,140.40,2.61
22,44438,8.1237,5.4568,0.5135,1.9511,191.99,3.68
23,34797,6.4746,3.7593,0.5098,2.0048,188.57,3.35
24,35288,7.0788,3.8026,0.6165,2.4190,156.28,2.78
25,28694,5.6265,2.8145,0.5209,2.0809,182.08,3.05
26,23357,4.4153,2.0800,0.4249,1.7267,219.24,3.51
27,22576,4.5602,2.0010,0.4635,1.8949,200.07,3.18
28,22524,5.0133,1.9882,0.5447,2.2360,169.25,2.69
29,42018,7.8210,5.0207,0.5377,2.0638,182.84,3.41
30,25980,4.8414,2.4464,0.4382,1.7648,213.77,3.51
31,22679,4.4706,2.0067,0.4460,1.8250,207.80,3.30
32,24753,5.2678,2.2594,0.5449,2.2240,170.19,2.77
33,27006,5.6392,2.5528,0.5637,2.2841,165.89,2.75
34,23108,5.0213,2.0323,0.5431,2.2150,171.30,2.72
35,56607,11.2545,7.9977,0.6412,2.3815,157.21,3.30
36,40046,8.0410,4.6022,0.6517,2.5319,148.89,2.75
37,26106,5.5320,2.4544,0.5627,2.2753,166.36,2.72
38,26253,5.5672,2.4655,0.5671,2.2875,165.07,2.71
39,23403,5.2256,2.0826,0.5715,2.3267,162.90,2.60
40,23376,5.1737,2.0796,0.5598,2.2809,165.48,2.65
41,24529,5.3032,2.2213,0.5588,2.2836,166.13,2.69
42,37441,6.6221,4.1837,0.4590,1.8001,209.97,3.79
43,45206,9.3589,5.6078,0.7244,2.7607,136.49,2.61
44,65305,13.7235,10.1467,0.7209,2.6166,143.15,3.18
45,22570,4.9089,2.0004,0.5248,2.1529,176.03,2.80
46,25200,4.7945,2.3196,0.4510,1.8309,206.88,3.37
47,20851,5.1695,1.7754,0.6102,2.5078,150.85,2.36
48,29200,5.6561,2.8826,0.5112,2.0520,184.60,3.10
49,42131,8.4817,5.0230,0.6592,2.5461,148.03,2.77
50,28230,5.9811,2.7231,0.5979,2.4054,157.15,2.63
51,41379,7.7953,4.8760,0.5536,2.1421,175.38,3.28
52,20878,4.1700,1.7798,0.4304,1.7695,214.21,3.35
53,29470,5.9228,2.9413,0.5490,2.2066,171.72,2.91
54,23393,4.9075,2.0822,0.5126,2.0909,181.22,2.89
55,26477,5.8448,2.4780,0.6156,2.4920,152.07,2.50
56,31496,5.8597,3.2185,0.4901,1.9506,193.85,3.32
57,27562,5.7321,2.6280,0.5675,2.2888,164.94,2.75
58,31997,6.1225,3.2586,0.5291,2.1089,178.78,3.10
59,24533,4.8641,2.2222,0.4787,1.9589,193.80,3.14
60,36212,7.1352,3.9664,0.5927,2.3303,161.58,2.89
61,40316,7.4748,4.6841,0.5267,2.0523,183.47,3.41
62,28536,5.0654,2.7403,0.4282,1.7179,220.21,3.68
63,21657,4.2800,1.8749,0.4305,1.7841,212.88,3.37
64,25699,5.4375,2.3967,0.5540,2.2448,168.38,2.75
65,23642,5.4407,2.0965,0.6069,2.4759,153.10,2.45
66,25908,5.5684,2.4042,0.5767,2.3323,161.81,2.65
67,22674,4.4616,2.0091,0.4422,1.8131,208.77,3.32
68,39651,7.9342,4.5729,0.6362,2.4725,152.32,2.80
69,23038,4.7848,2.0299,0.4993,2.0398,185.85,2.96
70,30252,6.0804,3.0402,0.5588,2.2417,168.41,2.88
71,26530,5.4646,2.4876,0.5448,2.2036,171.99,2.83
72,36123,7.1238,3.9185,0.6008,2.3583,159.73,2.86
73,34679,6.8678,3.7040,0.5917,2.3374,161.83,2.86
74,27973,5.1300,2.7038,0.4442,1.7881,211.03,3.53
75,29627,5.7968,2.9519,0.5209,2.0990,179.97,3.07
76,25712,4.9776,2.3982,0.4717,1.9076,198.49,3.24
77,22819,5.1097,2.0156,0.5585,2.2858,165.48,2.64
78,38204,7.7409,4.2970,0.6478,2.5354,148.67,2.71
79,22789,5.0044,2.0152,0.5410,2.2134,171.29,2.72
80,34439,7.1159,3.6868,0.6415,2.5304,149.31,2.63
81,38947,8.0968,4.4692,0.6861,2.6771,141.14,2.57
82,22143,4.5350,1.9335,0.4678,1.9283,196.82,3.12
83,29357,6.3804,2.9339,0.6344,2.5508,148.56,2.51
84,25957,5.1902,2.4448,0.5011,2.0304,186.50,3.05
85,23195,5.1980,2.0696,0.5652,2.3115,163.66,2.61
86,24594,4.9586,2.2547,0.4904,2.0067,189.36,3.07
87,27922,5.6221,2.6648,0.5413,2.1812,173.13,2.89
88,39718,7.3490,4.5802,0.5263,2.0384,184.92,3.39
89,27513,5.6932,2.6286,0.5595,2.2641,167.07,2.78
90,22937,4.8802,2.0237,0.5151,2.1086,179.24,2.86
91,20965,4.9945,1.7941,0.5761,2.3709,159.98,2.50
92,26475,5.0490,2.4813,0.4689,1.9001,199.40,3.28
93,27565,4.9964,2.6300,0.4330,1.7492,216.37,3.61
94,28175,6.0475,2.7195,0.6097,2.4564,153.85,2.57
95,21948,4.9323,1.9241,0.5400,2.2310,170.20,2.69
96,29374,6.3915,2.9352,0.6343,2.5597,148.13,2.51
97,28355,5.0584,2.7283,0.4270,1.7162,219.73,3.68
98,21630,4.1541,1.8746,0.4087,1.6894,224.62,3.56
99,36231,7.0007,3.9735,0.5663,2.2276,169.13,3.03
100,31612,5.9339,3.2285,0.5002,1.9907,189.25,3.26
101,28494,5.8572,2.7380,0.5726,2.2998,164.14,2.75
102,22697,5.1025,2.0088,0.5558,2.2844,165.49,2.64
103,23733,4.5755,2.1105,0.4454,1.8173,207.71,3.35
