prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21420,6.3729,1.8547,0.8168,3.3872,113.32,1.77
1,68195,16.0509,10.6078,1.0825,3.9269,94.06,2.15
2,51795,11.7688,6.8419,0.9571,3.6007,103.92,2.11
3,46064,9.0696,5.7446,0.6378,2.4353,153.99,2.99
4,76314,18.0506,13.1888,0.9930,3.5009,105.31,2.55
5,14066,5.1209,1.0455,0.7148,3.0198,125.63,1.86
6,49083,11.4916,6.3178,1.0066,3.7927,98.96,1.97
7,52468,10.5772,7.0655,0.6892,2.5624,145.80,2.98
8,46672,11.7551,5.9164,1.1317,4.2954,87.69,1.71
9,42512,10.6538,5.1107,1.0635,4.0754,92.37,1.74
10,55832,11.3947,7.8399,0.7066,2.6032,144.03,2.99
11,39747,9.3603,4.5813,0.9091,3.5082,107.14,1.98
12,97342,23.7662,20.1801,0.7595,2.5921,142.77,3.88
13,41480,8.4905,4.9084,0.6856,2.6369,142.93,2.67
14,85869,20.6125,16.1394,0.9267,3.2349,114.46,2.93
15,41217,9.2730,4.8530,0.8420,3.2571,115.84,2.16
16,42474,10.1081,5.1025,0.9597,3.6787,102.29,1.92
17,27121,6.1657,2.5612,0.6559,2.6634,142.04,2.37
18,96700,24.7796,19.9472,1.0114,3.4779,105.95,2.89
19,57221,13.5783,8.1199,1.0813,4.0099,93.80,1.97
20,40819,10.4263,4.7202,1.0846,4.1990,89.73,1.67
21,40733,9.5401,4.7131,0.9140,3.5523,106.07,1.98
22,57494,13.0053,8.2633,0.9381,3.4730,107.97,2.28
23,54777,13.0384,7.6637,1.0567,3.9402,95.26,1.97
24,47477,8.9689,6.0466,0.5619,2.1384,175.21,3.44
25,58718,14.1191,8.6073,1.0903,4.0341,92.89,1.98
26,29658,5.9215,2.9485,0.5439,2.1942,172.22,2.94
27,59720,12.4715,8.7879,0.7272,2.6864,138.99,2.99
28,56161,11.5273,7.9481,0.7023,2.6200,143.05,2.99
29,55261,11.2907,7.7079,0.7041,2.6137,142.90,2.98
30,33299,8.6257,3.5046,0.9533,3.7868,99.98,1.75
31,79770,19.2069,14.2825,1.0142,3.5688,103.97,2.55
32,77069,19.4262,13.4271,1.2272,4.3717,85.35,2.05
33,46672,9.9578,5.9139,0.7806,2.9796,126.61,2.46
34,67871,15.9499,10.8841,1.0204,3.6950,101.07,2.30
35,80133,17.7553,14.4470,0.6810,2.4042,154.76,3.79
36,35185,7.5813,3.7906,0.7071,2.8030,135.07,2.40
37,44175,9.1981,5.3699,0.7298,2.8106,133.75,2.56
38,41458,9.5570,4.8998,0.8845,3.4312,109.94,2.06
39,59889,15.2891,8.8042,1.2853,4.7492,78.95,1.70
40,49031,9.7213,6.3215,0.6553,2.4940,150.60,2.99
41,50848,10.2295,6.7779,0.6683,2.5275,148.34,2.99
42,71120,17.4784,11.8326,1.1412,4.1170,90.69,2.10
43,34598,7.4971,3.6983,0.7078,2.7966,134.78,2.39
44,80957,20.1452,14.6404,1.1310,4.0019,93.01,2.30
45,45562,10.3871,5.6890,0.8986,3.4609,108.98,2.11
46,43052,9.6320,5.2191,0.8365,3.2515,116.02,2.21
47,66576,15.7175,10.5691,1.0333,3.7529,99.45,2.24
48,62871,15.2725,9.6391,1.1226,4.1382,90.89,1.98
49,65226,15.7147,10.1312,1.1181,4.0777,91.70,2.05
50,64498,13.8295,9.9695,0.7671,2.8210,132.64,2.96
51,62435,14.7077,9.4980,1.0353,3.8149,98.28,2.15
52,61378,14.2383,9.2043,1.0025,3.6950,101.71,2.20
53,32596,7.5571,3.3491,0.7783,3.1112,121.67,2.12
54,36826,9.0164,4.0613,0.9298,3.6604,103.33,1.86
55,92944,23.5752,18.6826,1.0216,3.5267,104.65,2.78
56,66006,15.4314,10.4177,1.0099,3.6801,102.12,2.28
57,46827,9.2740,5.9287,0.6402,2.4542,153.05,2.99
58,54445,12.7528,7.5653,1.0155,3.8067,98.70,2.04
59,60407,19.9176,8.9399,2.1803,8.0632,46.64,1.00
60,40422,6.6385,4.6928,0.3667,1.4294,263.15,4.92
61,90187,22.0761,17.7274,0.9061,3.1551,117.74,3.07
62,74119,17.9156,12.6516,1.0750,3.8492,97.26,2.29
63,79112,18.5436,14.1255,0.9086,3.2266,115.89,2.81
64,42379,10.7441,5.1063,1.0734,4.1538,90.82,1.71
65,54248,12.8809,7.5386,1.0480,3.9313,95.84,1.98
66,62051,15.1038,9.3833,1.1352,4.1940,89.50,1.95
67,65021,15.4388,10.1070,1.0684,3.9044,96.03,2.14
68,64053,13.6381,9.8395,0.7580,2.7738,134.79,2.99
69,39336,9.5474,4.4970,0.9548,3.7143,101.38,1.87
70,49711,12.2389,6.5343,1.1066,4.1838,89.75,1.80
71,16388,4.3954,1.2959,0.5457,2.3008,165.19,2.50
72,58632,12.2596,8.5240,0.7371,2.7259,137.06,2.93
73,74986,18.2803,12.8875,1.0950,3.9301,94.94,2.27
74,42150,8.2888,5.0275,0.6213,2.3933,156.99,2.96
75,47019,9.3279,5.9484,0.6462,2.4725,151.50,2.98
76,60640,14.0777,8.9731,1.0117,3.7295,100.30,2.17
77,52844,12.2450,7.1884,0.9957,3.7136,101.25,2.06
