prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57721,12.0641,8.1550,0.7751,2.8788,130.97,2.72
1,81680,18.5075,14.6507,0.7838,2.7366,132.75,3.35
2,76786,19.6229,13.3681,1.2983,4.5312,81.86,1.97
3,77655,17.6060,13.6023,0.8297,2.8962,127.88,3.10
4,55756,11.6448,7.8409,0.7610,2.7856,134.60,2.80
5,29695,6.4884,2.9547,0.6542,2.6076,144.89,2.47
6,85132,20.6916,15.9780,0.9868,3.3983,108.62,2.75
7,24526,6.5403,2.2210,0.7858,3.1927,118.54,1.93
8,29086,5.5969,2.8553,0.5090,2.0162,186.75,3.16
9,86532,19.8944,16.5173,0.6994,2.4175,151.61,3.91
10,13840,5.1285,1.0312,0.7198,3.0377,124.96,1.84
11,80176,19.9175,14.4564,1.1313,3.9591,93.75,2.30
12,21042,4.8295,1.8025,0.5450,2.2360,169.15,2.65
13,41585,8.9434,4.9151,0.7722,2.9642,127.10,2.37
14,41450,7.3285,4.8986,0.4638,1.7840,210.70,3.94
15,48659,10.6742,6.2827,0.8533,3.2209,116.59,2.31
16,37565,8.0531,4.2406,0.7178,2.8067,134.30,2.44
17,65466,14.6850,10.1502,0.9137,3.3152,112.90,2.51
18,20047,5.5173,1.6700,0.6928,2.8510,133.08,2.06
19,94565,23.2277,19.2659,0.8364,2.8563,129.23,3.46
20,78893,18.2427,14.0938,0.8516,3.0013,123.41,3.01
21,51313,9.9259,6.8858,0.5925,2.2189,168.41,3.41
22,86583,21.6812,16.5212,1.0787,3.7455,99.22,2.52
23,56364,11.5349,7.9651,0.7077,2.6218,143.43,2.99
24,24602,4.9953,2.2508,0.4989,2.0294,186.56,3.03
25,35780,6.9484,3.8752,0.5748,2.2587,166.60,2.98
26,36620,8.3039,3.9977,0.8137,3.1710,118.90,2.12
27,29041,6.2832,2.8492,0.6329,2.5366,149.10,2.50
28,91385,22.6289,18.0977,0.9442,3.2712,112.99,2.98
29,39117,8.8058,4.4762,0.8195,3.1915,118.26,2.15
30,38722,8.0014,4.3851,0.6845,2.6652,141.58,2.57
31,69757,15.5216,11.3888,0.8346,3.0065,123.89,2.84
32,86011,20.1410,16.2986,0.7982,2.7901,133.25,3.39
33,40674,9.6931,4.7033,0.9477,3.6799,102.61,1.90
34,24970,7.3476,2.2871,0.9208,3.7458,101.18,1.64
35,70548,15.5594,11.6525,0.7892,2.8349,131.05,3.03
36,75229,18.6304,13.0060,1.1499,4.1148,91.03,2.16
37,16576,4.1441,1.2949,0.5029,2.1112,179.70,2.71
38,14963,3.5733,1.1158,0.4326,1.8161,208.34,3.08
39,35737,7.5222,3.8653,0.6846,2.6915,140.01,2.50
40,58779,11.9696,8.6010,0.6629,2.4540,151.99,3.24
41,51297,11.9502,6.8801,0.9876,3.7268,100.99,2.03
42,72259,17.0051,12.0355,1.0108,3.6230,103.03,2.39
43,85377,19.8867,16.1043,0.7860,2.7416,135.36,3.41
44,34663,7.4745,3.6959,0.7045,2.7858,135.50,2.39
45,17186,6.1729,1.3778,0.8503,3.5555,106.78,1.61
46,85436,19.7269,16.0890,0.7519,2.6200,140.74,3.58
47,93044,22.3864,18.6725,0.7753,2.6765,137.86,3.66
48,37699,7.7123,4.2464,0.6517,2.5548,147.73,2.68
49,97581,24.7874,20.3382,0.9330,3.2055,115.08,3.14
50,25415,5.4104,2.3679,0.5531,2.2492,168.28,2.74
51,67355,14.7675,10.7156,0.8128,2.9506,126.36,2.86
52,81369,19.3188,14.7873,0.9353,3.3004,112.99,2.78
53,84358,19.5034,15.7366,0.7810,2.7384,135.93,3.41
54,46627,10.1820,5.8979,0.8243,3.1528,119.51,2.32
55,16312,6.0794,1.2434,0.8540,3.5871,105.87,1.59
56,26750,5.1130,2.5333,0.4683,1.9066,198.48,3.28
57,60738,12.3859,9.0346,0.6655,2.4375,152.78,3.30
58,24635,5.9074,2.2473,0.6635,2.7092,139.89,2.27
59,40965,9.3863,4.8020,0.8683,3.3778,111.69,2.07
60,47686,10.1908,6.0513,0.7999,3.0367,123.69,2.42
61,25018,6.4164,2.2891,0.7498,3.0529,124.05,2.02
62,62954,13.2148,9.6221,0.7133,2.6233,142.51,3.12
63,32532,8.1953,3.3339,0.9016,3.5928,105.32,1.83
64,56874,11.4993,8.0759,0.6719,2.5050,149.56,3.14
65,67044,14.4243,10.6911,0.7446,2.7169,137.15,3.10
