prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,3.3960,0.9579,1.1033,1.0673,210.00,4.79
1,67610,8.6577,6.0706,1.1573,1.1322,197.91,6.56
2,51583,6.5976,3.8547,1.2054,1.2272,186.67,5.39
3,45940,5.7447,3.1709,1.1104,1.1287,198.93,5.57
4,76082,10.6392,7.5383,1.4155,1.3525,165.11,5.82
5,13949,2.1690,0.5209,0.7560,0.6941,310.66,6.83
6,48737,5.7159,3.4784,0.9763,0.9956,228.83,6.48
7,52305,6.6237,3.9448,1.1834,1.2077,191.12,5.51
8,46596,5.8230,3.2486,1.1141,1.1524,198.88,5.57
9,42433,5.9839,2.8009,1.4005,1.4191,160.86,4.38
10,55705,6.9278,4.3852,1.1056,1.1485,201.37,5.95
11,39428,4.7539,2.4649,1.0177,1.0081,223.67,5.95
12,97202,14.5405,11.6091,1.2474,1.3366,174.66,6.65
13,41364,4.9806,2.6885,1.0132,1.0090,223.38,6.02
14,84224,11.8807,9.0320,1.2731,1.2519,179.73,6.56
15,41085,4.8503,2.6765,0.9767,0.9703,235.53,6.24
16,42399,6.5303,2.8138,1.6401,1.6612,137.76,3.74
17,26995,3.4537,1.3707,0.9422,0.9007,245.80,5.95
18,96626,14.4556,11.4942,1.2991,1.3180,172.89,6.65
19,55843,6.8317,4.3993,1.0618,1.0962,210.49,6.24
20,40761,4.8288,2.6049,0.9891,0.9812,230.23,6.17
21,40531,4.6918,2.5746,0.9407,0.9312,241.83,6.48
22,57284,7.3325,4.5922,1.1858,1.2354,186.83,5.57
23,54495,6.5737,4.2597,1.0109,1.0395,221.26,6.48
24,45924,5.6902,3.1938,1.1026,1.1201,205.09,5.63
25,58514,7.7366,4.8135,1.2680,1.3231,175.15,5.22
26,29550,3.6960,1.5687,0.9509,0.9296,240.68,5.95
27,59277,7.4151,4.8853,1.0891,1.1545,202.38,6.10
28,56028,6.8939,4.4247,1.0939,1.0826,207.36,6.32
29,55048,6.6402,4.3052,1.0127,1.0540,219.27,6.48
30,33241,4.7850,1.8853,1.2942,1.2755,176.57,4.41
31,79678,10.8685,8.1346,1.2456,1.1956,187.28,6.65
32,76968,12.2552,7.6732,2.0954,1.9987,111.74,3.94
33,45169,5.4438,3.0756,1.0385,1.0525,216.20,5.95
34,67357,9.0166,6.0671,1.3732,1.2561,173.59,5.89
35,80060,12.7762,8.1419,2.1045,2.0349,110.48,3.94
36,34953,4.2781,2.0530,0.9848,0.9844,230.11,5.89
37,44079,6.5508,2.9527,1.5895,1.6078,142.30,3.88
38,41330,4.8003,2.6787,0.9421,0.9369,241.33,6.48
39,59768,8.4686,4.9395,1.5206,1.6087,145.08,4.38
40,48911,5.8555,3.5079,1.0310,1.0466,218.10,6.17
41,50562,6.1765,3.7236,1.0780,1.0938,208.74,6.02
42,68646,8.8294,6.2478,1.1693,1.1360,198.32,6.56
43,34493,4.1969,2.0052,0.9698,0.9698,233.60,5.95
44,80249,11.0100,8.2204,1.2653,1.2266,183.54,6.56
45,45433,5.4521,3.1093,1.0275,1.0426,218.55,6.02
46,42940,5.1908,2.8343,1.0347,1.0436,217.28,5.95
47,66384,8.6964,5.9093,1.2846,1.1993,183.70,6.10
48,62497,8.2843,5.3066,1.3712,1.2921,171.94,5.51
49,64922,8.2783,5.6566,1.2245,1.1069,195.30,6.56
50,64331,8.5093,5.5866,1.3719,1.2471,175.18,5.82
51,60831,7.6773,5.0816,1.1199,1.1693,197.26,6.02
52,61279,7.7397,5.1511,1.1571,1.1321,197.80,6.24
53,32350,4.6785,1.7870,1.2921,1.2693,177.07,4.41
54,36657,4.4715,2.2059,1.0236,0.9807,225.99,5.95
55,91417,13.4440,10.4477,1.3403,1.3300,170.88,6.40
56,65436,8.9789,5.7728,1.5182,1.3654,159.69,5.33
57,46663,5.4673,3.2428,0.9592,0.9898,230.16,6.48
58,53750,6.4176,4.1233,1.0109,1.0302,223.17,6.48
59,59395,7.6232,4.8710,1.2584,1.1827,186.03,5.95
60,40279,4.8184,2.5499,1.0114,0.9987,225.70,6.02
61,90110,12.9595,10.0754,1.2859,1.2758,177.52,6.65
62,73819,10.2861,7.1105,1.4763,1.3777,161.23,5.57
63,79005,11.1805,7.9785,1.4750,1.4048,159.90,5.63
64,42322,5.2888,2.7957,1.1039,1.1148,205.37,5.57
65,53902,6.9597,4.1430,1.2286,1.2546,181.77,5.33
