prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,7.3253,4.5299,1.1349,1.1897,183.16,6.02
1,81646,11.4667,8.4674,1.3294,1.3267,170.71,6.10
2,76090,10.4880,7.5098,1.3492,1.2893,171.92,6.10
3,77617,10.7608,7.7668,1.3699,1.3088,171.01,6.02
4,55747,9.7435,4.3709,2.3091,2.4032,95.30,2.84
5,29498,3.6293,1.5591,0.9257,0.9051,247.31,6.10
6,85073,12.0511,9.0894,1.2766,1.3249,172.88,6.24
7,24370,3.2707,1.1633,1.0040,0.8743,242.96,5.95
8,29084,3.6175,1.5327,0.9382,0.9029,245.60,6.02
9,86449,12.5282,9.4107,1.3986,1.3782,164.23,6.02
10,13820,2.3439,0.5218,0.8373,0.7682,281.00,6.17
11,80111,11.3195,8.2247,1.3933,1.3497,165.44,5.95
12,21014,2.9007,0.9367,0.8806,0.8473,260.69,6.02
13,40539,4.8938,2.5753,1.0349,1.0252,220.84,5.89
14,41253,4.9552,2.6825,1.0133,1.0078,225.29,6.02
15,47961,5.8093,3.3969,1.0525,1.0812,212.24,5.95
16,37493,4.7390,2.2677,1.2233,0.9883,207.17,5.95
17,65396,8.6542,5.7402,1.3702,1.2366,175.70,5.89
18,19849,2.7744,0.8601,0.8651,0.8182,267.46,6.10
19,94472,14.2846,11.0081,1.4470,1.4618,156.26,5.95
20,78236,10.9028,7.8516,1.3873,1.3255,167.80,5.95
21,51271,6.1880,3.8418,1.0282,1.0487,218.23,6.32
22,86529,12.8698,9.3853,1.5628,1.5393,146.94,5.39
23,56310,7.0666,4.4235,1.2178,1.1240,193.72,6.10
24,24586,3.2929,1.2008,1.0173,0.8560,244.73,6.10
25,35659,4.2059,2.0996,0.9323,0.9295,243.08,6.24
26,36601,4.4310,2.1889,1.0200,0.9696,228.36,6.02
27,27547,3.4127,1.4013,0.9112,0.8701,254.55,6.17
28,90282,13.1596,10.1376,1.3508,1.3425,169.43,6.32
29,38905,4.8994,2.4004,1.1120,1.0995,204.88,5.45
30,38665,4.6822,2.3895,1.0173,1.0050,223.32,5.95
31,68405,9.1231,6.2216,1.3458,1.2390,176.46,6.02
32,83924,12.0698,8.9008,1.4199,1.3840,161.57,5.89
33,40640,4.8685,2.5761,1.0249,1.0141,223.34,5.95
34,24760,3.3233,1.2060,1.0289,0.8571,241.81,6.10
35,70404,9.4922,6.5640,1.3544,1.2461,174.86,6.02
36,74909,10.8399,7.3752,1.6054,1.5065,147.78,5.12
37,16245,2.5367,0.6365,0.8658,0.7994,269.45,6.02
38,14941,2.4037,0.5703,0.8404,0.7714,279.26,6.17
39,35576,4.2708,2.1053,0.9536,0.9512,236.44,6.10
40,58665,7.3334,4.8226,1.0878,1.1362,203.92,6.10
41,51288,6.3193,3.8590,1.0799,1.0990,208.11,6.02
42,70925,9.5345,6.6713,1.3371,1.2339,178.82,6.10
43,83377,11.8821,8.8539,1.3715,1.3325,169.08,6.10
44,34600,4.1944,2.0190,0.9596,0.9601,235.36,6.02
45,17068,2.6258,0.7042,0.8680,0.8182,266.44,6.02
46,82662,11.7863,8.7325,1.3860,1.3439,167.66,6.02
47,90967,13.5305,10.3126,1.4400,1.4269,159.11,5.95
48,36310,4.5132,2.1607,1.0518,1.0242,217.64,5.69
49,97404,14.9057,11.5788,1.4552,1.4883,153.90,5.95
50,25417,3.3747,1.2495,0.9596,0.9165,240.92,5.82
51,67302,8.8824,6.0680,1.3106,1.1973,181.93,6.17
52,80841,12.5743,8.3257,1.9333,1.8746,120.51,4.30
53,84104,12.0622,9.0232,1.3734,1.3419,168.47,6.10
54,46064,5.7218,3.1963,1.1159,1.1357,202.73,5.57
55,16285,2.5349,0.6350,0.8655,0.7998,269.49,6.02
56,26728,3.4522,1.3651,0.9444,0.9008,245.32,5.95
57,60666,7.6113,5.0933,1.0914,1.1430,203.34,6.17
58,24235,3.1684,1.1430,0.9543,0.8441,252.79,6.17
59,40886,4.9187,2.6179,1.0259,1.0163,222.53,5.95
60,47369,5.6777,3.3629,1.0098,1.0413,221.18,6.17
61,24987,3.2995,1.2267,1.0165,0.8336,247.01,6.32
62,62887,8.2882,5.3961,1.4137,1.1715,177.03,6.10
63,32507,3.9186,1.8143,0.9352,0.9191,243.31,6.10
64,55848,6.8541,4.3743,1.0797,1.1080,206.47,6.17
65,67033,8.8279,6.0155,1.3119,1.1876,182.05,6.17
