prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,57158,8.9339,4.5274,2.9676,1.1534,116.19,5.95
1,81646,13.0087,8.4484,2.9349,1.2924,112.27,6.24
2,76090,12.1492,7.4961,3.0227,1.3018,110.03,6.02
3,77617,12.4503,7.7711,3.0481,1.3064,109.42,6.02
4,55747,12.7842,4.3733,5.6756,2.2002,60.87,3.10
5,29498,5.4767,1.5610,2.7548,0.9132,130.75,6.10
6,85073,13.8091,9.0824,3.0314,1.3388,108.32,6.17
7,24370,5.1127,1.1548,2.8216,0.8915,129.36,5.89
8,29084,5.5139,1.5220,2.8227,0.9207,128.26,5.95
9,86449,14.1079,9.3785,3.0270,1.3422,108.26,6.17
10,13820,4.2535,0.5185,2.7171,0.7903,137.08,6.02
11,80111,13.0249,8.2074,3.1042,1.3459,106.28,5.95
12,21014,4.6792,0.9379,2.6807,0.8341,136.85,6.17
13,40539,6.8713,2.5687,2.9783,1.0513,119.00,5.75
14,41253,6.9012,2.6816,2.9211,1.0319,121.34,5.89
15,47961,7.6837,3.3960,2.9195,1.0799,119.41,5.95
16,37493,6.3804,2.2636,2.8614,0.9882,124.37,5.95
17,65396,10.5772,5.7412,3.1996,1.2908,105.87,5.63
18,19849,4.6869,0.8658,2.7544,0.8353,133.99,6.02
19,94472,16.0106,11.0298,3.1604,1.4409,102.80,6.02
20,78236,12.8135,7.8774,3.2131,1.3694,103.73,5.75
21,51271,7.9509,3.8585,2.7775,1.0474,125.11,6.32
22,86529,14.8059,9.4007,3.4836,1.5357,94.72,5.39
23,56310,8.8303,4.4478,2.9494,1.1354,116.83,6.02
24,24586,5.0189,1.1976,2.7325,0.8623,133.99,6.10
25,35659,5.9187,2.1036,2.6622,0.9096,134.20,6.40
26,36601,6.1735,2.1926,2.7785,0.9492,128.61,6.17
27,27547,5.2023,1.4073,2.6927,0.8675,134.92,6.24
28,90282,14.9452,10.1506,3.0650,1.3742,106.79,6.17
29,38905,7.0021,2.4123,3.1793,1.1148,111.55,5.39
30,38665,6.4553,2.3946,2.8202,0.9858,126.08,6.10
31,68405,10.8103,6.2345,3.0128,1.2346,111.89,6.02
32,83924,13.7880,8.9154,3.1533,1.3664,105.08,5.95
33,40640,6.6525,2.5768,2.8347,0.9930,125.62,6.10
34,24760,5.0924,1.2044,2.7810,0.8751,131.69,6.02
35,70404,11.0295,6.5448,2.9568,1.2149,114.17,6.17
36,74909,12.7065,7.3341,3.5294,1.4738,95.30,5.22
37,16245,4.5501,0.6308,2.8359,0.8348,130.64,5.82
38,14941,4.3225,0.5665,2.7300,0.7967,136.31,6.02
39,35576,6.1642,2.0915,2.8463,0.9664,125.71,6.02
40,58665,9.0950,4.7940,2.8999,1.1217,119.04,6.17
41,51288,8.1334,3.8358,2.9235,1.0989,119.14,6.02
42,70925,11.1717,6.6233,3.0102,1.2316,112.57,6.10
43,83377,13.5895,8.8065,3.1085,1.3454,107.05,6.02
44,34600,6.0184,2.0114,2.8049,0.9519,127.78,6.10
45,17068,4.5413,0.7030,2.7662,0.8359,133.39,5.95
46,82662,13.4625,8.6738,3.1045,1.3424,106.92,6.02
47,90967,15.1692,10.2808,3.1302,1.3921,104.74,6.10
48,36310,6.3323,2.1609,2.9117,0.9926,122.74,5.89
49,97404,16.6859,11.5819,3.2302,1.4859,100.31,5.95
50,25417,5.3182,1.2518,2.8837,0.9252,125.91,5.82
51,67302,10.6895,6.0619,3.0551,1.2372,110.64,5.95
52,80841,15.0567,8.3322,4.3681,1.8841,76.14,4.27
53,84104,13.5827,9.0066,2.9602,1.2923,111.88,6.32
54,46064,7.7356,3.1838,3.1338,1.1353,112.48,5.57
55,16285,4.4512,0.6341,2.7595,0.8161,134.13,5.95
56,26728,5.3896,1.3613,2.8656,0.9178,127.10,5.89
57,60666,9.4386,5.0784,2.9147,1.1413,117.42,6.17
58,24235,4.9744,1.1387,2.7406,0.8613,133.49,6.10
59,40886,6.7986,2.6067,2.9135,1.0176,122.14,5.95
60,47369,7.3778,3.3399,2.7634,1.0155,126.80,6.32
61,24987,4.9397,1.2307,2.6503,0.8405,138.04,6.32
62,62887,9.7992,5.3700,2.9647,1.1684,115.60,6.10
63,32507,5.7268,1.8050,2.7613,0.9161,130.55,6.17
64,55848,8.7433,4.3598,2.9639,1.1343,116.80,6.02
65,67033,10.4897,6.0076,2.9859,1.1986,114.23,6.10
