prompt_idx,prompt_len,e2e,ttft,draft_time,verify_time,throughput,accept_length
0,21359,4.4130,0.9613,2.1092,1.0756,148.33,4.79
1,67610,10.8157,6.0534,3.3276,1.1369,107.51,6.56
2,51583,8.6214,3.8529,3.2574,1.2176,107.37,5.45
3,45940,7.5537,3.1699,2.9311,1.1332,116.79,5.57
4,76082,13.3176,7.5006,4.1222,1.3533,88.02,5.82
5,13949,2.6236,0.5189,1.2114,0.6963,243.26,6.83
6,48737,7.3666,3.4705,2.6269,0.9964,131.41,6.48
7,52305,8.7062,3.9209,3.2584,1.2087,106.99,5.51
8,46596,7.6538,3.2450,2.9632,1.1527,116.13,5.57
9,42433,8.0911,2.7968,3.5230,1.4173,96.71,4.38
10,55705,8.9189,4.3801,3.1186,1.1369,112.81,6.02
11,39428,6.2015,2.4658,2.4622,1.0110,137.06,5.95
12,97202,17.6928,11.6069,4.4227,1.3388,84.13,6.65
13,41364,6.4721,2.6999,2.5128,1.0096,135.73,6.02
14,84224,14.5699,9.0392,3.9740,1.2544,92.57,6.56
15,41085,6.2964,2.6776,2.4136,0.9716,141.48,6.24
16,42399,8.6468,2.8082,3.8855,1.5651,87.69,3.97
17,26995,4.4527,1.3760,1.9348,0.9066,166.41,5.95
18,96626,17.5592,11.4868,4.4027,1.3217,84.32,6.65
19,55843,8.7349,4.4012,2.9821,1.0828,118.14,6.32
20,40761,6.2747,2.6072,2.4329,0.9817,139.60,6.17
21,40531,6.0542,2.5763,2.3052,0.9328,147.22,6.48
22,57284,9.9016,4.6016,3.6741,1.3167,96.60,5.22
23,54495,8.4165,4.2444,2.8533,1.0400,122.72,6.48
24,45924,7.4971,3.1868,2.8996,1.1211,118.78,5.63
25,58514,10.2096,4.8158,3.7337,1.3257,94.92,5.22
26,29550,4.7931,1.5740,2.0439,0.9362,159.05,5.95
27,59277,9.5661,4.8949,3.2332,1.1556,109.61,6.10
28,56028,8.7856,4.4401,2.9880,1.0848,117.82,6.32
29,55048,8.5159,4.3151,2.8759,1.0546,121.88,6.48
30,33241,6.4751,1.8883,2.9654,1.2866,111.62,4.41
31,79678,13.4061,8.1606,3.7466,1.1969,97.61,6.65
32,76968,16.3591,7.7118,6.1543,2.0016,59.21,3.94
33,45169,7.0800,3.0920,2.6757,1.0411,128.38,6.02
34,67357,11.3655,6.0984,3.6997,1.2565,97.21,5.89
35,80060,17.0614,8.1837,6.3560,2.0386,57.67,3.94
36,34953,5.6082,2.0662,2.2997,0.9861,144.55,5.89
37,44079,9.0637,2.9751,4.0861,1.6080,84.09,3.88
38,41330,6.2173,2.6968,2.3357,0.9379,145.43,6.48
39,59768,11.4997,4.9604,4.5353,1.6101,78.30,4.38
40,48911,7.6238,3.5366,2.7668,1.0484,125.27,6.17
41,50562,8.0134,3.7471,2.9022,1.0935,120.01,6.02
42,68646,11.0713,6.2769,3.3692,1.1382,106.79,6.56
43,34493,5.4903,2.0086,2.2516,0.9751,147.05,5.95
44,80249,13.6015,8.2414,3.8205,1.2283,95.52,6.56
45,45433,7.1074,3.1197,2.6884,1.0434,128.40,6.02
46,42940,6.7690,2.8370,2.6123,1.0443,130.21,5.95
47,66384,10.9429,5.9163,3.5327,1.1992,101.86,6.10
48,62497,10.6592,5.3077,3.7359,1.2947,95.67,5.51
49,64922,10.2711,5.6811,3.2228,1.1070,111.55,6.56
50,64331,10.7030,5.5853,3.5673,1.2339,100.04,5.89
51,60831,9.8388,5.0953,3.2994,1.1595,107.94,6.10
52,61279,9.8758,5.1609,3.2782,1.1467,108.59,6.17
53,32350,6.3186,1.7938,2.9169,1.2788,113.15,4.41
54,36657,5.7903,2.2058,2.3446,0.9834,142.84,5.95
55,91417,16.4699,10.4489,4.3644,1.3334,85.04,6.40
56,65436,11.4692,5.7875,3.9900,1.3658,90.11,5.33
57,46663,7.0581,3.2662,2.5480,0.9901,135.02,6.48
58,53750,8.2646,4.1442,2.8262,1.0335,124.26,6.48
59,59395,9.6987,4.8926,3.3193,1.1835,106.53,5.95
60,40279,6.2875,2.5600,2.4703,1.0030,137.36,6.02
61,90110,15.8737,10.1260,4.1517,1.2793,89.08,6.65
62,73819,13.0804,7.1421,4.2131,1.3823,86.22,5.57
63,79005,14.1583,8.0057,4.4041,1.4082,83.22,5.63
64,42322,6.9840,2.8151,2.7665,1.1153,122.82,5.57
65,53902,9.1759,4.1746,3.4403,1.2564,102.37,5.33
66,61769,10.1143,5.2513,3.3808,1.1765,105.29,6.02
67,64889,13.3519,5.6952,5.3726,1.8451,66.87,3.94
68,63342,10.3552,5.4688,3.4070,1.1887,104.78,6.10
69,39113,6.0907,2.4512,2.3930,0.9865,140.68,6.10
70,49547,7.8886,3.6227,2.8942,1.0902,120.02,5.95
71,16319,2.9695,0.6420,1.3666,0.7465,219.98,6.48
72,57675,9.4067,4.6719,3.2807,1.1710,108.14,5.89
73,74334,12.7216,7.2717,3.8672,1.2645,93.95,6.10
74,41988,6.4476,2.7688,2.4547,0.9848,139.18,6.24
75,46074,6.9516,3.1880,2.5247,0.9767,136.04,6.48
76,60183,9.4222,5.0311,3.0403,1.0759,116.60,6.56
77,52145,8.2431,3.9322,2.9375,1.0905,118.77,6.10
78,37351,6.2736,2.2728,2.6252,1.0911,127.97,5.39
79,41649,6.4080,2.7400,2.4391,0.9767,139.59,6.24
80,52871,8.0737,4.0515,2.7587,1.0154,127.29,6.56
81,65038,10.3267,5.7083,3.2324,1.1069,110.86,6.56
82,40139,6.3940,2.5266,2.5510,1.0385,132.39,5.82
83,51847,7.9587,3.9173,2.7511,1.0247,126.69,6.48
84,79672,16.9908,8.1617,6.3314,2.0174,57.99,3.94
85,65911,11.0026,5.8778,3.5951,1.2256,99.91,5.95
86,35847,5.5909,2.1345,2.2575,0.9556,148.13,6.10
87,51204,8.2323,3.8119,3.0020,1.1257,115.83,5.89
88,96615,22.6213,11.4942,8.1294,2.4307,46.01,3.61
89,62300,10.7069,5.3342,3.7608,1.3048,95.30,5.45
90,56180,8.9737,4.4490,3.1053,1.1235,113.16,6.10
91,94730,21.2698,11.0856,7.4267,2.2475,50.27,3.88
92,59788,9.7762,4.9510,3.3342,1.1830,106.11,5.95
93,74351,12.4945,7.2419,3.7319,1.2187,97.48,6.32
94,55590,8.8551,4.3690,3.0832,1.1222,114.13,6.10
95,58268,9.1702,4.7284,3.0788,1.0931,115.27,6.32
